,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,23.8,19.8991,0.82,41.7283,4.3749
0,20240103,23.39,16.361,0.66,41.0095,4.2995
0,20240104,25.73,24.6547,0.96,45.1122,4.7296
0,20240105,27.58,65.347,2.38,48.3558,5.0697
0,20240108,24.82,6.7668,0.2,43.5167,4.5623
0,20240109,24.89,45.1917,1.7,43.6394,4.5752
0,20240110,23.8,27.4569,0.87,41.7283,4.3749
0,20240111,23.92,25.4313,0.75,41.9387,4.3969
0,20240112,26.31,35.7068,1.05,46.1291,4.8362
0,20240115,28.94,48.3229,1.72,50.7403,5.3197
0,20240116,31.83,64.6213,1.77,55.8073,5.8509
0,20240117,29.18,72.9756,1.81,51.161,5.3638
0,20240118,27.88,52.0132,1.05,48.8818,5.1248
0,20240119,25.09,36.288,0.66,43.9901,4.612
0,20240122,22.58,31.3011,0.57,39.5893,4.1506
0,20240123,22.3,28.1986,0.55,39.0984,4.0991
0,20240124,22.12,29.6333,0.67,38.7828,4.066
0,20240125,22.27,25.8393,0.73,39.0458,4.0936
0,20240126,21.7,19.5575,0.65,38.0464,3.9888
0,20240129,20.32,18.1032,0.67,35.6269,3.7352
0,20240130,19.44,11.9129,0.49,34.084,3.5734
0,20240131,18.86,18.9045,0.9,33.0671,3.2401
0,20240201,18.91,13.9442,0.74,33.1547,3.2487
0,20240202,18.03,16.1345,0.98,31.6118,3.0975
0,20240205,16.23,12.7013,0.8,28.4559,2.7883
0,20240206,16.54,20.4687,1.39,28.9994,2.8415
0,20240207,15.2,19.2981,1.17,26.65,2.6113
0,20240208,16.72,21.0109,1.27,29.315,2.8724
0,20240219,17.78,17.6166,0.98,31.1735,3.0545
0,20240220,18.48,16.926,0.93,32.4008,3.1748
0,20240221,18.72,18.7395,0.98,32.8216,3.216
0,20240222,19.06,11.8935,0.64,33.4177,3.2744
0,20240223,19.66,16.035,0.93,34.4697,3.3775
0,20240226,20.05,15.5489,0.96,35.1535,3.4445
0,20240227,20.65,13.1409,0.83,36.2055,3.5476
0,20240228,19.04,18.6013,1.23,33.3827,3.271
0,20240229,19.53,12.3443,0.82,34.2418,3.3552
0,20240301,20.32,19.2743,1.27,35.6269,3.4909
0,20240304,21.5,24.4839,1.55,37.6958,3.6936
0,20240305,20.54,16.6519,0.95,36.0126,3.5287
0,20240306,22.59,17.9674,0.98,39.6069,3.8809
0,20240307,23.03,43.4399,2.39,40.3783,3.9565
0,20240308,23.63,28.8701,1.18,41.4303,4.0595
0,20240311,24.78,30.9019,1.18,43.4466,4.2571
0,20240312,24.31,21.954,0.8,42.6225,4.1764
0,20240313,23.59,20.4642,0.71,41.3601,4.0527
0,20240314,23.01,13.9276,0.48,40.3432,3.953
0,20240315,23.16,11.6775,0.5,40.6062,3.9788
0,20240318,23.4,11.3849,0.58,41.027,4.02
0,20240319,23.14,10.083,0.63,40.5712,3.9754
0,20240320,23.37,9.3979,0.7,40.9744,4.0149
0,20240321,23.15,9.802,0.87,40.5887,3.9771
0,20240322,23.3,13.6053,1.3,40.8517,4.0029
0,20240325,24.66,29.6074,2.73,43.2362,4.2365
0,20240326,25.28,25.5901,1.76,44.3232,4.343
0,20240327,23.09,17.1068,0.97,40.4835,3.9668
0,20240328,22.88,12.8464,0.67,40.1153,3.9307
0,20240329,25.17,16.2136,0.82,44.1303,4.3241
0,20240401,25.4,39.3987,1.94,44.5336,4.3636
0,20240402,25.35,23.3795,1.05,44.4459,4.355
0,20240403,25.7,28.2344,1.3,45.0596,4.4152
