,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.98,0.7267,1.43,8.7659,1.2518
0,20240103,5.05,0.6002,1.06,8.9001,1.2696
0,20240104,5.16,1.3043,2.15,9.094,1.2973
0,20240105,5.19,1.0847,1.38,9.1469,1.3048
0,20240108,5.09,0.9277,1.11,8.9706,1.2797
0,20240109,5.08,0.7697,0.83,8.953,1.2772
0,20240110,5.01,0.5953,0.64,8.8297,1.2596
0,20240111,4.98,0.7915,0.85,8.7768,1.252
0,20240112,5.0,0.5337,0.64,8.812,1.257
0,20240115,5.08,0.6553,0.91,8.953,1.2772
0,20240116,5.05,0.6346,0.95,8.9001,1.2696
0,20240117,5.01,0.6162,0.96,8.8297,1.2596
0,20240118,4.92,1.1308,1.75,8.671,1.2369
0,20240119,4.9,0.6131,0.86,8.6358,1.2319
0,20240122,4.61,0.8545,1.17,8.1247,1.159
0,20240123,4.62,1.1955,1.55,8.1423,1.1615
0,20240124,4.8,1.1216,1.27,8.4595,1.2068
0,20240125,4.94,1.1714,1.19,8.7063,1.242
0,20240126,4.99,0.9639,0.97,8.7944,1.2545
0,20240129,4.97,1.0299,0.97,8.7592,1.2495
0,20240130,4.85,1.1732,1.07,8.5477,1.2193
0,20240131,4.79,0.9052,0.83,8.4419,1.2042
0,20240201,4.72,0.9214,0.88,8.3186,1.1866
0,20240202,4.61,1.1176,1.12,8.1247,1.159
0,20240205,4.47,1.4801,1.44,7.878,1.1238
0,20240206,4.67,1.4836,1.33,8.2304,1.1741
0,20240207,4.82,1.7901,1.52,8.4948,1.2118
0,20240208,4.85,1.4732,1.08,8.5477,1.2193
0,20240219,4.9,1.2101,0.82,8.6358,1.2319
0,20240220,4.98,0.9143,0.61,8.7768,1.252
0,20240221,4.98,0.9454,0.69,8.7768,1.252
0,20240222,5.0,0.9393,0.74,8.812,1.257
0,20240223,4.98,0.8479,0.77,8.7768,1.252
0,20240226,4.87,0.8442,0.87,8.5829,1.2244
0,20240227,4.91,0.7347,0.82,8.6534,1.2344
0,20240228,4.84,0.9536,1.11,8.53,1.2168
0,20240229,4.9,0.8623,1.0,8.6358,1.2319
0,20240301,4.84,0.8376,0.99,8.53,1.2168
0,20240304,4.82,0.737,0.87,8.4948,1.2118
0,20240305,4.8,0.6748,0.82,8.4595,1.2068
0,20240306,4.87,0.8,0.98,8.5829,1.2244
0,20240307,4.85,0.6751,0.86,8.5477,1.2193
0,20240308,4.84,0.4991,0.67,8.53,1.2168
0,20240311,4.92,0.7877,1.16,8.671,1.2369
0,20240312,4.87,0.8503,1.24,8.5829,1.2244
0,20240313,4.76,0.7116,0.99,8.389,1.1967
0,20240314,4.71,0.5965,0.85,8.3009,1.1841
0,20240315,4.77,0.643,0.93,8.4067,1.1992
0,20240318,4.75,0.6919,0.96,8.3714,1.1942
0,20240319,4.69,0.6026,0.86,8.2657,1.1791
0,20240320,4.7,0.4729,0.73,8.2833,1.1816
0,20240321,4.71,0.5935,0.99,8.3009,1.1841
0,20240322,4.65,0.4816,0.8,8.1952,1.169
0,20240325,4.71,0.9437,1.66,8.3009,1.1841
0,20240326,4.69,0.6783,1.1,8.2657,1.1791
0,20240327,4.71,0.6512,1.03,8.3009,1.1841
0,20240328,4.61,0.7784,1.16,8.1247,1.159
0,20240329,4.74,0.6684,0.95,8.3538,1.1917
0,20240401,4.84,0.8084,1.09,8.53,1.2168
0,20240402,4.91,0.9055,1.26,8.6534,1.2344
0,20240403,4.96,0.6687,0.88,8.7415,1.247
