,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.69,0.4485,1.01,4.8361,0.5922
0,20240103,6.71,0.3288,0.69,4.8506,0.594
0,20240104,6.71,0.4492,0.92,4.8506,0.594
0,20240105,6.81,0.989,2.11,4.9229,0.6028
0,20240108,6.81,0.6151,1.15,4.9229,0.6028
0,20240109,6.85,0.5505,0.97,4.9518,0.6064
0,20240110,6.84,0.5368,0.92,4.9446,0.6055
0,20240111,6.87,0.6408,1.02,4.9663,0.6081
0,20240112,6.92,0.4662,0.7,5.0024,0.6125
0,20240115,6.98,0.5567,0.99,5.0458,0.6179
0,20240116,7.08,0.8593,1.56,5.1181,0.6267
0,20240117,7.02,1.0206,1.67,5.0747,0.6214
0,20240118,7.06,1.1985,1.69,5.1036,0.6249
0,20240119,7.1,0.8038,0.98,5.1325,0.6285
0,20240122,7.04,1.1639,1.31,5.0892,0.6232
0,20240123,7.05,0.8125,0.81,5.0964,0.6241
0,20240124,7.1,0.7161,0.72,5.1325,0.6285
0,20240125,7.13,0.7855,0.84,5.1542,0.6311
0,20240126,7.24,0.97,1.13,5.2337,0.6409
0,20240129,7.31,1.023,1.15,5.2843,0.6471
0,20240130,7.27,0.8044,0.93,5.2554,0.6435
0,20240131,7.32,0.8129,0.95,5.2916,0.648
0,20240201,7.29,0.7557,0.86,5.2699,0.6453
0,20240202,7.3,1.1314,1.3,5.2771,0.6462
0,20240205,7.36,1.4224,1.57,5.3205,0.6515
0,20240206,7.42,1.2526,1.27,5.3639,0.6568
0,20240207,7.34,1.5337,1.43,5.306,0.6497
0,20240208,7.28,1.0934,0.9,5.2627,0.6444
0,20240219,7.49,1.0584,0.82,5.4145,0.663
0,20240220,7.61,0.9022,0.71,5.5012,0.6736
0,20240221,7.85,1.2632,1.08,5.6747,0.6949
0,20240222,7.94,0.7389,0.63,5.7398,0.7028
0,20240223,7.85,0.984,0.97,5.6747,0.6949
0,20240226,7.68,0.8449,0.85,5.5518,0.6798
0,20240227,7.68,0.691,0.73,5.5518,0.6798
0,20240228,7.63,0.6433,0.71,5.5157,0.6754
0,20240229,7.67,0.5856,0.75,5.5446,0.6789
0,20240301,7.61,0.5393,0.72,5.5012,0.6736
0,20240304,7.56,0.6356,0.96,5.4651,0.6692
0,20240305,7.75,0.9846,1.59,5.6024,0.686
0,20240306,7.73,0.577,0.85,5.588,0.6843
0,20240307,7.77,0.414,0.62,5.6169,0.6878
0,20240308,7.75,0.3574,0.57,5.6024,0.686
0,20240311,7.72,0.4649,0.78,5.5807,0.6834
0,20240312,7.59,0.6372,1.14,5.4867,0.6719
0,20240313,7.53,0.5145,1.05,5.4434,0.6665
0,20240314,7.59,0.5321,1.11,5.4867,0.6719
0,20240315,7.69,0.5084,1.01,5.559,0.6807
0,20240318,7.61,0.4829,0.91,5.5012,0.6736
0,20240319,7.61,0.4076,0.76,5.5012,0.6736
0,20240320,7.61,0.4016,0.82,5.5012,0.6736
0,20240321,7.73,0.6415,1.38,5.588,0.6843
0,20240322,7.69,0.4639,0.95,5.559,0.6807
0,20240325,7.71,0.4958,1.03,5.5735,0.6825
0,20240326,7.79,0.6323,1.31,5.6313,0.6896
0,20240327,7.85,0.7033,1.33,5.6747,0.6949
0,20240328,7.84,0.6889,1.17,5.6675,0.694
0,20240329,7.9,0.4473,0.75,5.7108,0.6993
0,20240401,7.96,0.457,0.77,5.7542,0.7046
0,20240402,8.0,0.5471,0.93,5.7831,0.7082
0,20240403,7.92,0.4823,0.85,5.7253,0.7011
