,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.25,1.5823,1.05,33.5944,4.4876
0,20240103,6.25,1.09,0.76,33.5944,4.4876
0,20240104,6.34,1.2008,0.84,34.0781,4.5522
0,20240105,6.24,0.8759,0.58,33.5406,4.4804
0,20240108,6.13,0.7529,0.62,32.9494,4.4014
0,20240109,6.18,0.9765,0.89,33.2181,4.4373
0,20240110,6.12,0.8433,0.86,32.8956,4.3942
0,20240111,6.13,0.7497,0.81,32.9494,4.4014
0,20240112,6.03,0.8734,1.04,32.4118,4.3296
0,20240115,6.08,0.6543,0.78,32.6806,4.3655
0,20240116,6.01,0.822,1.0,32.3043,4.3152
0,20240117,5.92,0.648,0.82,31.8206,4.2506
0,20240118,5.76,1.1748,1.57,30.9606,4.1357
0,20240119,5.7,0.8916,1.07,30.6381,4.0927
0,20240122,5.34,0.9662,1.15,28.703,3.8342
0,20240123,5.24,1.2861,1.43,28.1655,3.7624
0,20240124,5.33,0.9937,1.0,28.6493,3.827
0,20240125,5.64,1.017,0.96,30.3156,4.0496
0,20240126,5.67,0.8393,0.81,30.4768,4.0711
0,20240129,5.48,0.901,0.88,29.4555,3.9347
0,20240130,5.25,0.7732,0.77,28.2193,3.7696
0,20240131,4.96,1.2393,1.37,26.6605,3.5613
0,20240201,4.84,1.1114,1.17,26.0155,3.4752
0,20240202,4.55,1.3602,1.4,24.4567,3.2669
0,20240205,4.1,1.6136,1.5,22.0379,2.9438
0,20240206,3.94,3.4392,2.82,21.1779,2.829
0,20240207,3.55,3.9032,2.23,19.0816,2.5489
0,20240208,3.74,6.5582,2.87,20.1029,2.6854
0,20240219,4.05,4.2912,1.27,21.7691,2.9079
0,20240220,4.14,2.413,0.61,22.2529,2.9726
0,20240221,4.26,2.1755,0.53,22.8979,3.0587
0,20240222,4.44,1.6671,0.43,23.8654,3.188
0,20240223,4.68,1.8717,0.55,25.1555,3.3603
0,20240226,4.86,2.0701,0.83,26.123,3.4895
0,20240227,4.86,1.9834,0.97,26.123,3.4895
0,20240228,4.39,2.7716,1.42,23.5967,3.1521
0,20240229,4.6,1.7431,0.84,24.7255,3.3028
0,20240301,4.6,1.4429,0.69,24.7255,3.3028
0,20240304,4.63,1.3122,0.66,24.8867,3.3244
0,20240305,4.48,1.1419,0.62,24.0804,3.2167
0,20240306,4.54,1.2871,0.77,24.4029,3.2598
0,20240307,4.48,0.6695,0.48,24.0804,3.2167
0,20240308,4.54,0.7207,0.62,24.4029,3.2598
0,20240311,4.62,0.8296,0.81,24.833,3.3172
0,20240312,4.87,1.5935,1.71,26.1767,3.4967
0,20240313,4.74,1.6712,1.64,25.478,3.4034
0,20240314,4.71,1.2134,1.11,25.3167,3.3818
0,20240315,4.75,1.0855,0.9,25.5317,3.4105
0,20240318,4.9,1.7373,1.36,26.338,3.5183
0,20240319,4.93,1.496,1.02,26.4992,3.5398
0,20240320,4.99,1.0998,0.76,26.8217,3.5829
0,20240321,5.01,1.0103,0.76,26.9292,3.5972
0,20240322,4.93,1.2919,1.0,26.4992,3.5398
0,20240325,4.87,1.2694,0.96,26.1767,3.4967
0,20240326,4.83,0.923,0.75,25.9617,3.468
0,20240327,4.8,1.4078,1.26,25.8005,3.4464
0,20240328,4.85,0.9687,0.82,26.0692,3.4824
0,20240329,4.85,0.7662,0.65,26.0692,3.4824
0,20240401,4.98,1.1847,1.11,48.9135,3.5696
0,20240402,4.98,0.9395,0.89,48.9135,3.5696
0,20240403,4.97,0.7193,0.68,48.8153,3.5625
