,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,32.43,2.4157,1.42,,4.0918
0,20240103,31.15,3.1561,1.62,,3.9303
0,20240104,31.34,1.9346,0.87,,3.9543
0,20240105,31.08,1.6863,0.75,,3.9215
0,20240108,29.6,2.2995,1.02,,3.7347
0,20240109,29.59,1.9591,0.85,,3.7335
0,20240110,28.59,1.7943,0.81,,3.6073
0,20240111,28.75,1.8405,0.95,,3.6275
0,20240112,28.17,2.311,1.21,,3.5543
0,20240115,27.68,1.7298,0.85,,3.4925
0,20240116,27.28,2.8147,1.46,,3.442
0,20240117,26.18,1.9961,0.95,,3.3032
0,20240118,26.51,2.7172,1.27,,3.3449
0,20240119,26.33,2.102,0.91,,3.3222
0,20240122,24.8,2.9308,1.29,,3.1291
0,20240123,24.18,2.8137,1.12,,3.0509
0,20240124,24.13,2.6979,1.07,,3.0446
0,20240125,25.65,3.1231,1.18,,3.2364
0,20240126,24.69,2.1984,0.8,,3.1152
0,20240129,23.5,2.4408,0.89,,2.9651
0,20240130,23.54,3.0587,1.15,,2.9701
0,20240131,22.03,3.2449,1.2,,2.7796
0,20240201,22.03,2.5102,0.89,,2.7796
0,20240202,21.22,2.873,1.07,,2.6774
0,20240205,19.1,4.4297,1.57,,2.4099
0,20240206,19.07,5.5002,1.71,,2.4061
0,20240207,18.38,5.1036,1.38,,2.3191
0,20240208,20.22,5.2489,1.29,,2.5512
0,20240219,22.0,6.513,1.41,,2.7758
0,20240220,22.44,4.5478,0.85,,2.8313
0,20240221,22.54,3.493,0.65,,2.844
0,20240222,23.27,2.894,0.58,,2.9361
0,20240223,24.59,3.8815,0.86,,3.1026
0,20240226,25.52,8.1101,1.9,,3.22
0,20240227,26.92,5.1218,1.12,,3.3966
0,20240228,24.25,5.9837,1.27,,3.0597
0,20240229,25.78,4.2039,0.81,,3.2528
0,20240301,26.14,3.4509,0.63,,3.2982
0,20240304,25.92,2.6373,0.49,,3.2704
0,20240305,27.08,8.4919,1.98,,3.4168
0,20240306,26.05,7.0637,1.43,,3.2868
0,20240307,24.86,4.476,0.87,,3.1367
0,20240308,27.05,6.9972,1.34,,3.413
0,20240311,29.5,7.9049,1.33,,3.7221
0,20240312,32.45,12.9234,1.85,,4.0943
0,20240313,33.41,13.5975,1.73,,4.2155
0,20240314,32.22,8.3024,0.9,,4.0653
0,20240315,31.42,10.369,1.04,,3.9644
0,20240318,32.26,8.0747,0.76,,4.0704
0,20240319,30.99,5.3061,0.5,,3.9101
0,20240320,30.99,3.6768,0.4,,3.9101
0,20240321,30.29,4.5899,0.64,,3.8218
0,20240322,29.75,2.6411,0.41,,3.7537
0,20240325,28.98,6.0861,1.25,,3.6565
0,20240326,27.93,4.1577,0.93,,3.524
0,20240327,27.9,3.4334,0.81,,3.5203
0,20240328,28.95,4.6335,1.11,,3.6527
0,20240329,29.05,3.0684,0.73,,3.6654
0,20240401,31.96,4.3174,1.01,,4.0325
0,20240402,30.6,7.8704,2.01,,3.8609
0,20240403,32.03,8.4074,1.8,,4.0413
