,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.32,4.9638,2.03,11.0181,1.6782
0,20240103,11.45,4.0942,1.54,11.1446,1.6974
0,20240104,11.38,2.3295,0.78,11.0765,1.687
0,20240105,11.36,2.4703,0.78,11.057,1.6841
0,20240108,11.12,4.4502,1.41,10.8234,1.6485
0,20240109,11.42,3.9233,1.07,11.1154,1.693
0,20240110,11.08,2.5296,0.73,10.7845,1.6426
0,20240111,11.34,2.4194,0.77,11.0376,1.6811
0,20240112,11.35,2.4816,0.79,11.0473,1.6826
0,20240115,11.51,2.2753,0.72,11.203,1.7063
0,20240116,11.43,2.3108,0.85,11.1252,1.6945
0,20240117,11.58,5.9271,2.47,11.2712,1.7167
0,20240118,11.68,4.6926,1.52,11.3685,1.7315
0,20240119,11.86,6.4318,1.82,11.5437,1.7582
0,20240122,11.01,5.9675,1.38,10.7164,1.6322
0,20240123,11.12,4.1972,0.83,10.8234,1.6485
0,20240124,11.68,5.9251,1.09,11.3685,1.7315
0,20240125,12.05,7.9832,1.47,11.7286,1.7864
0,20240126,13.26,11.279,1.85,12.9063,1.9658
0,20240129,13.08,23.2927,3.29,12.7311,1.9391
0,20240130,12.72,16.2689,1.54,12.3807,1.8857
0,20240131,13.04,13.726,1.06,12.6922,1.9331
0,20240201,11.74,13.3414,0.92,11.4269,1.7404
0,20240202,12.52,19.1382,1.23,12.1861,1.856
0,20240205,11.27,10.685,0.62,10.9694,1.6707
0,20240206,11.06,10.9968,0.75,10.765,1.6396
0,20240207,10.27,7.9842,0.59,9.9961,1.5225
0,20240208,10.95,7.6311,0.61,10.658,1.6233
0,20240219,11.43,7.9928,0.71,11.1252,1.6945
0,20240220,11.36,5.8566,0.65,11.057,1.6841
0,20240221,11.62,8.6002,1.06,11.3101,1.7226
0,20240222,11.76,6.9225,0.91,11.4464,1.7434
0,20240223,11.87,6.4918,0.88,11.5534,1.7597
0,20240226,11.62,6.476,0.9,11.3101,1.7226
0,20240227,12.05,7.9298,1.15,11.7286,1.7864
0,20240228,11.29,9.9764,1.37,10.9889,1.6737
0,20240229,11.44,6.2337,0.82,11.1349,1.6959
0,20240301,12.35,12.4168,1.67,12.0206,1.8308
0,20240304,12.17,8.3538,0.97,11.8454,1.8042
0,20240305,11.84,5.5064,0.61,11.5242,1.7552
0,20240306,11.78,4.6662,0.55,11.4658,1.7463
0,20240307,12.1,7.6738,1.03,11.7773,1.7938
0,20240308,11.93,4.4018,0.57,11.6118,1.7686
0,20240311,12.01,4.4906,0.73,11.6897,1.7804
0,20240312,12.37,10.2534,1.92,12.0401,1.8338
0,20240313,12.07,7.1014,1.13,11.7481,1.7893
0,20240314,12.28,7.7517,1.14,11.9525,1.8205
0,20240315,12.2,4.5698,0.67,11.8746,1.8086
0,20240318,12.22,5.2593,0.77,11.8941,1.8116
0,20240319,12.05,4.0746,0.58,11.7286,1.7864
0,20240320,12.0,3.4614,0.6,11.68,1.779
0,20240321,12.05,4.6373,0.92,11.7286,1.7864
0,20240322,11.69,5.0673,1.15,11.3782,1.733
0,20240325,11.85,5.5968,1.24,11.534,1.7567
0,20240326,12.29,9.4076,2.06,11.9622,1.822
0,20240327,12.56,11.1805,1.98,12.225,1.862
0,20240328,12.74,9.1117,1.27,12.4002,1.8887
0,20240329,12.4,6.3788,0.79,12.0693,1.8383
0,20240401,12.35,6.3154,0.76,5.7291,1.8014
0,20240402,12.19,5.1662,0.61,5.6549,1.7781
0,20240403,11.9,4.5105,0.59,5.5204,1.7358
