,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.51,1.6215,0.63,189.0524,2.6556
0,20240103,16.07,0.9954,0.43,184.0141,2.5848
0,20240104,16.32,1.2984,0.65,186.8768,2.625
0,20240105,16.19,1.1073,0.65,185.3882,2.6041
0,20240108,15.89,1.0986,0.78,181.953,2.5558
0,20240109,16.07,1.3142,1.07,184.0141,2.5848
0,20240110,15.94,0.8106,0.7,182.5255,2.5639
0,20240111,15.94,1.5034,1.34,182.5255,2.5639
0,20240112,15.9,0.9263,0.79,182.0675,2.5574
0,20240115,15.94,1.035,0.92,182.5255,2.5639
0,20240116,16.13,1.4855,1.33,184.7011,2.5944
0,20240117,15.71,1.7031,1.48,179.8918,2.5269
0,20240118,15.52,1.8057,1.36,177.7162,2.4963
0,20240119,14.81,1.366,0.98,169.5861,2.3821
0,20240122,13.73,1.6693,1.13,157.2193,2.2084
0,20240123,14.15,2.7491,1.71,162.0286,2.276
0,20240124,14.78,3.0912,1.66,169.2426,2.3773
0,20240125,16.04,3.2334,1.51,183.6706,2.58
0,20240126,16.2,4.2196,1.74,185.5027,2.6057
0,20240129,16.06,2.1677,0.72,183.8996,2.5832
0,20240130,16.2,3.631,1.17,185.5027,2.6057
0,20240131,15.88,4.2714,1.31,181.8385,2.5542
0,20240201,15.95,2.5325,0.72,182.64,2.5655
0,20240202,17.38,5.2662,1.57,199.0146,2.7955
0,20240205,17.33,5.699,1.59,198.4421,2.7874
0,20240206,17.98,3.7025,0.87,205.8851,2.892
0,20240207,16.56,2.904,0.68,189.625,2.6636
0,20240208,15.35,3.4743,0.86,175.7695,2.469
0,20240219,16.73,3.5245,0.84,191.5716,2.6909
0,20240220,16.82,1.9888,0.52,192.6022,2.7054
0,20240221,17.3,2.875,0.92,198.0986,2.7826
0,20240222,17.22,2.0654,0.7,197.1825,2.7698
0,20240223,16.96,1.8496,0.66,194.2053,2.7279
0,20240226,16.89,2.0924,0.85,193.4037,2.7167
0,20240227,17.0,2.425,1.12,194.6633,2.7344
0,20240228,15.3,3.6659,1.62,175.197,2.4609
0,20240229,15.3,3.2527,1.34,175.197,2.4609
0,20240301,14.85,2.2106,0.83,170.0441,2.3886
0,20240304,14.49,1.6713,0.61,165.9219,2.3306
0,20240305,15.2,2.1466,0.81,174.0519,2.4448
0,20240306,15.15,1.6365,0.63,173.4794,2.4368
0,20240307,14.63,1.3688,0.63,167.525,2.3532
0,20240308,14.69,0.8214,0.45,168.212,2.3628
0,20240311,14.8,0.9454,0.62,169.4716,2.3805
0,20240312,14.96,1.4955,1.08,171.3037,2.4062
0,20240313,14.99,1.3946,1.11,171.6473,2.4111
0,20240314,14.87,1.123,0.93,170.2732,2.3918
0,20240315,14.86,0.9208,0.8,170.1587,2.3902
0,20240318,15.03,1.5942,1.36,172.1053,2.4175
0,20240319,15.12,1.3131,1.01,173.1359,2.432
0,20240320,15.13,1.2623,0.99,173.2504,2.4336
0,20240321,14.95,1.1791,0.95,171.1892,2.4046
0,20240322,14.76,0.9527,0.76,169.0136,2.3741
0,20240325,14.74,1.1348,0.9,168.7846,2.3709
0,20240326,14.77,1.0603,0.91,169.1281,2.3757
0,20240327,14.15,0.9446,0.84,162.0286,2.276
0,20240328,14.85,1.322,1.25,170.0441,2.3886
0,20240329,14.81,1.0903,1.01,169.5861,2.3821
0,20240401,14.9,0.9877,0.89,170.6167,2.3966
0,20240402,15.18,1.4814,1.37,173.8229,2.4416
0,20240403,15.16,0.9335,0.8,173.5939,2.4384
