,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.78,1.7913,0.94,201.4195,3.6224
0,20240103,4.72,1.8819,0.94,198.8912,3.5769
0,20240104,4.68,1.2653,0.65,197.2057,3.5466
0,20240105,4.59,1.9212,1.09,193.4133,3.4784
0,20240108,4.51,1.3086,0.75,190.0422,3.4178
0,20240109,4.54,1.341,0.82,191.3064,3.4405
0,20240110,4.45,1.9871,1.29,187.514,3.3723
0,20240111,4.58,1.8589,1.19,192.9919,3.4708
0,20240112,4.44,2.6947,1.6,187.0926,3.3647
0,20240115,4.44,1.673,0.91,187.0926,3.3647
0,20240116,4.43,1.5155,0.79,186.6712,3.3572
0,20240117,4.3,1.3983,0.72,181.1933,3.2587
0,20240118,4.3,2.0536,1.12,181.1933,3.2587
0,20240119,4.27,1.5406,0.83,179.9291,3.2359
0,20240122,4.02,2.4442,1.49,169.3946,3.0465
0,20240123,3.99,2.437,1.36,168.1305,3.0237
0,20240124,4.02,2.5925,1.31,169.3946,3.0465
0,20240125,4.17,2.7773,1.25,175.7153,3.1601
0,20240126,4.16,2.394,1.02,175.294,3.1526
0,20240129,3.98,2.2615,0.89,167.7091,3.0161
0,20240130,3.86,1.9161,0.77,162.6526,2.9252
0,20240131,3.58,3.3034,1.38,150.8539,2.713
0,20240201,3.49,2.5016,0.99,147.0615,2.6448
0,20240202,3.3,2.9759,1.2,139.0553,2.5008
0,20240205,2.97,3.3948,1.31,125.1498,2.2507
0,20240206,2.86,7.0395,2.5,120.5146,2.1674
0,20240207,2.64,8.0631,2.1,111.2442,2.0007
0,20240208,2.89,6.0629,1.26,121.7787,2.1901
0,20240219,3.06,5.1918,0.94,128.9422,2.3189
0,20240220,3.12,3.0597,0.51,131.4705,2.3644
0,20240221,3.24,5.1069,0.87,136.527,2.4554
0,20240222,3.38,3.8979,0.71,142.4263,2.5615
0,20240223,3.55,4.8974,1.05,149.5898,2.6903
0,20240226,3.61,4.4352,1.0,152.1181,2.7358
0,20240227,3.77,3.679,0.86,158.8601,2.857
0,20240228,3.41,7.0375,1.6,143.6905,2.5842
0,20240229,3.57,4.6332,0.97,150.4326,2.7054
0,20240301,3.84,9.6706,1.96,161.8098,2.9101
0,20240304,4.09,11.5161,1.95,172.3443,3.0995
0,20240305,3.9,8.8256,1.21,164.3381,2.9555
0,20240306,3.87,5.483,0.66,163.0739,2.9328
0,20240307,3.74,4.702,0.59,157.596,2.8343
0,20240308,3.82,3.1549,0.39,160.967,2.8949
0,20240311,3.81,3.8151,0.57,160.5457,2.8873
0,20240312,3.84,3.8064,0.73,161.8098,2.9101
0,20240313,3.83,3.6098,0.86,161.3884,2.9025
0,20240314,3.79,3.4036,0.89,159.7029,2.8722
0,20240315,3.84,2.3746,0.67,161.8098,2.9101
0,20240318,3.95,4.1384,1.22,166.445,2.9934
0,20240319,3.94,3.6934,1.07,166.0236,2.9858
0,20240320,4.03,4.2006,1.22,169.816,3.054
0,20240321,4.0,3.5032,0.98,168.5519,3.0313
0,20240322,4.03,4.275,1.19,169.816,3.054
0,20240325,3.87,3.8239,0.97,163.0739,2.9328
0,20240326,4.14,13.9693,3.58,174.4512,3.1374
0,20240327,3.82,11.142,1.87,160.967,2.8949
0,20240328,3.96,6.5714,0.89,166.8664,3.001
0,20240329,4.02,6.6213,0.83,169.3946,3.0465
0,20240401,4.0,4.7431,0.56,168.5519,3.0313
0,20240402,3.95,3.0768,0.36,166.445,2.9934
0,20240403,3.86,3.2815,0.51,162.6526,2.9252
