,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.16,2.3004,0.95,,13.5888
0,20240103,2.2,3.4313,1.44,,13.8404
0,20240104,2.17,2.0654,0.79,,13.6517
0,20240105,2.36,12.0533,4.62,,14.847
0,20240108,2.22,8.6936,1.95,,13.9663
0,20240109,2.17,5.333,0.93,,13.6517
0,20240110,2.14,3.4639,0.55,,13.463
0,20240111,2.19,3.2731,0.52,,13.7775
0,20240112,2.16,3.4222,0.52,,13.5888
0,20240115,2.16,1.9556,0.4,,13.5888
0,20240116,2.1,4.2878,1.23,,13.2113
0,20240117,2.03,2.5416,0.77,,12.7709
0,20240118,2.05,2.8058,0.91,,12.8968
0,20240119,2.0,1.7132,0.57,,12.5822
0,20240122,1.89,3.2822,1.23,,11.8902
0,20240123,1.9,2.3111,0.79,,11.9531
0,20240124,1.99,3.907,1.54,,12.5193
0,20240125,2.09,4.0022,1.43,,13.1484
0,20240126,2.16,4.7312,1.55,,13.5888
0,20240129,2.11,3.5822,0.98,,13.2742
0,20240130,2.0,3.2145,0.87,,12.5822
0,20240131,1.98,6.6862,1.72,,12.4564
0,20240201,1.9,4.4418,1.0,,11.9531
0,20240202,1.83,4.1392,0.91,,11.5127
0,20240205,1.65,4.6009,1.04,,10.3803
0,20240206,1.62,4.3059,0.93,,10.1916
0,20240207,1.53,3.7213,0.77,,9.6254
0,20240208,1.61,3.5931,0.85,,10.1287
0,20240219,1.74,4.968,1.22,,10.9465
0,20240220,1.73,3.4416,0.81,,10.8836
0,20240221,1.76,4.6368,1.16,,11.0723
0,20240222,1.79,3.3857,0.83,,11.2611
0,20240223,1.83,3.6235,0.9,,11.5127
0,20240226,1.84,3.4492,0.86,,11.5756
0,20240227,1.9,3.0933,0.83,,11.9531
0,20240228,1.77,4.5321,1.25,,11.1353
0,20240229,1.82,2.8629,0.79,,11.4498
0,20240301,1.8,1.9159,0.55,,11.324
0,20240304,1.76,2.3111,0.73,,11.0723
0,20240305,1.74,2.0596,0.7,,10.9465
0,20240306,1.75,1.7741,0.65,,11.0094
0,20240307,1.76,2.3939,1.1,,11.0723
0,20240308,1.73,2.1905,1.05,,10.8836
0,20240311,1.78,2.3481,1.09,,11.1982
0,20240312,1.87,4.4982,2.09,,11.7644
0,20240313,1.81,3.1167,1.18,,11.3869
0,20240314,1.81,2.5519,0.88,,11.3869
0,20240315,1.83,1.7625,0.6,,11.5127
0,20240318,1.84,1.9075,0.67,,11.5756
0,20240319,1.84,1.6611,0.6,,11.5756
0,20240320,1.87,2.0263,0.92,,11.7644
0,20240321,1.89,2.0542,1.04,,11.8902
0,20240322,1.87,2.6073,1.39,,11.7644
0,20240325,1.86,3.3115,1.61,,11.7015
0,20240326,1.99,6.2723,2.69,,12.5193
0,20240327,1.91,5.1721,1.59,,12.016
0,20240328,1.91,3.5184,0.91,,12.016
0,20240329,1.85,3.0091,0.72,,11.6385
0,20240401,1.88,2.3621,0.55,,11.8273
0,20240402,1.88,2.7607,0.68,,11.8273
0,20240403,1.85,2.0717,0.62,,11.6385
