,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.45,0.3886,0.65,8.9543,1.2455
0,20240103,10.41,0.4915,1.02,8.92,1.2408
0,20240104,11.45,4.642,9.36,9.8112,1.3647
0,20240105,10.89,4.8155,3.67,9.3313,1.298
0,20240108,10.86,2.3896,1.11,9.3056,1.2944
0,20240109,11.02,2.1951,0.86,9.4427,1.3135
0,20240110,11.15,3.4687,1.19,9.5541,1.329
0,20240111,11.08,2.316,0.66,9.4941,1.3206
0,20240112,10.91,1.4007,0.46,9.3485,1.3004
0,20240115,10.85,1.0315,0.44,9.2971,1.2932
0,20240116,10.54,1.8965,0.91,9.0314,1.2563
0,20240117,10.31,0.994,0.49,8.8343,1.2288
0,20240118,10.35,1.2269,0.8,8.8686,1.2336
0,20240119,10.25,0.5009,0.38,8.7829,1.2217
0,20240122,9.6,1.0801,0.96,8.226,1.1442
0,20240123,9.57,0.5808,0.51,8.2003,1.1406
0,20240124,9.91,1.2351,1.41,8.4916,1.1812
0,20240125,10.27,1.3592,1.47,8.8001,1.2241
0,20240126,10.11,0.9714,1.02,8.663,1.205
0,20240129,9.84,0.7023,0.67,8.4316,1.1728
0,20240130,9.7,0.5208,0.54,8.3117,1.1561
0,20240131,9.49,0.6485,0.68,8.1317,1.1311
0,20240201,9.79,0.8579,1.02,8.3888,1.1669
0,20240202,9.92,1.518,2.05,8.5002,1.1824
0,20240205,9.04,1.5591,1.84,7.7461,1.0775
0,20240206,9.22,1.1084,1.09,7.9004,1.0989
0,20240207,9.16,0.9096,0.8,7.8489,1.0918
0,20240208,9.53,0.9758,0.81,8.1509,1.135
0,20240219,9.61,0.772,0.63,8.2193,1.1445
0,20240220,9.59,0.533,0.5,8.2022,1.1421
0,20240221,9.67,0.9909,1.15,8.2706,1.1517
0,20240222,9.84,1.2249,1.46,8.416,1.1719
0,20240223,9.9,1.0445,1.16,8.4673,1.179
0,20240226,9.89,1.0842,1.19,8.4588,1.1779
0,20240227,10.0,0.8383,0.86,8.5528,1.191
0,20240228,9.6,1.628,1.57,8.2107,1.1433
0,20240229,9.7,0.999,0.86,8.2963,1.1552
0,20240301,9.86,1.0433,0.93,8.4331,1.1743
0,20240304,9.97,1.2627,1.13,8.5272,1.1874
0,20240305,9.75,0.771,0.67,8.339,1.1612
0,20240306,9.7,0.7256,0.64,8.2963,1.1552
0,20240307,9.61,0.8212,0.86,8.2193,1.1445
0,20240308,9.52,0.7149,0.77,8.1423,1.1338
0,20240311,9.65,0.5391,0.63,8.2535,1.1493
0,20240312,9.74,0.788,1.1,8.3305,1.16
0,20240313,9.75,0.7102,0.99,8.339,1.1612
0,20240314,9.67,0.8243,1.15,8.2706,1.1517
0,20240315,9.74,0.6214,0.87,8.3305,1.16
0,20240318,10.0,2.2639,3.25,8.5528,1.191
0,20240319,9.95,1.3828,1.33,8.5101,1.185
0,20240320,9.95,0.9744,0.84,8.5101,1.185
0,20240321,9.99,1.0924,0.9,8.5443,1.1898
0,20240322,9.78,0.9144,0.72,8.3647,1.1648
0,20240325,9.8,1.4603,1.1,8.3818,1.1671
0,20240326,9.7,1.0516,0.9,8.2963,1.1552
0,20240327,9.48,0.6592,0.6,8.1081,1.129
0,20240328,9.58,0.8017,0.77,8.1936,1.1409
0,20240329,9.82,1.1891,1.22,8.3989,1.1695
0,20240401,10.12,2.4921,2.41,8.6555,1.2052
0,20240402,10.07,2.1249,1.72,8.6127,1.1993
0,20240403,9.84,1.4476,1.0,8.416,1.1719
