,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.05,0.4464,1.0,30.5102,1.8164
0,20240103,3.03,0.6951,1.53,30.3101,1.8045
0,20240104,3.13,1.8836,3.6,31.3104,1.864
0,20240105,3.03,1.1861,1.45,30.3101,1.8045
0,20240108,2.94,0.9137,0.98,29.4098,1.7509
0,20240109,2.98,0.6297,0.61,29.8099,1.7747
0,20240110,2.98,0.5508,0.52,29.8099,1.7747
0,20240111,3.02,0.5694,0.55,30.2101,1.7985
0,20240112,3.0,0.5061,0.66,30.01,1.7866
0,20240115,3.01,0.3595,0.57,30.11,1.7926
0,20240116,2.99,0.5402,1.03,29.91,1.7806
0,20240117,2.95,0.5445,1.08,29.5098,1.7568
0,20240118,2.92,0.9859,1.96,29.2097,1.739
0,20240119,2.94,0.6341,1.08,29.4098,1.7509
0,20240122,2.75,0.9866,1.61,27.5092,1.6377
0,20240123,2.78,0.5874,0.8,27.8093,1.6556
0,20240124,2.86,0.7881,1.05,28.6095,1.7032
0,20240125,2.92,0.7579,0.95,29.2097,1.739
0,20240126,2.9,0.5737,0.76,29.0097,1.727
0,20240129,2.8,0.882,1.19,28.0093,1.6675
0,20240130,2.71,0.6886,0.96,27.109,1.6139
0,20240131,2.54,1.3467,1.82,25.4085,1.5127
0,20240201,2.55,0.7829,0.92,25.5085,1.5186
0,20240202,2.44,0.9823,1.15,24.4081,1.4531
0,20240205,2.23,1.2569,1.34,22.3074,1.328
0,20240206,2.43,1.4806,1.46,24.3081,1.4471
0,20240207,2.52,1.2907,1.1,25.2084,1.5007
0,20240208,2.7,1.6277,1.4,27.009,1.6079
0,20240219,2.63,1.2912,0.97,26.3088,1.5663
0,20240220,2.63,0.703,0.51,26.3088,1.5663
0,20240221,2.67,1.0648,0.83,26.7089,1.5901
0,20240222,2.67,0.7126,0.6,26.7089,1.5901
0,20240223,2.7,0.7928,0.73,27.009,1.6079
0,20240226,2.71,1.0475,1.15,27.109,1.6139
0,20240227,2.76,0.7727,0.89,27.6092,1.6437
0,20240228,2.66,1.4384,1.64,26.6089,1.5841
0,20240229,2.71,0.8998,0.94,27.109,1.6139
0,20240301,2.72,0.6392,0.65,27.2091,1.6199
0,20240304,2.68,0.7806,0.81,26.8089,1.596
0,20240305,2.63,0.6912,0.76,26.3088,1.5663
0,20240306,2.65,0.6059,0.68,26.5088,1.5782
0,20240307,2.64,0.7012,0.97,26.4088,1.5722
0,20240308,2.64,0.388,0.57,26.4088,1.5722
0,20240311,2.68,0.6738,1.06,26.8089,1.596
0,20240312,2.74,1.0734,1.75,27.4091,1.6318
0,20240313,2.7,0.7029,1.02,27.009,1.6079
0,20240314,2.72,1.0819,1.53,27.2091,1.6199
0,20240315,2.79,2.0014,2.55,27.9093,1.6615
0,20240318,2.78,1.2332,1.11,27.8093,1.6556
0,20240319,2.74,0.9723,0.8,27.4091,1.6318
0,20240320,2.75,0.7427,0.62,27.5092,1.6377
0,20240321,2.73,0.7062,0.59,27.3091,1.6258
0,20240322,2.68,0.8802,0.78,26.8089,1.596
0,20240325,2.63,0.742,0.82,26.3088,1.5663
0,20240326,2.64,0.6947,0.86,26.4088,1.5722
0,20240327,2.6,0.8384,1.11,26.0087,1.5484
0,20240328,2.63,0.7378,0.96,26.3088,1.5663
0,20240329,2.65,0.6156,0.79,26.5088,1.5782
0,20240401,2.69,0.6201,0.85,26.909,1.602
0,20240402,2.71,0.743,1.06,27.109,1.6139
0,20240403,2.71,0.6437,0.91,27.109,1.6139
