,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.78,1.3181,0.53,,2.2853
0,20240103,2.78,1.4135,0.56,,2.2853
0,20240104,2.74,1.0643,0.39,,2.2524
0,20240105,2.69,1.2813,0.65,,2.2113
0,20240108,2.65,1.0062,0.71,,2.1784
0,20240109,2.68,0.9714,0.8,,2.2031
0,20240110,2.65,0.8042,0.7,,2.1784
0,20240111,2.73,1.3288,1.3,,2.2442
0,20240112,2.76,1.6369,1.52,,2.2689
0,20240115,2.74,0.9884,0.86,,2.2524
0,20240116,2.72,1.168,1.02,,2.236
0,20240117,2.64,1.0259,0.87,,2.1702
0,20240118,2.58,1.968,1.6,,2.1209
0,20240119,2.56,0.7984,0.59,,2.1044
0,20240122,2.41,1.4416,1.21,,1.9811
0,20240123,2.41,1.365,1.07,,1.9811
0,20240124,2.48,1.5913,1.21,,2.0387
0,20240125,2.56,1.3928,0.97,,2.1044
0,20240126,2.82,4.3323,3.29,,2.3182
0,20240129,2.75,9.1022,4.5,,2.2606
0,20240130,2.65,4.9663,1.4,,2.1784
0,20240131,2.44,3.9466,0.92,,2.0058
0,20240201,2.31,3.2479,0.68,,1.8989
0,20240202,2.23,3.2482,0.63,,1.8332
0,20240205,2.01,2.983,0.61,,1.6523
0,20240206,1.9,3.7326,1.01,,1.5619
0,20240207,1.72,4.0379,1.18,,1.4139
0,20240208,1.83,2.8637,0.83,,1.5044
0,20240219,1.93,2.476,0.73,,1.5866
0,20240220,1.95,1.6523,0.51,,1.603
0,20240221,2.06,3.2046,1.09,,1.6934
0,20240222,2.08,1.689,0.59,,1.7099
0,20240223,2.16,2.7772,1.17,,1.7756
0,20240226,2.18,2.5775,1.09,,1.7921
0,20240227,2.25,1.8833,0.79,,1.8496
0,20240228,2.09,3.5777,1.47,,1.7181
0,20240229,2.2,3.1772,1.27,,1.8085
0,20240301,2.18,1.9411,0.69,,1.7921
0,20240304,2.15,1.3122,0.5,,1.7674
0,20240305,2.24,4.9502,2.08,,1.8414
0,20240306,2.18,3.0493,1.02,,1.7921
0,20240307,2.15,2.6423,0.92,,1.7674
0,20240308,2.14,1.5393,0.55,,1.7592
0,20240311,2.17,1.3012,0.48,,1.7838
0,20240312,2.25,2.8397,1.05,,1.8496
0,20240313,2.21,1.4279,0.63,,1.8167
0,20240314,2.24,3.3434,1.71,,1.8414
0,20240315,2.32,3.2923,1.58,,1.9072
0,20240318,2.37,3.0853,1.26,,1.9483
0,20240319,2.36,2.1172,0.76,,1.94
0,20240320,2.4,2.0811,0.78,,1.9729
0,20240321,2.43,2.2529,0.81,,1.9976
0,20240322,2.38,2.3614,0.92,,1.9565
0,20240325,2.3,1.8209,0.77,,1.8907
0,20240326,2.29,1.6805,0.79,,1.8825
0,20240327,2.23,1.4034,0.69,,1.8332
0,20240328,2.27,1.5628,0.82,,1.8661
0,20240329,2.22,1.5472,0.88,,1.825
0,20240401,2.25,1.5524,0.97,,1.8496
0,20240402,2.3,2.1015,1.36,,1.8907
0,20240403,2.24,1.482,0.91,,1.8414
