,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.0,0.8538,1.33,,1.5889
0,20240103,2.01,0.8542,1.23,,1.5969
0,20240104,2.01,0.5068,0.65,,1.5969
0,20240105,1.99,0.7279,0.92,,1.581
0,20240108,1.95,1.5017,1.93,,1.5492
0,20240109,1.95,0.5575,0.63,,1.5492
0,20240110,1.95,0.4616,0.56,,1.5492
0,20240111,1.98,0.858,1.14,,1.573
0,20240112,2.02,1.1814,1.44,,1.6048
0,20240115,2.22,14.6405,16.05,,1.7637
0,20240116,2.22,13.4704,3.81,,1.7637
0,20240117,2.11,9.5669,1.56,,1.6763
0,20240118,2.15,17.1754,2.16,,1.7081
0,20240119,1.94,12.4186,1.11,,1.5413
0,20240122,1.75,3.8913,0.29,,1.3903
0,20240123,1.64,10.8252,0.96,,1.3029
0,20240124,1.63,6.5637,0.61,,1.295
0,20240125,1.64,5.6989,0.56,,1.3029
0,20240126,1.65,5.0046,0.64,,1.3109
0,20240129,1.61,4.7637,0.74,,1.2791
0,20240130,1.6,4.0694,0.62,,1.2711
0,20240131,1.6,5.4076,1.04,,1.2711
0,20240201,1.53,2.5155,0.5,,1.2155
0,20240202,1.39,2.6168,0.6,,1.1043
0,20240205,1.38,7.2077,1.86,,1.0964
0,20240206,1.46,5.5191,1.26,,1.1599
0,20240207,1.32,3.5109,0.75,,1.0487
0,20240208,1.4,3.4231,0.8,,1.1123
0,20240219,1.42,3.7973,0.85,,1.1281
0,20240220,1.41,2.3337,0.5,,1.1202
0,20240221,1.45,4.6584,1.25,,1.152
0,20240222,1.48,3.1997,0.9,,1.1758
0,20240223,1.54,4.0241,1.16,,1.2235
0,20240226,1.56,3.7281,1.03,,1.2394
0,20240227,1.58,2.3675,0.66,,1.2553
0,20240228,1.47,4.507,1.25,,1.1679
0,20240229,1.49,4.2291,1.19,,1.1838
0,20240301,1.47,3.4714,0.92,,1.1679
0,20240304,1.46,2.4597,0.67,,1.1599
0,20240305,1.41,2.0231,0.59,,1.1202
0,20240306,1.45,1.9311,0.58,,1.152
0,20240307,1.46,3.0621,1.08,,1.1599
0,20240308,1.46,1.7718,0.68,,1.1599
0,20240311,1.48,1.829,0.81,,1.1758
0,20240312,1.54,4.0035,1.89,,1.2235
0,20240313,1.51,2.7113,1.08,,1.1996
0,20240314,1.5,1.8859,0.7,,1.1917
0,20240315,1.53,2.29,0.94,,1.2155
0,20240318,1.54,2.1045,0.83,,1.2235
0,20240319,1.51,1.4229,0.55,,1.1996
0,20240320,1.54,2.1647,1.04,,1.2235
0,20240321,1.58,3.3872,1.72,,1.2553
0,20240322,1.55,2.6012,1.14,,1.2314
0,20240325,1.5,2.2172,0.95,,1.1917
0,20240326,1.5,1.7608,0.75,,1.1917
0,20240327,1.45,2.0606,0.85,,1.152
0,20240328,1.47,1.7299,0.72,,1.1679
0,20240329,1.47,0.9265,0.45,,1.1679
0,20240401,1.51,1.7737,1.02,,1.1996
0,20240402,1.62,14.8175,8.98,,1.2896
0,20240403,1.54,9.7159,2.28,,1.2259
