,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,26.42,0.8236,1.21,26.4886,6.3532
0,20240103,25.96,0.5104,0.65,26.0274,6.2426
0,20240104,26.02,0.4072,0.52,26.0875,6.257
0,20240105,25.8,0.3088,0.41,25.8669,6.2041
0,20240108,24.86,0.4405,0.77,24.9245,5.9781
0,20240109,24.91,0.2444,0.49,24.9746,5.9901
0,20240110,24.46,0.3308,0.87,24.5235,5.8819
0,20240111,25.01,0.2865,0.83,25.0749,6.0141
0,20240112,24.92,0.1663,0.52,24.9847,5.9925
0,20240115,24.79,0.1726,0.59,24.8543,5.9612
0,20240116,24.71,0.2505,1.04,24.7741,5.942
0,20240117,23.96,0.1559,0.65,24.0222,5.7617
0,20240118,23.72,0.4159,2.02,23.7815,5.7039
0,20240119,23.7,0.3853,1.66,23.7615,5.6991
0,20240122,22.23,0.3076,1.11,22.2877,5.3456
0,20240123,22.5,0.2704,0.89,22.5584,5.4106
0,20240124,22.26,0.3407,1.11,22.3178,5.3529
0,20240125,23.13,0.4983,1.45,23.19,5.5621
0,20240126,23.0,0.3952,1.1,23.0597,5.5308
0,20240129,22.3,0.2067,0.57,22.3579,5.3625
0,20240130,21.72,0.1721,0.5,21.7764,5.223
0,20240131,20.68,0.2935,0.91,20.7337,4.9729
0,20240201,20.79,0.2401,0.77,20.8439,4.9994
0,20240202,21.83,0.719,2.75,21.8866,5.2495
0,20240205,24.01,1.0079,3.09,24.0723,5.7737
0,20240206,24.79,1.0692,2.2,24.8543,5.9612
0,20240207,24.8,0.8069,1.21,24.8643,5.9636
0,20240208,25.15,0.7862,1.02,25.2153,6.0478
0,20240219,24.75,0.6704,0.76,24.8142,5.9516
0,20240220,24.13,0.8243,0.95,24.1926,5.8025
0,20240221,24.47,0.715,0.86,24.5335,5.8843
0,20240222,24.5,0.4472,0.59,24.5636,5.8915
0,20240223,24.98,0.6214,0.9,25.0448,6.0069
0,20240226,27.48,0.7701,1.17,27.5513,6.6081
0,20240227,28.6,3.5209,5.21,28.6742,6.8774
0,20240228,25.85,2.3902,1.97,25.9171,6.2161
0,20240229,27.47,1.7747,1.15,27.5413,6.6057
0,20240301,28.71,2.3701,1.31,28.7845,6.9039
0,20240304,28.08,1.7034,0.79,28.1529,6.7524
0,20240305,27.34,1.2393,0.53,27.4109,6.5744
0,20240306,27.95,1.3937,0.74,28.0225,6.7211
0,20240307,28.92,2.5248,1.49,28.995,6.9544
0,20240308,28.5,1.4434,0.78,28.5739,6.8534
0,20240311,28.4,1.0999,0.66,28.4737,6.8293
0,20240312,27.95,1.0373,0.67,28.0225,6.7211
0,20240313,27.78,0.8434,0.56,27.8521,6.6802
0,20240314,27.85,1.5136,1.09,27.9223,6.6971
0,20240315,28.9,1.3458,1.13,28.975,6.9496
0,20240318,28.84,1.0311,0.88,28.9148,6.9351
0,20240319,28.4,0.8873,0.77,28.4737,6.8293
0,20240320,28.54,0.7805,0.69,28.6141,6.863
0,20240321,28.35,0.7281,0.65,28.4236,6.8173
0,20240322,27.79,0.7585,0.79,27.8621,6.6827
0,20240325,26.95,0.8253,0.99,27.0199,6.4807
0,20240326,26.73,0.9635,1.21,22.8932,6.0342
0,20240327,26.15,0.6742,0.83,22.3965,5.9033
0,20240328,26.52,0.6553,0.83,22.7134,5.9868
0,20240329,26.89,0.5281,0.68,23.0303,6.0703
0,20240401,27.69,1.0297,1.41,23.7154,6.2509
0,20240402,27.51,0.4917,0.64,23.5613,6.2103
0,20240403,27.47,0.3455,0.51,23.527,6.2012
