,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.68,0.6422,0.6,15.4205,1.8191
0,20240103,14.74,0.8037,0.85,15.4835,1.8265
0,20240104,14.77,0.619,0.68,15.515,1.8302
0,20240105,14.54,0.7337,0.81,15.2734,1.8017
0,20240108,14.08,0.6188,0.83,14.7902,1.7447
0,20240109,14.23,0.6232,0.91,14.9478,1.7633
0,20240110,14.21,0.5708,0.84,14.9267,1.7608
0,20240111,14.47,0.4512,0.71,15.1999,1.793
0,20240112,14.44,0.3858,0.64,15.1683,1.7893
0,20240115,14.27,0.394,0.74,14.9898,1.7683
0,20240116,14.21,0.4696,0.97,14.9267,1.7608
0,20240117,13.86,0.4171,0.92,14.5591,1.7175
0,20240118,13.51,0.733,1.73,14.1914,1.6741
0,20240119,13.3,0.5304,1.11,13.9708,1.6481
0,20240122,12.35,0.7571,1.49,12.9729,1.5303
0,20240123,12.02,1.0424,1.79,12.6263,1.4895
0,20240124,11.96,0.9936,1.43,12.5633,1.482
0,20240125,12.54,1.0057,1.24,13.1725,1.5539
0,20240126,12.29,0.8766,1.01,12.9099,1.5229
0,20240129,11.92,0.901,0.96,12.5212,1.4771
0,20240130,11.46,0.8747,0.91,12.038,1.4201
0,20240131,10.83,0.9348,1.0,11.3763,1.342
0,20240201,10.7,1.0949,1.19,11.2397,1.3259
0,20240202,10.14,1.0645,1.14,10.6515,1.2565
0,20240205,9.39,1.8094,1.86,9.8636,1.1636
0,20240206,9.83,2.2662,1.96,10.3258,1.2181
0,20240207,9.82,2.5273,1.76,10.3153,1.2168
0,20240208,10.31,1.7192,0.98,10.83,1.2776
0,20240219,10.49,1.0984,0.59,11.0191,1.2999
0,20240220,10.46,0.6376,0.34,10.9876,1.2961
0,20240221,10.61,0.7724,0.47,11.1452,1.3147
0,20240222,10.85,0.6295,0.47,11.3973,1.3445
0,20240223,11.2,0.6991,0.72,11.7649,1.3878
0,20240226,11.45,0.7937,1.03,12.0275,1.4188
0,20240227,11.75,0.5844,0.83,12.3427,1.456
0,20240228,10.86,1.1999,1.72,11.4078,1.3457
0,20240229,11.29,0.8971,1.15,11.8595,1.399
0,20240301,11.28,0.9311,1.12,11.849,1.3978
0,20240304,11.22,0.5739,0.65,11.7859,1.3903
0,20240305,11.17,0.8321,0.99,11.7334,1.3841
0,20240306,11.28,0.5795,0.65,11.849,1.3978
0,20240307,11.29,0.6378,0.84,11.8595,1.399
0,20240308,11.45,0.5159,0.73,12.0275,1.4188
0,20240311,11.57,0.4893,0.78,12.1536,1.4337
0,20240312,11.68,0.542,0.89,12.2691,1.4473
0,20240313,11.78,0.571,1.03,12.3742,1.4597
0,20240314,11.83,0.5742,1.04,12.4267,1.4659
0,20240315,11.99,0.5686,1.06,12.5948,1.4857
0,20240318,12.49,1.2967,2.36,13.12,1.5477
0,20240319,12.35,0.7968,1.12,12.9729,1.5303
0,20240320,12.4,0.5482,0.72,13.0255,1.5365
0,20240321,12.47,0.5153,0.68,13.099,1.5452
0,20240322,12.23,0.5042,0.68,12.8469,1.5155
0,20240325,11.91,0.4914,0.67,12.5107,1.4758
0,20240326,11.97,0.5205,0.91,12.5738,1.4833
0,20240327,11.66,0.5403,1.05,12.2481,1.4448
0,20240328,11.93,0.596,1.16,12.5317,1.4783
0,20240329,12.2,0.5256,0.99,12.8154,1.5118
0,20240401,12.45,0.7668,1.43,13.078,1.5427
0,20240402,12.63,0.8207,1.39,13.2671,1.565
0,20240403,12.9,1.1661,1.79,13.5507,1.5985
