,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,12.75,1.3386,0.77,47.3563,2.5276
0,20240103,12.5,1.1316,0.66,46.4278,2.478
0,20240104,12.26,1.1385,0.67,45.5363,2.4305
0,20240105,11.89,1.4236,0.84,44.1621,2.3571
0,20240108,11.85,1.4615,0.96,44.0135,2.3492
0,20240109,11.84,0.7799,0.6,43.9764,2.3472
0,20240110,11.73,1.0253,0.86,43.5678,2.3254
0,20240111,12.0,1.1546,0.99,44.5707,2.3789
0,20240112,11.97,0.9348,0.8,44.4592,2.373
0,20240115,12.19,1.2181,1.14,45.2764,2.4166
0,20240116,11.72,1.5684,1.53,43.5307,2.3234
0,20240117,11.56,1.3802,1.17,42.9364,2.2917
0,20240118,11.38,2.5054,2.0,42.2678,2.256
0,20240119,11.37,1.0295,0.68,42.2307,2.254
0,20240122,10.53,2.2401,1.45,39.1107,2.0875
0,20240123,10.76,1.4372,0.82,39.965,2.1331
0,20240124,10.92,0.9969,0.58,40.5593,2.1648
0,20240125,11.35,1.2342,0.75,42.1564,2.2501
0,20240126,10.88,1.5429,1.11,40.4107,2.1569
0,20240129,10.5,1.0694,0.72,38.9993,2.0816
0,20240130,10.19,0.901,0.72,37.8479,2.0201
0,20240131,9.63,1.5245,1.33,35.7679,1.9091
0,20240201,9.85,1.0038,0.8,36.5851,1.9527
0,20240202,9.3,2.1721,1.8,34.5423,1.8437
0,20240205,8.78,1.7103,1.28,32.6109,1.7406
0,20240206,9.64,2.3546,1.61,35.8051,1.9111
0,20240207,10.44,2.561,1.46,38.7765,2.0697
0,20240208,10.78,2.5418,1.3,40.0393,2.1371
0,20240219,10.64,1.8068,0.8,39.5193,2.1093
0,20240220,10.8,1.4716,0.67,40.1136,2.141
0,20240221,10.75,1.3215,0.62,39.9279,2.1311
0,20240222,10.81,1.4688,0.76,40.1507,2.143
0,20240223,10.85,1.478,0.86,40.2993,2.1509
0,20240226,11.34,2.0641,1.37,42.1193,2.2481
0,20240227,11.86,2.2151,1.42,44.0507,2.3512
0,20240228,11.01,2.158,1.26,40.8936,2.1827
0,20240229,11.56,1.7109,0.91,42.9364,2.2917
0,20240301,11.83,1.6755,0.87,43.9392,2.3452
0,20240304,11.84,1.3607,0.69,43.9764,2.3472
0,20240305,11.97,1.9023,1.04,44.4592,2.373
0,20240306,11.79,1.3362,0.76,43.7907,2.3373
0,20240307,11.45,1.3447,0.84,42.5278,2.2699
0,20240308,11.75,1.4796,0.97,43.6421,2.3294
0,20240311,11.82,1.3909,0.94,43.9021,2.3432
0,20240312,11.87,1.4285,0.96,44.0878,2.3532
0,20240313,12.11,1.9916,1.43,44.9792,2.4007
0,20240314,11.98,1.5447,1.01,44.4964,2.375
0,20240315,11.86,1.6702,1.07,44.0507,2.3512
0,20240318,11.79,2.5924,1.62,43.7907,2.3373
0,20240319,11.68,1.8968,1.03,43.3821,2.3155
0,20240320,11.59,1.5411,0.79,43.0478,2.2976
0,20240321,11.23,2.5256,1.37,41.7107,2.2263
0,20240322,10.95,1.7121,0.84,40.6707,2.1708
0,20240325,10.85,1.5222,0.74,40.2993,2.1509
0,20240326,10.69,1.1718,0.64,39.705,2.1192
0,20240327,10.13,1.8264,1.08,37.6251,2.0082
0,20240328,10.5,1.7617,1.01,38.9993,2.0816
0,20240329,11.15,2.6808,1.68,39.363,2.1507
0,20240401,11.6,3.0386,1.7,40.9516,2.2375
0,20240402,11.32,1.6806,0.8,39.9631,2.1835
0,20240403,11.23,1.4712,0.67,39.6454,2.1661
