,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,44.32,5.5817,1.53,28.0039,2.4779
0,20240103,44.33,4.4568,1.01,28.0102,2.4784
0,20240104,44.64,3.0246,0.62,28.206,2.4958
0,20240105,44.15,3.0368,0.61,27.8964,2.4684
0,20240108,43.11,2.7236,0.55,27.2393,2.4102
0,20240109,42.8,2.6433,0.7,27.0434,2.3929
0,20240110,42.63,2.5721,0.81,26.936,2.3834
0,20240111,43.7,3.8196,1.36,27.6121,2.4432
0,20240112,43.92,6.2329,2.11,27.7511,2.4555
0,20240115,44.06,4.0624,1.13,27.8396,2.4633
0,20240116,43.33,2.6893,0.7,27.3783,2.4225
0,20240117,41.78,2.6959,0.7,26.3989,2.3359
0,20240118,41.99,4.4914,1.15,26.5316,2.3476
0,20240119,41.08,2.0556,0.51,25.9566,2.2967
0,20240122,37.49,7.0907,2.22,23.6883,2.096
0,20240123,36.84,4.4144,1.16,23.2776,2.0597
0,20240124,37.11,3.3777,0.81,23.4482,2.0748
0,20240125,39.0,5.005,1.17,24.6424,2.1804
0,20240126,39.76,9.6325,2.19,25.1226,2.2229
0,20240129,38.7,4.1138,0.7,24.4528,2.1637
0,20240130,36.87,2.9539,0.56,23.2965,2.0613
0,20240131,34.83,3.0468,0.61,22.0075,1.9473
0,20240201,35.01,1.9371,0.39,22.1213,1.9574
0,20240202,32.75,4.6293,1.07,20.6933,1.831
0,20240205,29.48,4.9848,1.49,18.6271,1.6482
0,20240206,30.22,6.0936,1.74,19.0947,1.6896
0,20240207,29.28,5.7043,1.38,18.5007,1.637
0,20240208,31.02,5.3873,1.15,19.6002,1.7343
0,20240219,32.0,5.1293,0.96,20.2194,1.7891
0,20240220,32.32,4.1045,0.75,20.4216,1.807
0,20240221,32.5,5.548,1.05,20.5353,1.817
0,20240222,33.24,3.6611,0.71,21.0029,1.8584
0,20240223,33.79,4.215,0.88,21.3504,1.8891
0,20240226,34.65,5.8168,1.28,21.8938,1.9372
0,20240227,36.0,5.5828,1.2,22.7468,2.0127
0,20240228,34.77,9.1575,1.84,21.9696,1.9439
0,20240229,35.2,6.1837,1.09,22.2413,1.968
0,20240301,34.82,4.8504,0.78,22.0012,1.9467
0,20240304,35.03,3.2993,0.52,22.1339,1.9585
0,20240305,33.42,6.4132,1.1,21.1166,1.8685
0,20240306,33.3,3.6383,0.61,21.0408,1.8618
0,20240307,32.88,3.6156,0.74,20.7754,1.8383
0,20240308,32.99,3.3888,0.78,20.8449,1.8444
0,20240311,33.63,3.2837,0.81,21.2493,1.8802
0,20240312,34.45,5.1067,1.26,21.7674,1.926
0,20240313,34.55,3.7001,0.97,21.8306,1.9316
0,20240314,34.53,6.5965,1.73,21.818,1.9305
0,20240315,34.78,3.3135,0.75,21.9759,1.9445
0,20240318,35.29,3.3285,0.76,22.2982,1.973
0,20240319,35.16,2.7451,0.62,22.2161,1.9657
0,20240320,35.49,2.9652,0.75,22.4246,1.9842
0,20240321,35.22,3.4794,0.92,22.254,1.9691
0,20240322,34.22,3.4507,1.09,21.6221,1.9132
0,20240325,33.3,2.8551,0.89,21.0408,1.8618
0,20240326,32.72,3.2056,1.03,20.6743,1.8293
0,20240327,33.5,6.5621,2.06,21.1672,1.8729
0,20240328,33.4,3.6996,0.95,21.104,1.8673
0,20240329,33.45,2.3784,0.6,21.1356,1.8701
0,20240401,34.36,3.6469,0.98,21.7106,1.921
0,20240402,34.25,2.2387,0.57,21.6411,1.9149
0,20240403,34.15,2.2141,0.6,21.5779,1.9093
