,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.86,0.3949,0.5,50.473,2.0641
0,20240103,6.88,0.3889,0.49,50.6202,2.0701
0,20240104,6.86,0.2436,0.33,50.473,2.0641
0,20240105,6.68,0.3714,0.67,49.1487,2.01
0,20240108,6.47,0.4129,0.97,47.6036,1.9468
0,20240109,6.38,0.5515,1.52,46.9414,1.9197
0,20240110,6.33,0.3136,0.8,46.5735,1.9046
0,20240111,6.45,0.3176,0.84,47.4564,1.9407
0,20240112,6.35,0.4681,1.19,46.7207,1.9107
0,20240115,6.4,0.3278,0.79,47.0886,1.9257
0,20240116,6.38,0.4289,1.08,46.9414,1.9197
0,20240117,6.26,0.32,0.86,46.0585,1.8836
0,20240118,6.11,0.6124,1.64,44.9549,1.8384
0,20240119,6.05,0.3772,0.87,44.5134,1.8204
0,20240122,5.71,0.5398,1.31,42.0118,1.7181
0,20240123,5.72,0.5481,1.2,42.0854,1.7211
0,20240124,5.99,0.778,1.62,44.0719,1.8023
0,20240125,6.18,0.7538,1.32,45.4699,1.8595
0,20240126,6.19,0.4399,0.73,45.5435,1.8625
0,20240129,6.03,0.3734,0.61,44.3662,1.8144
0,20240130,5.86,0.4415,0.76,43.1155,1.7632
0,20240131,5.58,0.6292,1.13,41.0553,1.679
0,20240201,5.38,0.6917,1.31,39.5838,1.6188
0,20240202,5.09,1.2753,2.48,37.4501,1.5315
0,20240205,4.58,1.2504,1.83,33.6977,1.3781
0,20240206,4.78,1.7554,2.05,35.1693,1.4383
0,20240207,4.69,1.8451,1.65,34.5071,1.4112
0,20240208,4.88,1.5573,1.14,35.905,1.4683
0,20240219,5.19,1.3402,0.87,38.1859,1.5616
0,20240220,5.3,0.9249,0.6,38.9952,1.5947
0,20240221,5.27,0.6952,0.47,38.7745,1.5857
0,20240222,5.33,0.4884,0.38,39.2159,1.6038
0,20240223,5.38,0.6436,0.64,39.5838,1.6188
0,20240226,5.6,0.8059,0.98,41.2025,1.685
0,20240227,5.67,0.4366,0.61,41.7175,1.7061
0,20240228,5.37,0.9257,1.51,39.5102,1.6158
0,20240229,5.49,0.4749,0.72,40.3932,1.6519
0,20240301,5.5,0.4369,0.66,40.4667,1.6549
0,20240304,5.51,0.4707,0.76,40.5403,1.6579
0,20240305,5.42,0.4615,0.84,39.8781,1.6308
0,20240306,5.48,0.5379,0.97,40.3196,1.6489
0,20240307,5.39,0.3632,0.76,39.6574,1.6218
0,20240308,5.5,0.4112,0.91,40.4667,1.6549
0,20240311,5.52,0.4932,1.1,40.6139,1.6609
0,20240312,5.62,0.5916,1.3,41.3496,1.691
0,20240313,5.58,0.5377,1.12,41.0553,1.679
0,20240314,5.58,0.5887,1.23,41.0553,1.679
0,20240315,5.64,0.5689,1.08,41.4968,1.697
0,20240318,5.73,0.5724,1.03,42.159,1.7241
0,20240319,5.72,0.5131,0.9,42.0854,1.7211
0,20240320,5.73,0.3941,0.71,42.159,1.7241
0,20240321,5.72,0.4493,0.85,42.0854,1.7211
0,20240322,5.65,0.4355,0.87,41.5704,1.7
0,20240325,5.67,0.7959,1.68,41.7175,1.7061
0,20240326,5.67,1.0193,1.97,41.7175,1.7061
0,20240327,5.51,0.7609,1.23,40.5403,1.6579
0,20240328,5.59,0.4934,0.71,41.1289,1.682
0,20240329,5.59,0.4787,0.68,41.1289,1.682
0,20240401,5.81,1.0445,1.47,42.7476,1.7482
0,20240402,5.79,0.7769,1.02,42.6004,1.7422
0,20240403,5.77,0.5469,0.77,42.4533,1.7361
