,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.34,0.7429,0.99,23.0685,1.3683
0,20240103,9.74,3.1784,4.53,24.0565,1.4269
0,20240104,9.68,1.2389,1.02,23.9083,1.4181
0,20240105,9.52,0.8723,0.63,23.5131,1.3947
0,20240108,9.52,1.1924,0.89,23.5131,1.3947
0,20240109,9.69,1.2532,0.87,23.933,1.4196
0,20240110,9.62,0.7083,0.46,23.7601,1.4093
0,20240111,9.6,0.5738,0.54,23.7107,1.4064
0,20240112,9.58,0.9411,1.02,23.6613,1.4034
0,20240115,9.07,2.5919,2.78,22.4016,1.3287
0,20240116,8.94,1.4704,1.21,22.0806,1.3097
0,20240117,8.86,0.7504,0.6,21.883,1.298
0,20240118,8.9,0.8793,0.69,21.9818,1.3038
0,20240119,8.85,0.4036,0.3,21.8583,1.2965
0,20240122,8.5,0.8923,0.73,20.9938,1.2452
0,20240123,8.56,0.6907,0.79,21.142,1.254
0,20240124,8.63,0.713,0.99,21.3149,1.2643
0,20240125,8.88,0.9226,1.29,21.9324,1.3009
0,20240126,8.82,0.745,1.03,21.7842,1.2921
0,20240129,8.72,0.5867,0.74,21.5372,1.2775
0,20240130,8.57,0.4415,0.6,21.1667,1.2555
0,20240131,7.71,1.5292,2.24,19.0426,1.1295
0,20240201,7.39,2.1073,2.49,18.2523,1.0826
0,20240202,7.14,1.7675,1.63,17.6348,1.046
0,20240205,6.61,2.0551,1.6,16.3258,0.9683
0,20240206,7.19,1.6156,1.02,17.7583,1.0533
0,20240207,7.65,2.0824,1.15,18.8944,1.1207
0,20240208,7.82,1.6883,0.88,19.3143,1.1456
0,20240219,7.78,1.4358,0.78,19.2155,1.1398
0,20240220,7.83,0.9133,0.51,19.339,1.1471
0,20240221,7.87,1.3314,0.86,19.4378,1.1529
0,20240222,7.87,0.8916,0.6,19.4378,1.1529
0,20240223,7.92,1.0505,0.84,19.5613,1.1603
0,20240226,7.98,1.1775,1.05,19.7095,1.1691
0,20240227,8.13,0.9776,0.91,20.08,1.191
0,20240228,7.9,1.8972,1.75,19.5119,1.1573
0,20240229,8.04,1.2666,1.06,19.8577,1.1778
0,20240301,8.0,1.016,0.8,19.7589,1.172
0,20240304,8.03,1.159,0.91,19.833,1.1764
0,20240305,7.86,1.1745,0.93,19.4131,1.1515
0,20240306,7.81,0.7865,0.6,19.2896,1.1441
0,20240307,7.63,1.1653,1.08,18.845,1.1178
0,20240308,7.66,0.6217,0.59,18.9191,1.1222
0,20240311,7.78,0.7459,0.76,19.2155,1.1398
0,20240312,7.94,1.0758,1.2,19.6107,1.1632
0,20240313,7.94,0.7755,0.88,19.6107,1.1632
0,20240314,7.87,1.3551,1.55,19.4378,1.1529
0,20240315,7.97,0.9026,0.99,19.6848,1.1676
0,20240318,8.04,0.9626,0.99,19.8577,1.1778
0,20240319,7.97,0.6819,0.67,19.6848,1.1676
0,20240320,8.19,1.6399,1.75,20.2282,1.1998
0,20240321,8.07,1.0989,0.99,19.9318,1.1822
0,20240322,7.91,0.9911,0.94,19.5366,1.1588
0,20240325,7.76,0.7049,0.69,19.1661,1.1368
0,20240326,7.74,0.5585,0.57,19.1167,1.1339
0,20240327,7.6,0.5704,0.59,18.7709,1.1134
0,20240328,7.67,0.6381,0.84,18.9438,1.1236
0,20240329,7.69,0.5054,0.74,18.9932,1.1266
0,20240401,7.93,0.7651,1.28,19.586,1.1617
0,20240402,7.93,0.6981,1.15,19.586,1.1617
0,20240403,7.91,0.5879,0.93,19.5366,1.1588
