,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.91,0.4892,1.95,12.2424,1.2452
0,20240103,2.93,0.3936,1.25,12.3265,1.2538
0,20240104,2.94,0.2711,0.73,12.3686,1.2581
0,20240105,2.91,0.2638,0.75,12.2424,1.2452
0,20240108,2.88,0.2555,0.74,12.1162,1.2324
0,20240109,2.9,0.2548,0.76,12.2003,1.241
0,20240110,2.87,0.2484,0.86,12.0741,1.2281
0,20240111,2.88,0.1921,0.74,12.1162,1.2324
0,20240112,2.9,0.1808,0.74,12.2003,1.241
0,20240115,2.91,0.2118,0.94,12.2424,1.2452
0,20240116,2.9,0.2356,1.08,12.2003,1.241
0,20240117,2.86,0.2388,1.12,12.032,1.2238
0,20240118,2.82,0.3794,1.79,11.8638,1.2067
0,20240119,2.79,0.2496,1.0,11.7375,1.1939
0,20240122,2.67,0.3192,1.21,11.2327,1.1425
0,20240123,2.7,0.2468,0.87,11.3589,1.1554
0,20240124,2.84,0.4755,1.66,11.9479,1.2153
0,20240125,3.02,0.8416,2.52,12.7052,1.2923
0,20240126,3.01,0.4369,1.02,12.6631,1.288
0,20240129,3.03,0.4775,1.03,12.7472,1.2966
0,20240130,2.98,0.3579,0.72,12.5369,1.2752
0,20240131,2.93,0.3272,0.63,12.3265,1.2538
0,20240201,2.9,0.3805,0.78,12.2003,1.241
0,20240202,2.86,0.3764,0.95,12.032,1.2238
0,20240205,2.77,0.5253,1.37,11.6534,1.1853
0,20240206,2.91,0.5276,1.34,12.2424,1.2452
0,20240207,3.07,0.7176,1.68,12.9155,1.3137
0,20240208,3.16,0.7455,1.47,13.2941,1.3522
0,20240219,3.15,0.6015,1.04,13.2521,1.3479
0,20240220,3.14,0.3231,0.52,13.21,1.3436
0,20240221,3.15,0.3542,0.61,13.2521,1.3479
0,20240222,3.19,0.356,0.65,13.4203,1.365
0,20240223,3.26,0.5333,1.12,13.7148,1.395
0,20240226,3.27,0.5708,1.32,13.7569,1.3993
0,20240227,3.28,0.3031,0.71,13.799,1.4036
0,20240228,3.24,0.4273,1.01,13.6307,1.3864
0,20240229,3.32,0.3415,0.78,13.9673,1.4207
0,20240301,3.3,0.4014,0.92,13.8831,1.4121
0,20240304,3.34,0.4338,1.06,14.0514,1.4292
0,20240305,3.32,0.3038,0.8,13.9673,1.4207
0,20240306,3.35,0.3896,1.02,14.0935,1.4335
0,20240307,3.33,0.2848,0.76,14.0093,1.425
0,20240308,3.39,0.2789,0.77,14.2617,1.4506
0,20240311,3.35,0.3115,0.92,14.0935,1.4335
0,20240312,3.26,0.4039,1.29,13.7148,1.395
0,20240313,3.24,0.3173,0.95,13.6307,1.3864
0,20240314,3.26,0.3172,0.99,13.7148,1.395
0,20240315,3.34,0.3216,0.99,14.0514,1.4292
0,20240318,3.37,0.3034,0.91,14.1776,1.4421
0,20240319,3.33,0.3371,1.01,14.0093,1.425
0,20240320,3.34,0.1952,0.61,14.0514,1.4292
0,20240321,3.32,0.2046,0.69,13.9673,1.4207
0,20240322,3.27,0.2358,0.87,13.7569,1.3993
0,20240325,3.31,0.267,1.05,13.9252,1.4164
0,20240326,3.29,0.2121,0.86,13.841,1.4078
0,20240327,3.29,0.237,1.06,13.841,1.4078
0,20240328,3.41,0.5354,2.31,14.3459,1.4592
0,20240329,3.54,0.5715,1.92,14.8928,1.5148
0,20240401,3.5,0.4578,1.26,14.7245,1.4977
0,20240402,3.64,0.5872,1.46,15.3135,1.5576
0,20240403,3.76,0.6638,1.39,15.8183,1.609
