,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,2.45,0.7907,1.79,27.4392,0.8717
0,20240103,2.47,0.5519,1.08,27.6632,0.8788
0,20240104,2.46,0.5873,1.05,27.5512,0.8752
0,20240105,2.44,0.5445,0.94,27.3272,0.8681
0,20240108,2.4,0.5117,0.88,26.8792,0.8539
0,20240109,2.42,0.4789,0.8,27.1032,0.861
0,20240110,2.41,0.3786,0.71,26.9912,0.8574
0,20240111,2.42,0.3879,0.78,27.1032,0.861
0,20240112,2.44,0.5401,1.17,27.3272,0.8681
0,20240115,2.44,0.3475,0.76,27.3272,0.8681
0,20240116,2.44,0.5379,1.26,27.3272,0.8681
0,20240117,2.39,0.5092,1.16,26.7672,0.8503
0,20240118,2.37,1.0362,2.23,26.5432,0.8432
0,20240119,2.34,0.3992,0.67,26.2073,0.8325
0,20240122,2.24,0.5659,1.0,25.0873,0.7969
0,20240123,2.32,0.8763,1.44,25.9833,0.8254
0,20240124,2.35,0.7464,1.1,26.3193,0.8361
0,20240125,2.44,0.8934,1.23,27.3272,0.8681
0,20240126,2.49,0.898,1.29,27.8872,0.8859
0,20240129,2.47,0.6699,0.84,27.6632,0.8788
0,20240130,2.41,0.6073,0.74,26.9912,0.8574
0,20240131,2.36,0.7681,1.01,26.4313,0.8396
0,20240201,2.33,0.6767,0.88,26.0953,0.829
0,20240202,2.29,0.7528,1.04,25.6473,0.8147
0,20240205,2.21,0.9466,1.36,24.7513,0.7863
0,20240206,2.3,0.9573,1.28,25.7593,0.8183
0,20240207,2.42,1.1384,1.39,27.1032,0.861
0,20240208,2.45,1.2386,1.38,27.4392,0.8717
0,20240219,2.46,0.8294,0.82,27.5512,0.8752
0,20240220,2.44,0.6001,0.59,27.3272,0.8681
0,20240221,2.44,0.7848,0.82,27.3272,0.8681
0,20240222,2.45,0.6548,0.71,27.4392,0.8717
0,20240223,2.48,1.1381,1.39,27.7752,0.8823
0,20240226,2.44,0.8035,1.0,27.3272,0.8681
0,20240227,2.46,0.717,0.9,27.5512,0.8752
0,20240228,2.43,1.0731,1.31,27.2152,0.8645
0,20240229,2.45,0.8144,0.93,27.4392,0.8717
0,20240301,2.45,0.7475,0.82,27.4392,0.8717
0,20240304,2.43,0.6352,0.76,27.2152,0.8645
0,20240305,2.4,0.587,0.74,26.8792,0.8539
0,20240306,2.41,0.549,0.71,26.9912,0.8574
0,20240307,2.4,0.4914,0.74,26.8792,0.8539
0,20240308,2.42,0.5102,0.85,27.1032,0.861
0,20240311,2.43,0.5514,0.99,27.2152,0.8645
0,20240312,2.41,0.9388,1.75,26.9912,0.8574
0,20240313,2.41,0.5902,0.97,26.9912,0.8574
0,20240314,2.42,0.7605,1.23,27.1032,0.861
0,20240315,2.46,0.8187,1.22,27.5512,0.8752
0,20240318,2.5,1.0225,1.4,27.9992,0.8894
0,20240319,2.49,0.6963,0.84,27.8872,0.8859
0,20240320,2.49,0.4632,0.6,27.8872,0.8859
0,20240321,2.48,0.4528,0.6,27.7752,0.8823
0,20240322,2.48,0.6978,1.01,27.7752,0.8823
0,20240325,2.52,0.9692,1.45,28.2232,0.8966
0,20240326,2.51,0.7851,1.2,28.1112,0.893
0,20240327,2.54,1.7076,2.53,11.7567,0.9055
0,20240328,2.6,1.5616,1.69,12.0344,0.9269
0,20240329,2.62,1.0579,0.92,12.127,0.934
0,20240401,2.67,1.2577,1.03,12.3584,0.9519
0,20240402,2.68,1.268,1.0,12.4047,0.9554
0,20240403,2.75,1.3704,1.0,12.7287,0.9804
