,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.96,2.2526,1.72,82.6363,2.0993
0,20240103,11.52,2.0562,1.3,79.5962,2.0221
0,20240104,11.52,1.1186,0.63,79.5962,2.0221
0,20240105,11.23,1.2941,0.75,77.5925,1.9712
0,20240108,11.02,0.9728,0.57,76.1415,1.9343
0,20240109,10.99,0.9121,0.59,75.9342,1.9291
0,20240110,10.82,0.8344,0.66,74.7596,1.8992
0,20240111,10.96,0.8275,0.81,75.7269,1.9238
0,20240112,10.85,0.7336,0.76,74.9669,1.9045
0,20240115,10.94,0.5502,0.64,75.5887,1.9203
0,20240116,10.78,0.8055,1.04,74.4832,1.8922
0,20240117,10.6,2.6116,3.48,73.2396,1.8606
0,20240118,10.51,2.5231,2.28,72.6177,1.8448
0,20240119,10.62,1.7771,1.23,73.3777,1.8641
0,20240122,10.97,6.5642,3.97,75.796,1.9256
0,20240123,10.22,6.1667,2.16,70.614,1.7939
0,20240124,10.59,4.1093,1.05,73.1705,1.8589
0,20240125,11.08,3.2606,0.77,76.5561,1.9449
0,20240126,11.03,2.8788,0.66,76.2106,1.9361
0,20240129,10.45,2.1941,0.48,72.2031,1.8343
0,20240130,9.8,1.9942,0.54,67.712,1.7202
0,20240131,8.95,2.451,0.85,61.8391,1.571
0,20240201,8.74,1.7602,0.69,60.3881,1.5341
0,20240202,8.19,2.1443,0.95,56.5879,1.4376
0,20240205,7.37,2.3506,1.11,50.9222,1.2937
0,20240206,7.47,2.725,1.27,51.6132,1.3112
0,20240207,7.27,2.7911,1.22,50.2313,1.2761
0,20240208,8.0,2.7425,1.16,55.2751,1.4042
0,20240219,8.8,4.2606,1.67,60.8026,1.5447
0,20240220,8.89,2.0805,0.7,61.4245,1.5605
0,20240221,8.78,2.1774,0.75,60.6645,1.5411
0,20240222,9.08,1.5831,0.56,62.7373,1.5938
0,20240223,9.2,1.8288,0.71,63.5664,1.6149
0,20240226,9.3,1.6084,0.67,64.2573,1.6324
0,20240227,9.88,1.829,0.99,68.2648,1.7342
0,20240228,9.15,2.6425,1.46,63.2209,1.6061
0,20240229,9.3,2.2274,1.17,64.2573,1.6324
0,20240301,9.5,1.4819,0.73,65.6392,1.6675
0,20240304,9.49,1.3635,0.7,65.5701,1.6658
0,20240305,9.29,1.077,0.56,64.1882,1.6307
0,20240306,9.39,0.9501,0.54,64.8792,1.6482
0,20240307,9.41,1.5912,1.12,65.0174,1.6517
0,20240308,9.45,0.7223,0.56,65.2938,1.6588
0,20240311,9.64,0.8923,0.78,66.6065,1.6921
0,20240312,9.7,0.899,0.86,67.0211,1.7026
0,20240313,9.76,1.0928,1.08,67.4357,1.7132
0,20240314,9.73,0.9108,0.88,67.2284,1.7079
0,20240315,9.9,1.2225,1.35,68.403,1.7377
0,20240318,10.08,1.3642,1.36,69.6467,1.7693
0,20240319,10.09,1.2455,1.13,69.7158,1.7711
0,20240320,10.19,0.8576,0.73,70.4067,1.7886
0,20240321,10.17,1.0197,0.91,70.2685,1.7851
0,20240322,10.07,1.3011,1.14,69.5776,1.7676
0,20240325,10.06,3.5633,3.08,69.5085,1.7658
0,20240326,9.86,2.0973,1.31,68.1266,1.7307
0,20240327,9.54,1.4492,0.82,65.9156,1.6745
0,20240328,9.53,2.3772,1.26,60.8964,1.6748
0,20240329,9.54,1.2347,0.57,60.9603,1.6766
0,20240401,10.05,2.1422,1.0,64.2192,1.7662
0,20240402,9.71,1.451,0.78,62.0466,1.7065
0,20240403,9.65,0.9597,0.55,61.6632,1.6959
