,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.03,0.6464,1.74,16.1626,1.1047
0,20240103,5.05,0.4916,1.16,16.2269,1.1091
0,20240104,5.09,0.5124,1.11,16.3554,1.1178
0,20240105,5.04,0.4705,0.94,16.1947,1.1069
0,20240108,4.93,0.4331,0.88,15.8413,1.0827
0,20240109,4.99,0.4772,0.93,16.0341,1.0959
0,20240110,5.04,0.5284,1.11,16.1947,1.1069
0,20240111,5.16,2.3685,4.89,16.5803,1.1332
0,20240112,5.14,2.1662,2.53,16.516,1.1288
0,20240115,4.99,1.5904,1.33,16.0341,1.0959
0,20240116,4.95,0.9787,0.69,15.9055,1.0871
0,20240117,4.87,0.656,0.43,15.6485,1.0695
0,20240118,4.8,1.1036,0.71,15.4235,1.0542
0,20240119,4.73,0.5218,0.4,15.1986,1.0388
0,20240122,4.46,0.8808,0.91,14.331,0.9795
0,20240123,4.52,0.6018,0.73,14.5238,0.9927
0,20240124,4.65,0.5919,0.79,14.9416,1.0212
0,20240125,4.86,0.8385,1.13,15.6163,1.0673
0,20240126,4.93,0.7071,1.03,15.8413,1.0827
0,20240129,4.82,0.5057,0.7,15.4878,1.0585
0,20240130,4.71,0.581,0.9,15.1344,1.0344
0,20240131,4.59,0.6409,0.99,14.7488,1.008
0,20240201,4.48,0.778,1.19,14.3953,0.9839
0,20240202,4.25,0.8656,1.35,13.6514,0.9333
0,20240205,3.93,1.3591,2.02,12.6235,0.863
0,20240206,4.21,1.0838,1.28,13.5229,0.9245
0,20240207,4.4,1.3044,1.38,14.1332,0.9662
0,20240208,4.64,1.5844,1.47,14.9041,1.0189
0,20240219,4.55,1.1835,0.95,14.615,0.9991
0,20240220,4.49,0.618,0.47,14.4223,0.986
0,20240221,4.51,0.7632,0.66,14.4866,0.9904
0,20240222,4.52,0.5903,0.54,14.5187,0.9926
0,20240223,4.56,0.6324,0.67,14.6472,1.0013
0,20240226,4.59,0.8504,1.12,14.7435,1.0079
0,20240227,4.72,0.8003,1.16,15.1611,1.0365
0,20240228,4.53,1.0508,1.44,14.5508,0.9947
0,20240229,4.63,0.7499,0.96,14.872,1.0167
0,20240301,4.64,0.6357,0.78,14.9041,1.0189
0,20240304,4.57,0.5677,0.69,14.6793,1.0035
0,20240305,4.5,0.481,0.63,14.4544,0.9882
0,20240306,4.51,0.5112,0.73,14.4866,0.9904
0,20240307,4.5,0.4521,0.77,14.4544,0.9882
0,20240308,4.49,0.4005,0.76,14.4223,0.986
0,20240311,4.54,0.5056,1.05,14.5829,0.9969
0,20240312,4.54,0.6199,1.32,14.5829,0.9969
0,20240313,4.51,0.6787,1.36,14.4866,0.9904
0,20240314,4.54,0.8427,1.59,14.5829,0.9969
0,20240315,4.65,0.8036,1.32,14.9362,1.0211
0,20240318,4.66,0.6402,0.93,14.9684,1.0233
0,20240319,4.62,0.469,0.65,14.8399,1.0145
0,20240320,4.63,0.4103,0.6,14.872,1.0167
0,20240321,4.62,0.3943,0.62,14.8399,1.0145
0,20240322,4.52,0.6156,1.13,14.5187,0.9926
0,20240325,4.47,0.4827,0.95,14.3581,0.9816
0,20240326,4.48,0.4662,0.98,14.3902,0.9838
0,20240327,4.4,0.5038,1.06,14.1332,0.9662
0,20240328,4.42,0.4208,0.85,14.1975,0.9706
0,20240329,4.51,0.445,0.89,14.4866,0.9904
0,20240401,4.58,0.4872,1.05,14.7114,1.0057
0,20240402,4.63,0.7635,1.64,14.872,1.0167
0,20240403,4.64,0.5344,1.02,14.9041,1.0189
