,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.85,2.2017,1.23,66.1226,1.435
0,20240103,10.0,2.4143,1.39,67.1295,1.4569
0,20240104,10.24,5.0159,2.72,68.7406,1.4918
0,20240105,10.0,2.9116,1.13,67.1295,1.4569
0,20240108,9.74,1.8878,0.68,65.3841,1.419
0,20240109,9.81,1.33,0.46,65.8541,1.4292
0,20240110,10.11,5.0357,1.86,67.8679,1.4729
0,20240111,10.0,3.0943,0.96,67.1295,1.4569
0,20240112,9.75,2.2578,0.79,65.4513,1.4204
0,20240115,9.69,1.316,0.48,65.0485,1.4117
0,20240116,9.63,1.935,0.74,64.6457,1.403
0,20240117,9.3,1.6012,0.59,62.4304,1.3549
0,20240118,9.09,2.257,1.11,61.0207,1.3243
0,20240119,8.88,1.0752,0.57,59.611,1.2937
0,20240122,8.29,1.6529,1.01,55.6504,1.2077
0,20240123,8.29,0.9861,0.58,55.6504,1.2077
0,20240124,8.54,1.8568,1.23,57.3286,1.2442
0,20240125,8.99,2.4101,1.54,60.3494,1.3097
0,20240126,9.19,2.5646,1.61,61.692,1.3389
0,20240129,9.0,1.6788,0.89,60.4166,1.3112
0,20240130,8.93,1.3234,0.7,59.9467,1.301
0,20240131,8.55,1.4192,0.72,57.3957,1.2456
0,20240201,8.38,1.244,0.66,56.2545,1.2209
0,20240202,8.0,1.5595,0.95,53.7036,1.1655
0,20240205,7.2,2.1142,1.46,48.3332,1.0489
0,20240206,7.32,1.8128,1.18,49.1388,1.0664
0,20240207,7.23,1.9968,1.23,48.5346,1.0533
0,20240208,7.73,1.9712,1.13,51.8911,1.1262
0,20240219,8.5,1.6882,0.89,57.0601,1.2383
0,20240220,8.55,3.701,1.93,57.3957,1.2456
0,20240221,8.47,2.7641,1.24,56.8587,1.234
0,20240222,8.56,2.3739,0.98,57.4629,1.2471
0,20240223,8.64,1.9977,0.8,57.9999,1.2587
0,20240226,8.62,1.6404,0.65,57.8656,1.2558
0,20240227,8.76,1.4872,0.6,58.8055,1.2762
0,20240228,8.55,3.9189,1.91,57.3957,1.2456
0,20240229,8.83,2.1766,0.95,59.2754,1.2864
0,20240301,8.86,1.7982,0.8,59.4767,1.2908
0,20240304,8.9,1.3047,0.59,59.7453,1.2966
0,20240305,8.87,2.2971,1.07,59.5439,1.2922
0,20240306,8.92,1.6203,0.7,59.8795,1.2995
0,20240307,8.85,1.902,1.03,59.4096,1.2893
0,20240308,8.77,1.2435,0.7,58.8726,1.2777
0,20240311,9.01,1.8307,1.09,60.4837,1.3126
0,20240312,9.02,1.3612,0.77,60.5508,1.3141
0,20240313,9.09,1.4924,0.94,61.0207,1.3243
0,20240314,9.04,1.4325,0.91,60.6851,1.317
0,20240315,9.07,1.0345,0.7,60.8865,1.3214
0,20240318,9.48,3.1777,2.22,63.6388,1.3811
0,20240319,9.84,4.7633,2.8,66.0554,1.4336
0,20240320,9.74,2.3278,0.98,65.3841,1.419
0,20240321,9.84,2.7133,1.07,66.0554,1.4336
0,20240322,9.64,1.9139,0.68,64.7129,1.4044
0,20240325,9.52,1.6554,0.56,63.9073,1.3869
0,20240326,9.34,2.0156,0.75,62.699,1.3607
0,20240327,9.12,1.5142,0.71,61.2221,1.3287
0,20240328,9.19,1.2528,0.64,61.692,1.3389
0,20240329,9.39,1.1644,0.7,63.0346,1.368
0,20240401,9.41,1.2182,0.8,63.1689,1.3709
0,20240402,9.33,1.1749,0.82,62.6318,1.3593
0,20240403,9.45,1.8743,1.48,88.6718,1.3839
