,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.18,1.4432,1.93,,13.0034
0,20240103,10.81,1.409,1.51,,12.573
0,20240104,10.54,1.504,1.39,,12.259
0,20240105,11.38,5.9243,4.88,,13.236
0,20240108,10.8,5.2003,2.33,,12.5614
0,20240109,10.86,2.3896,0.77,,12.6312
0,20240110,10.76,1.2433,0.38,,12.5149
0,20240111,10.66,1.1321,0.35,,12.3986
0,20240112,10.53,0.844,0.27,,12.2474
0,20240115,10.53,0.7128,0.33,,12.2474
0,20240116,10.46,0.7611,0.6,,12.1659
0,20240117,10.37,0.5636,0.6,,12.0613
0,20240118,9.88,1.4158,1.76,,11.4913
0,20240119,9.96,0.8022,0.93,,11.5844
0,20240122,9.27,0.8807,1.03,,10.7819
0,20240123,9.11,0.9851,1.11,,10.5958
0,20240124,9.25,0.8864,0.95,,10.7586
0,20240125,9.81,0.7227,0.73,,11.4099
0,20240126,10.17,0.7882,0.92,,11.8286
0,20240129,9.77,0.9179,1.08,,11.3634
0,20240130,9.32,0.6371,0.74,,10.84
0,20240131,8.76,1.0733,1.36,,10.1887
0,20240201,8.29,1.3351,1.61,,9.642
0,20240202,7.76,1.3622,1.43,,9.0256
0,20240205,6.98,2.0377,1.91,,8.1184
0,20240206,6.8,2.3549,1.83,,7.909
0,20240207,6.5,2.0437,1.25,,7.5601
0,20240208,7.15,1.6413,0.9,,8.3161
0,20240219,7.77,1.7263,0.91,,9.0372
0,20240220,7.87,0.6293,0.32,,9.1535
0,20240221,8.2,0.7673,0.46,,9.5374
0,20240222,8.24,0.6056,0.44,,9.5839
0,20240223,8.5,0.8428,0.78,,9.8863
0,20240226,8.85,0.9127,1.0,,10.2934
0,20240227,8.85,0.6238,0.83,,10.2934
0,20240228,8.2,1.2933,1.72,,9.5374
0,20240229,8.53,1.1896,1.39,,9.9212
0,20240301,8.62,0.6639,0.68,,10.0259
0,20240304,8.57,0.5122,0.55,,9.9677
0,20240305,8.28,0.5851,0.68,,9.6304
0,20240306,8.39,0.5419,0.64,,9.7583
0,20240307,8.28,0.4287,0.61,,9.6304
0,20240308,8.4,0.592,1.08,,9.77
0,20240311,8.47,0.4447,0.84,,9.8514
0,20240312,8.59,0.5763,1.11,,9.991
0,20240313,8.49,0.5098,0.99,,9.8746
0,20240314,8.56,0.6801,1.33,,9.9561
0,20240315,8.67,0.6007,1.07,,10.084
0,20240318,8.86,0.9001,1.6,,10.305
0,20240319,8.9,0.5557,0.85,,10.3515
0,20240320,8.88,0.6184,0.95,,10.3283
0,20240321,9.18,3.6563,5.45,,11.1296
0,20240322,8.88,2.501,1.98,,10.7659
0,20240325,8.6,1.4229,0.86,,10.4264
0,20240326,8.68,1.0633,0.61,,10.5234
0,20240327,8.22,1.0496,0.57,,9.9657
0,20240328,8.6,1.1919,0.61,,10.4264
0,20240329,8.53,0.8006,0.55,,10.3416
0,20240401,8.78,1.1423,1.03,,10.6447
0,20240402,9.05,1.489,1.42,,10.972
0,20240403,9.04,0.8604,0.76,,10.9599
