,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.82,0.7219,1.02,30.4312,1.6401
0,20240103,6.71,0.6171,0.9,29.9404,1.6136
0,20240104,6.73,0.6807,0.94,30.0296,1.6184
0,20240105,6.78,1.4947,1.98,30.2527,1.6305
0,20240108,6.57,1.0433,1.21,29.3157,1.58
0,20240109,6.82,1.3069,1.43,30.4312,1.6401
0,20240110,6.86,0.9699,0.94,30.6097,1.6497
0,20240111,7.0,1.2475,1.14,31.2344,1.6834
0,20240112,7.13,3.1799,2.62,31.8144,1.7146
0,20240115,7.37,2.1573,1.39,32.8853,1.7723
0,20240116,7.3,1.3748,0.78,32.573,1.7555
0,20240117,7.18,1.4198,0.8,32.0375,1.7267
0,20240118,7.08,1.2976,0.69,31.5913,1.7026
0,20240119,7.16,0.9901,0.53,31.9483,1.7218
0,20240122,6.8,1.0831,0.75,30.342,1.6353
0,20240123,6.76,1.1508,0.93,30.1635,1.6257
0,20240124,6.88,0.9597,0.81,30.6989,1.6545
0,20240125,7.01,1.175,1.07,31.279,1.6858
0,20240126,6.79,1.0544,0.98,30.2973,1.6329
0,20240129,6.82,1.6699,1.54,30.4312,1.6401
0,20240130,6.48,1.9201,1.6,28.9141,1.5583
0,20240131,6.21,1.8924,1.4,27.7093,1.4934
0,20240201,6.06,1.2919,0.84,27.04,1.4573
0,20240202,5.92,1.414,0.9,26.4153,1.4236
0,20240205,5.51,1.9331,1.18,24.5859,1.3251
0,20240206,6.0,2.7477,1.63,26.7723,1.4429
0,20240207,5.94,1.5114,0.81,26.5046,1.4285
0,20240208,6.25,1.3011,0.73,27.8878,1.503
0,20240219,6.53,1.7934,1.01,29.1372,1.5703
0,20240220,6.5,0.5312,0.29,29.0033,1.5631
0,20240221,6.4,0.8799,0.56,28.5571,1.5391
0,20240222,6.26,1.3796,1.15,27.9324,1.5054
0,20240223,6.27,0.8294,0.7,27.9771,1.5078
0,20240226,6.27,1.4124,1.3,27.9771,1.5078
0,20240227,6.4,1.0053,1.0,28.5571,1.5391
0,20240228,6.05,1.7864,1.62,26.9954,1.4549
0,20240229,6.13,1.3047,1.02,27.3524,1.4741
0,20240301,6.12,1.0896,0.86,27.3078,1.4717
0,20240304,6.18,1.8951,1.44,27.5755,1.4862
0,20240305,6.12,1.5112,1.07,27.3078,1.4717
0,20240306,6.16,1.1509,0.76,27.4862,1.4814
0,20240307,6.28,1.6623,1.2,28.0217,1.5102
0,20240308,6.29,1.3578,0.93,28.0663,1.5126
0,20240311,6.49,1.8989,1.25,28.9587,1.5607
0,20240312,6.57,1.4253,0.94,29.3157,1.58
0,20240313,6.49,0.9893,0.66,28.9587,1.5607
0,20240314,6.6,1.5245,1.04,29.4495,1.5872
0,20240315,6.71,1.0165,0.71,29.9404,1.6136
0,20240318,6.63,1.3508,0.99,29.5834,1.5944
0,20240319,6.52,0.8501,0.67,29.0926,1.5679
0,20240320,6.55,0.8213,0.72,29.2264,1.5752
0,20240321,6.67,1.235,1.11,29.7619,1.604
0,20240322,6.46,1.3101,1.24,28.8249,1.5535
0,20240325,6.41,0.8981,0.81,28.6018,1.5415
0,20240326,6.4,1.0949,1.07,28.5571,1.5391
0,20240327,6.36,0.7913,0.74,28.3787,1.5295
0,20240328,6.36,0.6001,0.56,28.3787,1.5295
0,20240329,6.69,2.2277,2.37,29.8511,1.6088
0,20240401,6.68,2.3036,2.05,29.8065,1.6064
0,20240402,6.63,1.0962,0.78,29.5834,1.5944
0,20240403,6.87,2.5057,1.78,30.6543,1.6521
