,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.83,1.6835,1.8,16.8518,1.1696
0,20240103,3.85,1.5864,1.42,16.9398,1.1757
0,20240104,3.83,0.7395,0.57,16.8518,1.1696
0,20240105,3.81,0.9031,0.74,16.7638,1.1635
0,20240108,3.76,0.9649,0.79,16.5438,1.1482
0,20240109,3.79,0.8037,0.68,16.6758,1.1574
0,20240110,3.77,1.0077,1.01,16.5878,1.1513
0,20240111,3.82,0.986,1.12,16.8078,1.1665
0,20240112,3.82,1.1539,1.24,16.8078,1.1665
0,20240115,3.84,1.0563,1.07,16.8958,1.1726
0,20240116,3.84,1.2965,1.29,16.8958,1.1726
0,20240117,3.78,1.0972,1.0,16.6318,1.1543
0,20240118,3.71,1.6532,1.48,16.3238,1.1329
0,20240119,3.62,1.1488,0.92,15.9278,1.1055
0,20240122,3.39,2.9634,2.37,14.9158,1.0352
0,20240123,3.33,2.0225,1.24,14.6518,1.0169
0,20240124,3.41,1.5751,0.89,15.0038,1.0413
0,20240125,3.56,1.3674,0.73,15.6638,1.0871
0,20240126,3.62,2.3939,1.32,15.9278,1.1055
0,20240129,3.54,1.5719,0.76,15.5758,1.081
0,20240130,3.43,1.2709,0.71,15.0918,1.0474
0,20240131,3.28,1.5179,0.93,14.4318,1.0016
0,20240201,3.19,1.9074,1.17,14.0358,0.9742
0,20240202,3.02,2.3196,1.34,13.2879,0.9222
0,20240205,2.76,3.6907,2.15,12.1439,0.8428
0,20240206,2.76,2.8824,1.35,12.1439,0.8428
0,20240207,2.67,3.4,1.38,11.7479,0.8154
0,20240208,2.93,3.8305,1.35,12.8919,0.8948
0,20240219,3.06,2.4126,0.75,13.4639,0.9345
0,20240220,3.05,1.4371,0.44,13.4199,0.9314
0,20240221,3.08,1.5712,0.56,13.5519,0.9406
0,20240222,3.11,1.0746,0.42,13.6838,0.9497
0,20240223,3.19,1.469,0.71,14.0358,0.9742
0,20240226,3.22,1.4469,0.91,14.1678,0.9833
0,20240227,3.27,0.9479,0.68,14.3878,0.9986
0,20240228,3.13,2.2705,1.74,13.7718,0.9558
0,20240229,3.19,1.6204,1.12,14.0358,0.9742
0,20240301,3.22,1.0935,0.71,14.1678,0.9833
0,20240304,3.17,0.9998,0.68,13.9478,0.968
0,20240305,3.13,0.9952,0.72,13.7718,0.9558
0,20240306,3.15,0.8827,0.63,13.8598,0.9619
0,20240307,3.19,1.0976,0.98,14.0358,0.9742
0,20240308,3.25,1.8028,1.78,14.2998,0.9925
0,20240311,3.25,1.3233,1.15,14.2998,0.9925
0,20240312,3.28,0.9645,0.79,14.4318,1.0016
0,20240313,3.29,0.8823,0.73,14.4758,1.0047
0,20240314,3.28,0.9512,0.78,14.4318,1.0016
0,20240315,3.35,1.0945,0.92,14.7398,1.023
0,20240318,3.39,1.0806,1.04,14.9158,1.0352
0,20240319,3.38,1.8819,1.89,14.8718,1.0322
0,20240320,3.41,1.084,0.92,15.0038,1.0413
0,20240321,3.43,1.3943,1.14,15.0918,1.0474
0,20240322,3.37,1.0385,0.79,14.8278,1.0291
0,20240325,3.35,1.0692,0.83,14.7398,1.023
0,20240326,3.35,0.9416,0.73,14.7398,1.023
0,20240327,3.3,1.0307,0.93,14.5198,1.0077
0,20240328,3.32,0.9978,0.91,14.6078,1.0138
0,20240329,3.41,1.095,1.08,15.0038,1.0413
0,20240401,3.41,1.8866,1.84,13.9096,1.0242
0,20240402,3.48,1.8167,1.53,14.1951,1.0452
0,20240403,3.53,1.5886,1.16,14.3991,1.0602
