,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.69,0.4272,1.57,,4.3624
0,20240103,5.74,0.5509,1.88,,4.4008
0,20240104,5.8,0.5412,1.54,,4.4468
0,20240105,5.7,0.3121,0.74,,4.3701
0,20240108,5.66,0.558,1.29,,4.3394
0,20240109,5.65,0.7216,1.51,,4.3318
0,20240110,5.57,0.4405,0.82,,4.2704
0,20240111,5.61,0.4085,0.79,,4.3011
0,20240112,5.47,0.7735,1.58,,4.1938
0,20240115,5.5,1.3185,2.27,,4.2168
0,20240116,5.49,0.6688,0.91,,4.2091
0,20240117,5.22,0.7134,0.99,,4.0021
0,20240118,5.17,0.5877,0.76,,3.9638
0,20240119,5.11,0.4143,0.51,,3.9178
0,20240122,4.83,0.5109,0.69,,3.7031
0,20240123,4.74,0.5781,1.0,,3.6341
0,20240124,4.75,0.4508,0.8,,3.6417
0,20240125,5.04,0.5188,1.02,,3.8641
0,20240126,5.07,0.4028,0.81,,3.8871
0,20240129,4.93,0.383,0.78,,3.7797
0,20240130,4.78,0.3775,0.81,,3.6647
0,20240131,4.41,0.7538,1.77,,3.3811
0,20240201,4.31,0.8078,1.66,,3.3044
0,20240202,3.98,0.7909,1.45,,3.0514
0,20240205,3.58,0.5213,0.84,,2.7447
0,20240206,3.5,2.0685,3.18,,2.6834
0,20240207,3.27,3.0395,3.07,,2.5071
0,20240208,3.29,1.5633,1.08,,2.5224
0,20240219,3.42,1.3942,0.87,,2.6221
0,20240220,3.6,1.1472,0.67,,2.7601
0,20240221,3.67,0.9872,0.54,,2.8137
0,20240222,3.75,0.5993,0.37,,2.8751
0,20240223,3.91,0.7255,0.64,,2.9977
0,20240226,3.94,1.0424,1.07,,3.0207
0,20240227,4.02,0.6041,0.67,,3.0821
0,20240228,3.74,1.2737,1.61,,2.8674
0,20240229,3.8,0.87,1.02,,2.9134
0,20240301,3.84,0.5365,0.59,,2.9441
0,20240304,3.95,0.8173,0.94,,3.0284
0,20240305,4.08,1.3698,1.67,,3.1281
0,20240306,4.09,1.4999,1.54,,3.1357
0,20240307,3.98,1.7485,1.72,,3.0514
0,20240308,3.84,1.0641,0.89,,2.9441
0,20240311,3.83,0.5768,0.44,,2.9364
0,20240312,4.21,1.5724,1.26,,3.2277
0,20240313,4.06,2.2279,1.72,,3.1127
0,20240314,4.07,2.0079,1.4,,3.1204
0,20240315,4.03,1.4838,1.0,,3.0897
0,20240318,4.43,2.7333,1.74,,3.3964
0,20240319,4.31,3.3581,1.67,,3.3044
0,20240320,4.35,2.6113,1.11,,3.3351
0,20240321,4.32,1.5068,0.62,,3.3121
0,20240322,4.2,1.3964,0.6,,3.2201
0,20240325,4.1,1.1926,0.51,,3.1434
0,20240326,4.01,1.1412,0.57,,3.0744
0,20240327,3.91,1.016,0.65,,2.9977
0,20240328,4.0,1.03,0.82,,3.0667
0,20240329,4.01,0.5596,0.48,,3.0744
0,20240401,4.17,0.9767,0.99,,3.1971
0,20240402,4.14,0.7776,0.82,,3.1741
0,20240403,4.08,0.5392,0.62,,3.1281
