,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.19,5.2451,1.67,59.4236,3.2267
0,20240103,18.2,3.2629,0.97,59.4562,3.2285
0,20240104,18.41,2.611,0.76,60.1423,3.2657
0,20240105,18.06,3.0662,0.87,58.9989,3.2036
0,20240108,17.85,2.7958,0.79,58.3129,3.1664
0,20240109,17.96,2.7873,0.82,58.6722,3.1859
0,20240110,17.81,2.7259,0.94,58.1822,3.1593
0,20240111,17.95,1.8972,0.68,58.6395,3.1841
0,20240112,17.85,3.1501,1.19,58.3129,3.1664
0,20240115,18.11,3.9451,1.48,59.1622,3.2125
0,20240116,17.85,4.7713,1.64,58.3129,3.1664
0,20240117,17.53,3.8447,1.17,57.2675,3.1096
0,20240118,17.13,4.814,1.37,55.9607,3.0387
0,20240119,16.61,3.9115,0.95,54.262,2.9464
0,20240122,15.4,6.3933,1.5,50.3091,2.7318
0,20240123,15.06,6.6071,1.39,49.1984,2.6715
0,20240124,15.79,7.5556,1.48,51.5832,2.801
0,20240125,16.42,5.5651,0.95,53.6413,2.9127
0,20240126,16.82,8.6118,1.43,54.948,2.9837
0,20240129,15.89,5.6235,0.81,51.9099,2.8187
0,20240130,15.17,4.6718,0.69,49.5578,2.691
0,20240131,14.12,6.8149,1.06,46.1276,2.5047
0,20240201,13.97,6.9034,1.1,45.6376,2.4781
0,20240202,12.69,10.1869,1.56,41.456,2.2511
0,20240205,11.42,8.8051,1.29,37.3072,2.0258
0,20240206,10.32,14.1798,1.9,33.7136,1.8307
0,20240207,9.68,15.3969,1.64,31.6229,1.7171
0,20240208,10.65,11.4499,1.03,34.7917,1.8892
0,20240219,11.45,13.8566,1.15,37.4052,2.0311
0,20240220,11.63,8.0372,0.63,37.9932,2.063
0,20240221,11.86,8.1941,0.65,38.7446,2.1038
0,20240222,12.28,7.1341,0.63,40.1166,2.1783
0,20240223,12.84,5.542,0.57,41.9461,2.2777
0,20240226,13.25,8.349,0.98,43.2855,2.3504
0,20240227,13.98,8.6435,1.16,45.6702,2.4799
0,20240228,13.43,20.5242,2.71,43.8735,2.3823
0,20240229,13.69,16.0137,1.6,44.7229,2.4285
0,20240301,13.11,9.1283,0.77,42.8281,2.3256
0,20240304,12.78,9.1264,0.73,41.75,2.267
0,20240305,12.18,7.2221,0.57,39.7899,2.1606
0,20240306,12.6,6.3368,0.51,41.162,2.2351
0,20240307,12.36,5.0669,0.53,40.378,2.1925
0,20240308,12.46,4.6167,0.63,40.7047,2.2103
0,20240311,12.71,4.4593,0.69,41.5214,2.2546
0,20240312,13.06,5.7487,1.04,42.6648,2.3167
0,20240313,13.02,4.5115,0.86,42.5341,2.3096
0,20240314,13.08,5.1062,1.05,42.7301,2.3203
0,20240315,13.24,3.9953,0.82,43.2528,2.3486
0,20240318,13.58,4.6363,0.97,44.3635,2.4089
0,20240319,13.56,3.5771,0.75,44.2982,2.4054
0,20240320,13.69,3.0559,0.7,44.7229,2.4285
0,20240321,13.77,4.3175,1.06,44.9842,2.4426
0,20240322,13.48,3.7231,0.95,44.0368,2.3912
0,20240325,13.13,4.2135,1.09,42.8934,2.3291
0,20240326,13.16,3.8429,1.02,42.9914,2.3344
0,20240327,13.02,4.1969,1.1,42.5341,2.3096
0,20240328,13.4,4.3085,1.06,43.7755,2.377
0,20240329,13.55,3.7482,0.92,44.2655,2.4036
0,20240401,13.7,5.2169,1.28,44.7555,2.4302
0,20240402,13.82,4.3742,1.03,45.1475,2.4515
0,20240403,14.08,7.6691,1.76,45.9969,2.4976
