,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.96,1.2572,0.92,6.3699,0.6064
0,20240103,4.97,0.9629,0.73,6.3827,0.6077
0,20240104,4.98,0.9182,0.68,6.3956,0.6089
0,20240105,5.46,17.7053,13.67,7.012,0.6676
0,20240108,5.06,11.7544,2.64,6.4983,0.6187
0,20240109,5.1,6.2337,0.96,6.5497,0.6236
0,20240110,5.0,5.1499,0.69,6.4213,0.6113
0,20240111,5.03,4.2037,0.5,6.4598,0.615
0,20240112,5.12,6.9643,0.77,6.5754,0.626
0,20240115,5.13,3.8139,0.56,6.5882,0.6272
0,20240116,5.21,4.9265,0.93,6.6909,0.637
0,20240117,5.12,5.0092,1.0,6.5754,0.626
0,20240118,5.12,4.7548,0.95,6.5754,0.626
0,20240119,5.05,2.7807,0.55,6.4855,0.6174
0,20240122,4.96,4.6117,1.08,6.3699,0.6064
0,20240123,4.89,4.0861,0.93,6.28,0.5979
0,20240124,5.08,5.008,1.18,6.524,0.6211
0,20240125,5.11,4.8289,1.14,6.5625,0.6248
0,20240126,5.24,9.2692,2.17,6.7295,0.6407
0,20240129,5.17,6.2667,1.13,6.6396,0.6321
0,20240130,5.06,3.7726,0.64,6.4983,0.6187
0,20240131,5.02,3.3307,0.57,6.4469,0.6138
0,20240201,4.93,3.7312,0.68,6.3314,0.6028
0,20240202,4.84,3.8747,0.73,6.2158,0.5918
0,20240205,4.72,3.7148,0.89,6.0617,0.5771
0,20240206,4.91,4.8867,1.33,6.3057,0.6003
0,20240207,4.99,3.853,0.99,6.4084,0.6101
0,20240208,5.06,4.1943,1.05,6.4983,0.6187
0,20240219,5.09,3.4751,0.85,6.5368,0.6223
0,20240220,5.08,2.4433,0.61,6.524,0.6211
0,20240221,5.21,6.6555,1.77,6.6909,0.637
0,20240222,5.21,3.5911,0.87,6.6909,0.637
0,20240223,5.19,3.1528,0.77,6.6653,0.6346
0,20240226,5.11,2.8216,0.73,6.5625,0.6248
0,20240227,5.16,2.0242,0.54,6.6267,0.6309
0,20240228,5.15,5.0573,1.39,6.6139,0.6297
0,20240229,5.2,3.5555,1.07,6.6781,0.6358
0,20240301,5.19,2.6584,0.8,6.6653,0.6346
0,20240304,5.13,2.5373,0.79,6.5882,0.6272
0,20240305,5.15,2.4809,0.78,6.6139,0.6297
0,20240306,5.1,2.2837,0.7,6.5497,0.6236
0,20240307,5.1,2.0357,0.75,6.5497,0.6236
0,20240308,5.07,2.0194,0.84,6.5112,0.6199
0,20240311,5.08,1.439,0.63,6.524,0.6211
0,20240312,5.08,1.7444,0.85,6.524,0.6211
0,20240313,5.04,1.5506,0.81,6.4726,0.6162
0,20240314,5.01,1.6323,0.93,6.4341,0.6125
0,20240315,5.1,2.8353,1.69,6.5497,0.6236
0,20240318,5.11,1.6071,0.87,6.5625,0.6248
0,20240319,5.05,1.3653,0.73,6.4855,0.6174
0,20240320,5.08,1.2227,0.68,6.524,0.6211
0,20240321,5.09,1.4348,0.83,6.5368,0.6223
0,20240322,5.03,1.8247,1.08,6.4598,0.615
0,20240325,5.01,1.4267,0.96,6.4341,0.6125
0,20240326,5.06,1.3963,0.96,6.4983,0.6187
0,20240327,5.05,1.9677,1.35,6.4855,0.6174
0,20240328,4.95,3.3195,2.06,5.6236,0.5841
0,20240329,4.96,1.1867,0.6,5.635,0.5853
0,20240401,5.02,1.7409,0.94,5.7032,0.5924
0,20240402,5.02,1.6308,0.85,5.7032,0.5924
0,20240403,5.01,1.1781,0.6,5.6918,0.5912
