,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.88,0.6004,1.31,22.5546,2.6615
0,20240103,15.0,0.5147,1.04,22.7365,2.683
0,20240104,14.89,0.5261,1.0,22.5698,2.6633
0,20240105,14.8,0.4924,0.93,22.4334,2.6472
0,20240108,14.45,0.4996,0.97,21.9028,2.5846
0,20240109,14.31,0.4306,0.82,21.6906,2.5596
0,20240110,14.21,0.3906,0.79,21.5391,2.5417
0,20240111,14.41,0.3716,0.79,21.8422,2.5775
0,20240112,14.3,0.2741,0.63,21.6755,2.5578
0,20240115,14.25,0.3536,0.9,21.5997,2.5489
0,20240116,14.26,0.383,1.05,21.6148,2.5506
0,20240117,14.07,0.5322,1.5,21.3268,2.5167
0,20240118,13.88,0.743,1.94,21.0388,2.4827
0,20240119,13.66,0.5882,1.29,20.7054,2.4433
0,20240122,12.9,0.8017,1.54,19.5534,2.3074
0,20240123,13.11,0.861,1.41,19.8717,2.345
0,20240124,13.95,2.4619,3.49,21.145,2.4952
0,20240125,13.88,2.4493,2.24,21.0388,2.4827
0,20240126,14.16,2.2939,1.6,21.4633,2.5328
0,20240129,13.34,1.5845,0.89,20.2203,2.3861
0,20240130,12.95,0.8142,0.42,19.6292,2.3163
0,20240131,12.58,0.93,0.48,19.0684,2.2502
0,20240201,12.34,0.912,0.56,18.7046,2.2072
0,20240202,11.59,1.288,0.99,17.5677,2.0731
0,20240205,10.57,1.3052,1.18,16.0217,1.8906
0,20240206,10.99,1.6511,1.57,16.6583,1.9658
0,20240207,10.91,1.7867,1.47,16.537,1.9514
0,20240208,11.66,1.9134,1.38,17.6738,2.0856
0,20240219,11.57,1.5627,0.98,17.5374,2.0695
0,20240220,11.77,1.0581,0.64,17.8406,2.1053
0,20240221,12.03,1.1568,0.73,18.2347,2.1518
0,20240222,12.2,0.8549,0.57,18.4924,2.1822
0,20240223,12.25,0.8195,0.63,18.5681,2.1911
0,20240226,12.38,0.8,0.73,18.7652,2.2144
0,20240227,12.65,0.6875,0.73,19.1745,2.2627
0,20240228,12.13,1.2167,1.41,18.3863,2.1697
0,20240229,12.43,0.999,1.14,18.841,2.2233
0,20240301,12.62,1.1177,1.24,19.129,2.2573
0,20240304,12.27,0.8363,0.87,18.5985,2.1947
0,20240305,12.01,0.7372,0.76,18.2044,2.1482
0,20240306,12.09,0.6843,0.7,18.3256,2.1625
0,20240307,12.0,0.6103,0.7,18.1892,2.1464
0,20240308,11.94,0.4788,0.6,18.0983,2.1357
0,20240311,12.12,0.5188,0.77,18.3711,2.1679
0,20240312,12.31,0.6773,1.12,18.6591,2.2019
0,20240313,12.37,0.7787,1.31,18.75,2.2126
0,20240314,12.17,0.7364,1.2,18.4469,2.1768
0,20240315,13.39,1.9617,3.07,20.2961,2.395
0,20240318,13.44,4.6035,4.93,20.3719,2.404
0,20240319,13.05,2.4069,1.37,19.7808,2.3342
0,20240320,12.97,1.631,0.78,19.6595,2.3199
0,20240321,13.03,1.3771,0.61,19.7504,2.3306
0,20240322,12.7,1.2456,0.52,19.2502,2.2716
0,20240325,12.24,1.1006,0.49,18.553,2.1893
0,20240326,12.37,0.9288,0.6,18.75,2.2126
0,20240327,11.9,0.8546,0.68,18.0376,2.1285
0,20240328,12.14,0.8899,0.81,18.4014,2.1715
0,20240329,12.31,0.7047,0.7,18.6591,2.2019
0,20240401,12.64,0.763,0.85,23.0716,2.2067
0,20240402,12.42,1.2569,1.52,22.6701,2.1683
0,20240403,12.35,0.7263,0.81,22.5423,2.156
