,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,20.06,2.0753,0.53,223.2663,5.4361
0,20240103,20.22,1.6019,0.44,225.0471,5.4795
0,20240104,20.14,1.3386,0.49,224.1567,5.4578
0,20240105,18.45,5.1601,2.41,205.3471,4.9998
0,20240108,17.59,2.9035,1.14,195.7754,4.7668
0,20240109,17.55,2.2731,0.87,195.3302,4.7559
0,20240110,16.94,2.0868,0.79,188.5409,4.5906
0,20240111,17.77,2.823,1.03,197.7788,4.8156
0,20240112,17.37,1.6836,0.55,193.3268,4.7072
0,20240115,17.31,1.0017,0.43,192.659,4.6909
0,20240116,17.14,1.2741,0.65,190.7669,4.6448
0,20240117,16.64,1.2036,0.68,185.202,4.5093
0,20240118,16.64,2.0589,1.29,185.202,4.5093
0,20240119,16.45,1.2935,0.9,183.0873,4.4579
0,20240122,15.18,2.2652,1.66,168.9523,4.1137
0,20240123,15.61,1.7634,1.09,173.7381,4.2302
0,20240124,16.19,2.8287,1.65,180.1935,4.3874
0,20240125,16.58,2.3098,1.13,184.5342,4.4931
0,20240126,16.59,1.7572,0.84,184.6455,4.4958
0,20240129,16.02,1.3899,0.64,178.3014,4.3413
0,20240130,15.53,1.2464,0.62,172.8477,4.2085
0,20240131,14.66,1.9192,1.01,163.1647,3.9728
0,20240201,14.37,1.7092,0.99,159.937,3.8942
0,20240202,13.63,1.9607,1.22,151.7009,3.6937
0,20240205,12.27,2.4919,1.51,136.5642,3.3251
0,20240206,12.35,2.9845,1.6,137.4546,3.3468
0,20240207,12.03,2.5645,1.16,133.893,3.2601
0,20240208,13.2,2.935,1.25,146.915,3.5771
0,20240219,14.1,2.7657,1.07,156.932,3.821
0,20240220,14.54,2.5084,0.91,161.8291,3.9403
0,20240221,14.6,2.6347,0.96,162.4969,3.9565
0,20240222,15.05,2.3509,0.88,167.5054,4.0785
0,20240223,15.54,2.6672,1.01,172.959,4.2112
0,20240226,15.71,2.5229,0.98,174.8511,4.2573
0,20240227,16.3,2.361,0.93,181.4178,4.4172
0,20240228,14.88,4.0757,1.63,165.6133,4.0324
0,20240229,15.6,2.4653,0.88,173.6268,4.2275
0,20240301,16.12,2.536,0.9,179.4144,4.3684
0,20240304,16.06,2.0714,0.74,178.7466,4.3522
0,20240305,15.7,1.6678,0.62,174.7398,4.2546
0,20240306,15.67,1.4151,0.55,174.4059,4.2465
0,20240307,15.39,1.4248,0.7,171.2896,4.1706
0,20240308,15.5,1.0891,0.6,172.5139,4.2004
0,20240311,15.73,1.2147,0.79,175.0737,4.2627
0,20240312,16.19,2.5042,1.84,180.1935,4.3874
0,20240313,16.3,2.4138,1.58,181.4178,4.4172
0,20240314,15.96,1.9574,1.13,177.6336,4.3251
0,20240315,16.11,1.4086,0.77,179.3031,4.3657
0,20240318,16.45,1.7818,0.94,183.0873,4.4579
0,20240319,16.41,1.6184,0.8,182.6421,4.447
0,20240320,16.89,2.3616,1.29,187.9844,4.5771
0,20240321,16.89,2.3046,1.26,187.9844,4.5771
0,20240322,16.87,2.5255,1.33,187.7618,4.5717
0,20240325,16.32,3.4636,1.64,181.6404,4.4226
0,20240326,15.92,2.4944,1.02,177.1884,4.3142
0,20240327,15.1,2.1005,0.8,168.0619,4.092
0,20240328,15.64,1.6805,0.65,174.072,4.2383
0,20240329,15.6,1.2309,0.5,173.6268,4.2275
0,20240401,15.98,1.2132,0.55,177.8562,4.3305
0,20240402,15.78,1.0909,0.63,175.6302,4.2763
0,20240403,15.36,1.3159,0.9,170.9557,4.1625
