,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.4,0.3159,0.81,271.3955,6.0136
0,20240103,17.28,0.7104,1.79,269.5239,5.9721
0,20240104,16.91,0.3797,0.79,263.7528,5.8443
0,20240105,16.49,0.4387,0.91,257.2019,5.6991
0,20240108,15.76,0.714,1.57,245.8157,5.4468
0,20240109,15.31,0.8689,1.7,238.7969,5.2913
0,20240110,15.03,0.5857,0.94,234.4296,5.1945
0,20240111,14.93,0.979,1.64,232.8699,5.1599
0,20240112,14.05,1.8536,2.58,219.1441,4.8558
0,20240115,13.9,0.9489,0.95,216.8045,4.804
0,20240116,13.53,1.3701,1.31,211.0334,4.6761
0,20240117,13.2,0.7014,0.61,205.8863,4.562
0,20240118,13.38,0.8774,0.75,208.6938,4.6243
0,20240119,13.16,0.726,0.63,205.2624,4.5482
0,20240122,12.6,0.9158,0.99,196.5278,4.3547
0,20240123,12.9,0.7463,0.81,201.207,4.4584
0,20240124,12.67,1.1771,1.48,197.6196,4.3789
0,20240125,12.96,0.8671,0.98,202.1429,4.4791
0,20240126,12.66,0.7091,0.8,197.4637,4.3754
0,20240129,12.33,0.8248,0.93,192.3165,4.2614
0,20240130,11.91,0.969,1.12,185.7656,4.1162
0,20240131,11.19,1.3843,1.52,174.5354,3.8674
0,20240201,11.21,1.1011,1.16,174.8474,3.8743
0,20240202,10.71,1.526,1.53,167.0486,3.7015
0,20240205,9.92,1.9984,1.72,154.7267,3.4284
0,20240206,10.64,1.4296,1.02,165.9568,3.6773
0,20240207,10.9,1.4829,1.0,170.0122,3.7671
0,20240208,11.39,1.4416,0.96,177.6549,3.9365
0,20240219,11.48,1.4252,0.9,179.0587,3.9676
0,20240220,11.53,0.766,0.49,179.8385,3.9849
0,20240221,11.79,1.037,0.79,183.8939,4.0747
0,20240222,12.17,0.9661,0.79,189.8209,4.2061
0,20240223,12.27,0.8656,0.77,191.3807,4.2406
0,20240226,12.28,0.9488,0.94,191.5366,4.2441
0,20240227,12.81,1.2587,1.37,199.8033,4.4273
0,20240228,12.16,1.306,1.29,189.6649,4.2026
0,20240229,12.67,0.9368,0.88,197.6196,4.3789
0,20240301,13.11,0.9641,0.91,204.4825,4.5309
0,20240304,12.91,0.8789,0.81,201.363,4.4618
0,20240305,12.68,0.7581,0.71,197.7756,4.3823
0,20240306,12.6,0.6557,0.68,196.5278,4.3547
0,20240307,12.2,0.6561,0.78,190.2888,4.2164
0,20240308,12.3,0.577,0.74,191.8486,4.251
0,20240311,12.6,0.7075,1.0,196.5278,4.3547
0,20240312,12.82,0.8135,1.21,199.9592,4.4307
0,20240313,13.02,0.926,1.36,203.0787,4.4998
0,20240314,12.7,0.7246,0.98,198.0876,4.3892
0,20240315,12.84,0.6389,0.85,200.2712,4.4376
0,20240318,13.12,0.851,1.12,204.6385,4.5344
0,20240319,13.08,0.6439,0.81,204.0146,4.5206
0,20240320,13.22,0.665,0.88,206.1982,4.569
0,20240321,13.46,1.8518,2.63,209.9416,4.6519
0,20240322,13.14,1.125,1.21,204.9504,4.5413
0,20240325,12.63,0.816,0.79,196.9957,4.365
0,20240326,12.3,0.8322,0.82,191.8486,4.251
0,20240327,11.62,0.8231,0.78,181.2423,4.016
0,20240328,12.06,0.777,0.71,188.1052,4.168
0,20240329,11.95,0.4982,0.57,186.3895,4.13
0,20240401,12.78,1.2982,1.73,,4.3033
0,20240402,12.32,0.8415,0.99,,4.1484
0,20240403,11.71,1.1678,1.38,,3.943
