,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.42,1.3535,1.26,8.3535,0.6549
0,20240103,4.44,1.1912,0.99,8.3913,0.6578
0,20240104,4.41,0.9271,0.71,8.3346,0.6534
0,20240105,4.36,1.1289,0.84,8.2401,0.646
0,20240108,4.29,0.8448,0.65,8.1078,0.6356
0,20240109,4.34,0.7489,0.69,8.2023,0.643
0,20240110,4.29,0.5871,0.61,8.1078,0.6356
0,20240111,4.34,0.7935,0.94,8.2023,0.643
0,20240112,4.32,0.7094,0.86,8.1645,0.6401
0,20240115,4.35,0.7022,0.95,8.2212,0.6445
0,20240116,4.31,0.9042,1.28,8.1456,0.6386
0,20240117,4.2,0.7038,0.95,7.9377,0.6223
0,20240118,4.16,1.0298,1.35,7.8621,0.6164
0,20240119,4.17,0.7014,0.87,7.881,0.6178
0,20240122,3.96,0.9067,1.12,7.4841,0.5867
0,20240123,3.99,0.7974,0.94,7.5408,0.5912
0,20240124,4.16,1.2667,1.53,7.8621,0.6164
0,20240125,4.37,1.4548,1.55,8.259,0.6475
0,20240126,4.51,1.9782,1.93,8.5236,0.6682
0,20240129,4.3,1.7178,1.34,8.1267,0.6371
0,20240130,4.1,1.0626,0.74,7.7487,0.6075
0,20240131,3.89,1.0484,0.7,7.3518,0.5763
0,20240201,3.77,1.332,0.92,7.125,0.5586
0,20240202,3.68,1.3352,0.94,6.955,0.5452
0,20240205,3.31,1.7176,1.32,6.2557,0.4904
0,20240206,3.2,1.9901,1.53,6.0478,0.4741
0,20240207,3.02,2.0431,1.38,5.7076,0.4474
0,20240208,3.27,1.9469,1.16,6.1801,0.4845
0,20240219,3.49,1.8469,1.02,6.5959,0.5171
0,20240220,3.5,0.9465,0.5,6.6148,0.5186
0,20240221,3.57,1.2079,0.69,6.7471,0.5289
0,20240222,3.78,2.446,1.53,7.1439,0.5601
0,20240223,3.78,1.9506,1.16,7.1439,0.5601
0,20240226,3.77,1.4406,0.86,7.125,0.5586
0,20240227,3.85,1.1831,0.74,7.2762,0.5704
0,20240228,3.61,1.8127,1.1,6.8227,0.5349
0,20240229,3.74,1.1602,0.66,7.0683,0.5541
0,20240301,3.88,1.503,1.0,7.3329,0.5749
0,20240304,3.84,1.1268,0.79,7.2573,0.5689
0,20240305,3.72,0.9549,0.7,7.0306,0.5512
0,20240306,3.77,0.8569,0.65,7.125,0.5586
0,20240307,4.15,0.8326,0.74,7.8432,0.6149
0,20240308,4.15,5.9579,5.65,7.8432,0.6149
0,20240311,4.2,4.4872,2.31,7.9377,0.6223
0,20240312,4.19,3.0169,1.15,7.9188,0.6208
0,20240313,4.08,1.9765,0.65,7.7109,0.6045
0,20240314,4.01,1.451,0.45,7.5786,0.5941
0,20240315,4.02,1.0007,0.3,7.5975,0.5956
0,20240318,4.07,1.0774,0.45,7.692,0.603
0,20240319,4.06,0.9798,0.57,7.6731,0.6015
0,20240320,4.1,0.8889,0.69,7.7487,0.6075
0,20240321,4.12,1.0002,0.93,7.7865,0.6104
0,20240322,4.05,0.9598,0.97,7.6542,0.6001
0,20240325,4.01,1.2256,1.25,7.5786,0.5941
0,20240326,4.11,1.3503,1.34,7.7676,0.6089
0,20240327,3.97,1.0783,0.99,7.503,0.5882
0,20240328,4.03,0.8656,0.77,7.6164,0.5971
0,20240329,3.98,0.6357,0.58,7.5219,0.5897
0,20240401,4.05,0.6398,0.62,7.6542,0.6001
0,20240402,4.05,0.7394,0.81,7.6542,0.6001
0,20240403,4.0,0.617,0.78,7.5597,0.5926
