,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.72,0.3967,0.84,,1.3172
0,20240103,9.63,0.6243,1.26,,1.305
0,20240104,9.27,1.8466,3.36,,1.2562
0,20240105,9.22,0.7959,0.97,,1.2495
0,20240108,9.11,0.6291,0.74,,1.2345
0,20240109,9.24,0.8699,1.01,,1.2522
0,20240110,9.2,0.5765,0.6,,1.2467
0,20240111,9.29,0.5534,0.59,,1.2589
0,20240112,9.34,0.5613,0.82,,1.2657
0,20240115,9.49,0.9742,1.53,,1.286
0,20240116,9.89,1.8756,2.65,,1.3402
0,20240117,9.67,1.0776,1.19,,1.3104
0,20240118,9.72,1.1827,1.17,,1.3172
0,20240119,9.64,0.6525,0.58,,1.3064
0,20240122,9.23,1.0201,0.89,,1.2508
0,20240123,9.3,0.8058,0.69,,1.2603
0,20240124,9.47,1.0057,1.06,,1.2833
0,20240125,9.69,1.2362,1.32,,1.3131
0,20240126,9.74,1.1643,1.23,,1.3199
0,20240129,9.83,1.5921,1.52,,1.3321
0,20240130,9.48,0.9822,0.85,,1.2847
0,20240131,9.41,0.9698,0.81,,1.2752
0,20240201,9.28,0.774,0.65,,1.2576
0,20240202,9.28,1.1025,1.01,,1.2576
0,20240205,9.29,1.2501,1.15,,1.2589
0,20240206,9.74,1.2325,1.21,,1.3199
0,20240207,10.06,1.7587,1.65,,1.3633
0,20240208,10.19,1.7548,1.43,,1.3809
0,20240219,10.1,1.1569,0.81,,1.3687
0,20240220,10.05,0.6352,0.44,,1.3619
0,20240221,10.13,0.9587,0.73,,1.3728
0,20240222,10.19,0.6741,0.54,,1.3809
0,20240223,10.11,0.8735,0.84,,1.3701
0,20240226,10.03,0.8907,1.04,,1.3592
0,20240227,10.13,0.7052,0.87,,1.3728
0,20240228,10.01,1.0921,1.33,,1.3565
0,20240229,10.13,0.8971,1.06,,1.3728
0,20240301,10.07,0.6336,0.71,,1.3646
0,20240304,10.07,0.6762,0.8,,1.3646
0,20240305,10.01,0.7251,0.91,,1.3565
0,20240306,10.2,1.3986,1.74,,1.3823
0,20240307,10.15,1.3119,1.51,,1.3755
0,20240308,10.12,0.785,0.83,,1.3714
0,20240311,10.26,0.9168,0.94,,1.3904
0,20240312,10.41,1.1694,1.14,,1.4107
0,20240313,10.2,0.9101,0.82,,1.3823
0,20240314,10.4,1.1294,1.11,,1.4094
0,20240315,10.45,0.8124,0.83,,1.4161
0,20240318,10.54,0.776,0.79,,1.4283
0,20240319,10.39,0.6476,0.67,,1.408
0,20240320,10.42,0.4476,0.52,,1.4121
0,20240321,10.39,0.6799,0.89,,1.408
0,20240322,10.16,0.7005,1.04,,1.3768
0,20240325,10.01,0.7636,1.17,,1.3565
0,20240326,10.01,0.6131,0.95,,1.3565
0,20240327,9.89,0.4929,0.77,,1.3402
0,20240328,10.07,0.5545,0.85,,1.3646
0,20240329,10.08,0.4382,0.7,,1.366
0,20240401,10.36,0.8241,1.44,,1.4039
0,20240402,10.33,0.5613,0.96,,1.3999
0,20240403,10.3,0.5718,1.0,,1.3958
