,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.97,0.6853,1.61,13.6076,1.5955
0,20240103,3.98,0.3946,0.86,13.6419,1.5996
0,20240104,3.98,0.3608,0.78,13.6419,1.5996
0,20240105,3.95,0.5503,1.13,13.539,1.5875
0,20240108,3.89,0.4376,0.87,13.3334,1.5634
0,20240109,3.92,0.292,0.6,13.4362,1.5754
0,20240110,3.89,0.2699,0.66,13.3334,1.5634
0,20240111,3.92,0.2706,0.71,13.4362,1.5754
0,20240112,3.93,0.3489,0.96,13.4705,1.5795
0,20240115,3.92,0.2116,0.65,13.4362,1.5754
0,20240116,3.87,0.6668,2.39,13.2648,1.5554
0,20240117,3.82,0.3733,1.06,13.0934,1.5353
0,20240118,3.77,0.6943,1.86,12.9221,1.5152
0,20240119,3.77,0.2869,0.63,12.9221,1.5152
0,20240122,3.62,0.5156,1.15,12.4079,1.4549
0,20240123,3.67,0.3609,0.71,12.5793,1.475
0,20240124,3.72,0.3716,0.83,12.7507,1.4951
0,20240125,3.81,0.5799,1.3,13.0592,1.5312
0,20240126,3.84,0.4453,1.05,13.162,1.5433
0,20240129,3.83,0.7655,1.68,13.1277,1.5393
0,20240130,3.77,0.5382,1.07,12.9221,1.5152
0,20240131,3.71,0.4516,0.84,12.7164,1.491
0,20240201,3.63,0.592,1.06,12.4422,1.4589
0,20240202,3.59,0.7698,1.38,12.3051,1.4428
0,20240205,3.42,0.9481,1.52,11.7224,1.3745
0,20240206,3.56,0.6988,1.06,12.2023,1.4308
0,20240207,3.54,0.6134,0.89,12.1337,1.4227
0,20240208,3.66,0.8562,1.18,12.545,1.471
0,20240219,3.68,0.858,1.1,12.6136,1.479
0,20240220,3.67,0.4471,0.56,12.5793,1.475
0,20240221,3.71,0.6563,0.94,12.7164,1.491
0,20240222,3.74,0.4538,0.66,12.8192,1.5031
0,20240223,3.79,0.364,0.56,12.9906,1.5232
0,20240226,3.76,0.5699,1.03,12.8878,1.5111
0,20240227,3.79,0.3394,0.68,12.9906,1.5232
0,20240228,3.72,0.7913,1.66,12.7507,1.4951
0,20240229,3.79,0.6156,1.22,12.9906,1.5232
0,20240301,3.79,0.453,0.84,12.9906,1.5232
0,20240304,3.79,0.4306,0.78,12.9906,1.5232
0,20240305,3.77,0.2832,0.54,12.9221,1.5152
0,20240306,3.81,0.4446,0.86,13.0592,1.5312
0,20240307,3.8,0.3538,0.79,13.0249,1.5272
0,20240308,3.86,0.4201,1.07,13.2305,1.5513
0,20240311,3.88,0.4438,1.15,13.2991,1.5594
0,20240312,3.89,0.3921,1.01,13.3334,1.5634
0,20240313,3.86,0.4009,0.98,13.2305,1.5513
0,20240314,3.83,0.5289,1.32,13.1277,1.5393
0,20240315,3.82,0.8984,2.06,13.0934,1.5353
0,20240318,3.83,0.4609,0.86,13.1277,1.5393
0,20240319,3.81,0.3925,0.73,13.0592,1.5312
0,20240320,3.81,0.281,0.52,13.0592,1.5312
0,20240321,3.8,0.2801,0.55,13.0249,1.5272
0,20240322,3.76,0.5381,1.16,12.8878,1.5111
0,20240325,3.71,0.4371,1.12,12.7164,1.491
0,20240326,3.71,0.4543,1.18,12.7164,1.491
0,20240327,3.68,0.3042,0.76,12.6136,1.479
0,20240328,3.69,0.3826,0.95,12.6479,1.483
0,20240329,3.73,0.255,0.6,12.785,1.4991
0,20240401,3.76,0.33,0.9,12.8878,1.5111
0,20240402,3.8,0.3904,1.13,13.0249,1.5272
0,20240403,3.84,0.4891,1.47,13.162,1.5433
