,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.42,0.3237,0.87,24.5586,0.936
0,20240103,9.47,0.2159,0.55,24.689,0.9409
0,20240104,9.41,0.2416,0.69,24.5326,0.935
0,20240105,9.31,0.2923,0.89,24.2719,0.925
0,20240108,9.14,0.303,1.05,23.8287,0.9082
0,20240109,9.32,0.3416,1.24,24.2979,0.926
0,20240110,9.4,0.4026,1.44,24.5065,0.934
0,20240111,9.38,0.3684,1.17,24.4544,0.932
0,20240112,9.33,0.2753,0.81,24.324,0.927
0,20240115,9.46,0.4534,1.34,24.6629,0.9399
0,20240116,9.34,0.314,0.85,24.3501,0.928
0,20240117,9.1,0.3445,0.95,23.7244,0.9042
0,20240118,8.91,0.616,1.75,23.229,0.8853
0,20240119,8.97,0.4148,1.04,23.3855,0.8913
0,20240122,8.39,0.5951,1.39,21.8734,0.8336
0,20240123,8.52,0.5119,1.12,22.2123,0.8466
0,20240124,9.06,0.8881,1.79,23.6201,0.9002
0,20240125,9.37,0.845,1.4,24.4283,0.931
0,20240126,9.48,0.6582,1.01,24.7151,0.9419
0,20240129,9.27,0.5779,0.83,24.1676,0.9211
0,20240130,8.95,0.5281,0.76,23.3333,0.8893
0,20240131,8.68,0.5992,0.86,22.6294,0.8624
0,20240201,8.53,0.5408,0.84,22.2384,0.8475
0,20240202,8.33,0.86,1.48,21.7169,0.8277
0,20240205,8.0,1.1243,1.81,20.8566,0.7949
0,20240206,8.63,0.9533,1.3,22.4991,0.8575
0,20240207,9.34,1.4421,1.77,24.3501,0.928
0,20240208,9.46,1.4428,1.47,24.6629,0.9399
0,20240219,9.14,1.039,0.89,23.8287,0.9082
0,20240220,9.15,0.5941,0.49,23.8547,0.9091
0,20240221,9.08,0.66,0.6,23.6722,0.9022
0,20240222,9.09,0.4824,0.47,23.6983,0.9032
0,20240223,9.24,0.704,0.83,24.0894,0.9181
0,20240226,9.17,0.5274,0.76,23.9069,0.9111
0,20240227,9.24,0.5168,0.87,24.0894,0.9181
0,20240228,9.05,0.8541,1.48,23.594,0.8992
0,20240229,9.19,0.6906,1.12,23.959,0.9131
0,20240301,9.23,0.5324,0.81,24.0633,0.9171
0,20240304,9.12,0.5125,0.82,23.7765,0.9062
0,20240305,8.9,0.7482,1.2,23.203,0.8843
0,20240306,8.9,0.5078,0.76,23.203,0.8843
0,20240307,8.76,0.425,0.71,22.838,0.8704
0,20240308,8.82,0.409,0.75,22.9944,0.8764
0,20240311,8.91,0.4285,0.82,23.229,0.8853
0,20240312,9.08,0.5208,1.03,23.6722,0.9022
0,20240313,9.01,0.4908,1.07,23.4897,0.8952
0,20240314,8.99,0.4909,1.08,23.4376,0.8933
0,20240315,9.21,0.8256,1.76,24.0112,0.9151
0,20240318,9.41,0.8512,1.54,24.5326,0.935
0,20240319,9.24,0.4992,0.79,24.0894,0.9181
0,20240320,9.3,0.3702,0.59,24.2458,0.9241
0,20240321,9.34,0.3952,0.65,24.3501,0.928
0,20240322,9.11,0.4575,0.78,23.7505,0.9052
0,20240325,9.0,0.4056,0.79,23.4637,0.8942
0,20240326,8.95,0.4075,0.96,23.3333,0.8893
0,20240327,8.75,0.3935,0.97,22.8119,0.8694
0,20240328,8.77,0.3644,0.88,22.864,0.8714
0,20240329,8.74,0.3215,0.79,22.7858,0.8684
0,20240401,8.97,0.3672,0.97,23.3855,0.8913
0,20240402,8.93,0.2706,0.73,23.2812,0.8873
0,20240403,9.09,0.4632,1.35,23.6983,0.9032
