,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.44,3.2472,0.45,465.4796,2.9706
0,20240103,6.2,4.6431,0.71,448.1326,2.8599
0,20240104,6.24,2.6648,0.39,451.0237,2.8783
0,20240105,6.07,3.0513,0.58,438.7362,2.7999
0,20240108,5.98,2.1141,0.53,432.2311,2.7584
0,20240109,6.08,2.6101,0.83,439.459,2.8045
0,20240110,6.3,4.0919,1.36,455.3605,2.906
0,20240111,6.52,5.8597,2.02,471.262,3.0075
0,20240112,6.65,7.7801,2.19,480.6583,3.0674
0,20240115,6.43,3.9707,0.88,464.7568,2.966
0,20240116,6.7,6.3762,1.31,484.2723,3.0905
0,20240117,6.55,3.8499,0.69,473.4304,3.0213
0,20240118,5.9,10.5644,1.9,426.4487,2.7215
0,20240119,5.58,5.2615,0.81,403.3193,2.5739
0,20240122,5.05,5.8353,0.97,365.0112,2.3294
0,20240123,5.12,3.3296,0.52,370.0708,2.3617
0,20240124,5.18,3.4627,0.6,374.4075,2.3894
0,20240125,5.29,3.0338,0.6,382.3583,2.4401
0,20240126,5.19,2.3389,0.62,375.1303,2.394
0,20240129,5.05,2.0062,0.6,365.0112,2.3294
0,20240130,4.99,1.7401,0.65,360.6744,2.3017
0,20240131,4.49,4.1628,1.7,324.5347,2.0711
0,20240201,4.3,5.0399,1.9,310.8016,1.9835
0,20240202,4.03,7.1987,2.35,291.2862,1.8589
0,20240205,3.63,4.4699,1.11,262.3744,1.6744
0,20240206,3.68,4.6685,1.03,265.9884,1.6975
0,20240207,3.59,3.3896,0.66,259.4832,1.656
0,20240208,3.94,3.9916,0.81,284.781,1.8174
0,20240219,4.08,3.3072,0.7,294.9001,1.882
0,20240220,4.08,2.1849,0.55,294.9001,1.882
0,20240221,4.18,3.0598,0.87,302.1281,1.9281
0,20240222,4.28,2.4273,0.76,309.356,1.9742
0,20240223,4.41,2.8742,0.96,318.7524,2.0342
0,20240226,4.5,3.3509,1.21,325.2575,2.0757
0,20240227,4.67,2.73,0.98,337.545,2.1541
0,20240228,4.32,5.3569,1.85,312.2472,1.9927
0,20240229,4.45,3.1957,0.95,321.6435,2.0527
0,20240301,4.45,2.5422,0.73,321.6435,2.0527
0,20240304,4.41,1.8723,0.55,318.7524,2.0342
0,20240305,4.27,2.2143,0.71,308.6332,1.9696
0,20240306,4.35,1.8138,0.6,314.4156,2.0065
0,20240307,4.32,2.1047,0.9,312.2472,1.9927
0,20240308,4.33,1.4917,0.71,312.97,1.9973
0,20240311,4.51,3.2121,1.69,325.9803,2.0803
0,20240312,4.62,3.0863,1.42,333.931,2.1311
0,20240313,4.54,2.2939,0.98,328.1487,2.0942
0,20240314,4.51,2.0107,0.82,325.9803,2.0803
0,20240315,4.57,1.7455,0.72,330.3171,2.108
0,20240318,4.63,2.1613,0.88,334.6538,2.1357
0,20240319,4.68,2.8891,1.28,338.2678,2.1587
0,20240320,4.76,2.4203,1.09,344.0502,2.1956
0,20240321,4.82,3.305,1.47,348.3869,2.2233
0,20240322,4.65,2.5601,1.02,336.0994,2.1449
0,20240325,4.49,2.1301,0.8,324.5347,2.0711
0,20240326,4.51,2.2225,0.84,325.9803,2.0803
0,20240327,4.33,3.1495,1.25,312.97,1.9973
0,20240328,4.39,2.657,0.99,317.3068,2.025
0,20240329,4.36,2.5748,1.01,315.1384,2.0111
0,20240401,4.58,2.8337,1.11,331.0399,2.1126
0,20240402,4.56,2.0563,0.77,329.5943,2.1034
0,20240403,4.58,2.4962,0.94,331.0399,2.1126
