,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.9,1.2524,1.2,16.478,1.455
0,20240103,8.98,0.8242,0.79,16.6273,1.468
0,20240104,9.09,1.2562,1.25,16.8309,1.486
0,20240105,8.99,1.3748,1.28,16.6458,1.4697
0,20240108,8.88,0.8331,0.73,16.4421,1.4517
0,20240109,8.86,1.0123,0.91,16.4051,1.4484
0,20240110,8.8,0.7594,0.72,16.294,1.4386
0,20240111,8.83,0.8508,0.81,16.342,1.4433
0,20240112,8.87,0.8289,0.86,16.416,1.4499
0,20240115,8.75,1.7001,1.98,16.1939,1.4303
0,20240116,8.61,1.1789,1.14,15.9348,1.4074
0,20240117,8.37,0.6234,0.59,15.4906,1.3681
0,20240118,8.26,1.3736,1.33,15.2871,1.3502
0,20240119,8.15,0.7346,0.64,15.0835,1.3322
0,20240122,7.71,1.0659,0.95,14.2691,1.2603
0,20240123,7.7,1.2035,1.21,14.2506,1.2586
0,20240124,7.9,1.2439,1.24,14.6208,1.2913
0,20240125,8.22,1.0928,0.97,15.213,1.3436
0,20240126,8.4,1.1878,1.11,15.5462,1.3731
0,20240129,8.22,0.9234,0.8,15.213,1.3436
0,20240130,8.06,0.8121,0.72,14.9169,1.3175
0,20240131,7.77,1.1295,1.07,14.3802,1.2701
0,20240201,7.5,1.3831,1.34,13.8805,1.2259
0,20240202,7.18,1.4748,1.36,13.2883,1.1736
0,20240205,6.67,2.1958,1.92,12.3444,1.0903
0,20240206,6.97,2.3695,1.69,12.8996,1.1393
0,20240207,6.87,2.276,1.33,12.7145,1.123
0,20240208,7.28,2.1579,1.11,13.4733,1.19
0,20240219,7.57,2.1716,1.04,14.01,1.2374
0,20240220,7.56,0.8242,0.37,13.9915,1.2357
0,20240221,7.55,1.1122,0.57,13.973,1.2341
0,20240222,7.69,1.0254,0.6,14.2321,1.257
0,20240223,7.8,0.9708,0.67,14.4357,1.275
0,20240226,7.74,0.9335,0.76,14.3247,1.2652
0,20240227,7.84,0.6565,0.67,14.5097,1.2815
0,20240228,7.49,1.4223,1.51,13.862,1.2243
0,20240229,7.68,1.3666,1.36,14.2136,1.2554
0,20240301,7.75,0.9856,0.92,14.3432,1.2668
0,20240304,7.8,0.9595,0.89,14.4357,1.275
0,20240305,7.73,0.8972,0.83,14.3062,1.2635
0,20240306,7.84,1.1543,1.02,14.5097,1.2815
0,20240307,8.04,1.7079,1.59,14.8799,1.3142
0,20240308,8.09,0.8456,0.74,14.9724,1.3224
0,20240311,8.15,0.7203,0.65,15.0835,1.3322
0,20240312,8.11,0.7716,0.72,15.0094,1.3256
0,20240313,8.05,0.6619,0.64,14.8984,1.3158
0,20240314,8.08,0.8589,0.91,14.9539,1.3207
0,20240315,8.18,0.7075,0.92,15.139,1.3371
0,20240318,8.36,0.9696,1.3,15.4721,1.3665
0,20240319,8.29,0.6885,0.87,15.3426,1.3551
0,20240320,8.4,0.6628,0.85,15.5462,1.3731
0,20240321,8.4,0.5474,0.7,15.5462,1.3731
0,20240322,8.31,0.6792,0.95,15.3796,1.3583
0,20240325,8.22,0.6499,0.92,15.213,1.3436
0,20240326,8.25,0.6741,1.04,15.2685,1.3485
0,20240327,8.16,0.5859,0.91,15.102,1.3338
0,20240328,8.23,0.5153,0.82,15.2315,1.3453
0,20240329,8.53,0.9658,1.56,15.7868,1.3943
0,20240401,8.54,0.7001,1.03,15.8053,1.3959
0,20240402,9.02,2.3136,3.36,16.6936,1.4744
0,20240403,8.96,1.455,1.43,16.5826,1.4646
