,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.99,1.0664,0.69,19.6443,1.1771
0,20240103,7.17,1.5322,1.1,20.1502,1.2074
0,20240104,7.21,0.8159,0.58,20.2626,1.2141
0,20240105,7.08,0.7529,0.56,19.8973,1.1922
0,20240108,6.95,0.7829,0.66,19.5319,1.1703
0,20240109,6.92,0.806,0.81,19.4476,1.1653
0,20240110,6.77,0.7958,0.85,19.0261,1.14
0,20240111,7.0,1.0538,1.33,19.6724,1.1788
0,20240112,6.9,1.0357,1.24,19.3914,1.1619
0,20240115,6.89,0.6611,0.74,19.3633,1.1602
0,20240116,6.85,0.7079,0.81,19.2509,1.1535
0,20240117,6.74,0.7213,0.85,18.9418,1.135
0,20240118,6.68,1.0579,1.27,18.7731,1.1249
0,20240119,6.72,0.8244,0.99,18.8856,1.1316
0,20240122,6.21,1.1052,1.39,17.4523,1.0457
0,20240123,6.37,1.1142,1.26,17.9019,1.0727
0,20240124,6.49,1.2043,1.25,18.2392,1.0929
0,20240125,7.02,2.0475,1.93,19.7287,1.1821
0,20240126,7.01,1.4672,1.17,19.7006,1.1804
0,20240129,6.8,1.1817,0.85,19.1104,1.1451
0,20240130,6.52,0.8246,0.59,18.3235,1.0979
0,20240131,6.48,1.4252,1.06,18.2111,1.0912
0,20240201,6.38,1.6983,1.22,17.93,1.0744
0,20240202,6.23,1.5176,1.15,17.5085,1.0491
0,20240205,5.61,2.2924,1.72,15.7661,0.9447
0,20240206,5.82,3.3686,2.17,16.3562,0.9801
0,20240207,5.89,2.5651,1.24,16.553,0.9918
0,20240208,6.43,2.7452,1.2,18.0705,1.0828
0,20240219,6.57,1.8543,0.74,18.464,1.1064
0,20240220,6.76,1.2825,0.5,18.998,1.1383
0,20240221,6.51,1.6277,0.69,18.2954,1.0963
0,20240222,6.68,1.3044,0.65,18.7731,1.1249
0,20240223,6.75,1.0771,0.61,18.9699,1.1367
0,20240226,6.76,1.2781,0.89,18.998,1.1383
0,20240227,6.99,1.1128,0.85,19.6443,1.1771
0,20240228,6.79,1.4958,1.17,19.0823,1.1434
0,20240229,7.0,1.3114,1.05,19.6724,1.1788
0,20240301,7.13,1.4331,1.14,20.0378,1.2007
0,20240304,7.36,2.671,2.01,20.6842,1.2394
0,20240305,7.41,2.4276,1.51,20.8247,1.2478
0,20240306,7.3,1.8534,0.99,20.5156,1.2293
0,20240307,7.17,1.4163,0.73,20.1502,1.2074
0,20240308,7.45,1.2629,0.64,20.9371,1.2545
0,20240311,7.38,1.5082,0.78,20.7404,1.2428
0,20240312,7.27,1.4018,0.83,20.4312,1.2242
0,20240313,7.85,4.127,2.77,22.0612,1.3219
0,20240314,7.39,3.0156,1.55,20.7685,1.2444
0,20240315,7.52,1.8002,0.8,21.1338,1.2663
0,20240318,7.98,2.6323,1.11,22.4266,1.3438
0,20240319,7.93,1.8189,0.7,22.2861,1.3354
0,20240320,8.37,2.0303,0.76,23.5226,1.4095
0,20240321,8.38,2.493,1.1,23.5507,1.4111
0,20240322,8.48,1.6435,0.76,23.8318,1.428
0,20240325,7.78,2.0167,0.95,21.8645,1.3101
0,20240326,7.76,1.5537,0.78,21.8083,1.3067
0,20240327,7.52,1.4294,0.73,21.1338,1.2663
0,20240328,7.65,0.8619,0.47,21.4992,1.2882
0,20240329,7.62,0.7368,0.49,21.4149,1.2832
0,20240401,8.03,1.4906,1.13,22.5671,1.3522
0,20240402,7.77,1.1199,0.92,21.8364,1.3084
0,20240403,7.78,1.0163,0.9,21.8645,1.3101
