,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.25,0.6594,1.49,12.9129,1.5112
0,20240103,11.61,0.6235,1.26,13.3261,1.5596
0,20240104,11.76,0.5323,1.04,13.4983,1.5797
0,20240105,11.61,0.4482,0.83,13.3261,1.5596
0,20240108,11.56,0.6252,1.17,13.2687,1.5528
0,20240109,11.73,0.3321,0.57,13.4639,1.5757
0,20240110,11.68,0.296,0.58,13.4065,1.569
0,20240111,11.41,0.4993,1.12,13.0966,1.5327
0,20240112,11.54,0.3061,0.7,13.2458,1.5502
0,20240115,11.72,0.3085,0.75,13.4524,1.5743
0,20240116,11.75,0.2568,0.74,13.4868,1.5784
0,20240117,11.58,0.2206,0.66,13.2917,1.5555
0,20240118,11.62,0.5104,1.6,13.3376,1.5609
0,20240119,11.66,0.563,1.76,13.3835,1.5663
0,20240122,11.12,0.5342,1.44,12.7637,1.4937
0,20240123,11.24,0.3693,0.89,12.9014,1.5099
0,20240124,11.67,0.5605,1.28,13.395,1.5676
0,20240125,11.72,0.656,1.29,13.4524,1.5743
0,20240126,11.89,0.6907,1.29,13.6475,1.5972
0,20240129,12.33,0.7564,1.35,14.1525,1.6563
0,20240130,12.2,0.4615,0.76,14.0033,1.6388
0,20240131,12.43,0.4851,0.78,14.2673,1.6697
0,20240201,12.13,0.6007,0.98,13.923,1.6294
0,20240202,12.66,0.652,1.09,14.5313,1.7006
0,20240205,13.01,0.8181,1.38,14.9331,1.7476
0,20240206,13.37,0.9683,1.6,15.3463,1.796
0,20240207,13.42,0.7672,1.09,15.4037,1.8027
0,20240208,13.07,0.8215,1.08,15.0019,1.7557
0,20240219,13.74,0.8001,0.99,15.771,1.8457
0,20240220,14.43,0.7726,0.93,16.5629,1.9384
0,20240221,14.09,0.7944,0.96,16.1727,1.8927
0,20240222,14.17,0.5313,0.67,16.2645,1.9034
0,20240223,13.94,0.6582,0.88,16.0005,1.8725
0,20240226,13.33,1.343,1.89,15.3004,1.7906
0,20240227,13.21,0.7037,0.86,15.1626,1.7745
0,20240228,13.23,0.8393,1.04,15.1856,1.7772
0,20240229,13.44,0.6772,0.83,15.4266,1.8054
0,20240301,13.49,0.4313,0.51,15.484,1.8121
0,20240304,13.53,0.5735,0.72,15.5299,1.8175
0,20240305,14.13,0.6047,0.94,16.2186,1.8981
0,20240306,13.92,0.3464,0.55,15.9776,1.8699
0,20240307,14.2,0.3712,0.7,16.299,1.9075
0,20240308,14.74,0.6067,1.3,16.9188,1.98
0,20240311,14.29,0.666,1.33,16.4023,1.9196
0,20240312,13.69,0.5536,1.07,15.7136,1.839
0,20240313,13.8,0.7525,1.48,15.8398,1.8537
0,20240314,14.0,0.6588,1.12,16.0694,1.8806
0,20240315,13.72,0.7911,1.22,15.748,1.843
0,20240318,13.67,0.5721,0.84,15.6906,1.8363
0,20240319,13.44,0.7022,1.06,15.4266,1.8054
0,20240320,13.43,0.3898,0.56,15.4151,1.804
0,20240321,13.48,0.4069,0.65,15.4725,1.8108
0,20240322,13.45,0.2552,0.45,15.4381,1.8067
0,20240325,13.64,0.3847,0.83,15.6562,1.8322
0,20240326,13.82,0.4946,1.16,15.8628,1.8564
0,20240327,13.75,0.4007,1.04,15.7824,1.847
0,20240328,13.8,0.3124,0.8,15.8398,1.8537
0,20240329,13.86,0.402,1.09,13.849,1.8163
0,20240401,13.75,0.5394,1.35,13.7391,1.8019
0,20240402,13.84,0.4201,0.98,13.829,1.8136
0,20240403,13.92,0.2855,0.69,13.9089,1.8241
