,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.52,1.2632,1.19,16.8102,1.9609
0,20240103,16.47,1.0113,0.87,16.7593,1.955
0,20240104,16.62,1.3628,1.13,16.912,1.9728
0,20240105,16.29,0.9945,0.73,16.5762,1.9336
0,20240108,16.06,0.9199,0.71,16.3421,1.9063
0,20240109,16.19,1.0725,0.97,16.4744,1.9218
0,20240110,16.0,0.7552,0.7,16.2811,1.8992
0,20240111,16.3,0.7271,0.71,16.5863,1.9348
0,20240112,17.93,3.3453,3.74,18.2436,2.1283
0,20240115,18.24,14.1641,10.38,18.5591,2.1651
0,20240116,17.77,10.2175,2.55,18.0808,2.1093
0,20240117,16.91,6.5062,1.11,17.2058,2.0072
0,20240118,17.15,6.5804,0.94,17.45,2.0357
0,20240119,16.21,5.2541,0.64,16.4936,1.9241
0,20240122,14.65,5.6466,0.66,14.9063,1.739
0,20240123,15.16,3.0277,0.44,15.4252,1.7995
0,20240124,15.12,2.5301,0.47,15.3845,1.7947
0,20240125,15.49,2.1373,0.46,15.761,1.8387
0,20240126,15.43,1.836,0.49,15.6999,1.8315
0,20240129,14.81,1.9055,0.63,15.0691,1.7579
0,20240130,14.33,1.69,0.74,14.5807,1.701
0,20240131,13.66,1.8785,0.93,13.899,1.6214
0,20240201,13.21,1.7508,0.93,13.4411,1.568
0,20240202,12.51,1.8191,1.0,12.7288,1.4849
0,20240205,11.26,2.5044,1.38,11.457,1.3366
0,20240206,11.66,2.5526,1.32,11.864,1.384
0,20240207,11.67,2.7623,1.31,11.8741,1.3852
0,20240208,12.84,3.4246,1.5,13.0646,1.5241
0,20240219,13.22,3.1738,1.21,13.4513,1.5692
0,20240220,13.66,2.3159,0.8,13.899,1.6214
0,20240221,14.46,6.5417,2.3,14.7129,1.7164
0,20240222,14.66,5.1884,1.42,14.9164,1.7401
0,20240223,16.11,8.6583,2.1,16.3918,1.9123
0,20240226,16.65,8.9006,1.72,16.9413,1.9764
0,20240227,16.65,5.7246,0.91,16.9413,1.9764
0,20240228,18.32,7.0992,1.01,18.6405,2.1746
0,20240229,20.15,1.3851,0.19,20.5025,2.3918
0,20240301,21.08,22.8002,3.59,21.4487,2.5022
0,20240304,18.97,0.8259,0.09,19.3018,2.2517
0,20240305,17.07,16.8954,2.23,17.3686,2.0262
0,20240306,16.72,8.771,0.89,17.0125,1.9847
0,20240307,17.36,9.6837,0.96,17.6637,2.0606
0,20240308,16.85,6.0428,0.51,17.1448,2.0001
0,20240311,16.77,5.3451,0.63,17.0634,1.9906
0,20240312,16.88,4.6521,0.5,17.1753,2.0037
0,20240313,17.3,6.01,0.87,17.6026,2.0535
0,20240314,16.77,4.249,0.67,17.0634,1.9906
0,20240315,16.84,3.1146,0.59,17.1346,1.9989
0,20240318,17.06,3.857,0.83,17.3584,2.025
0,20240319,17.45,6.8409,1.56,17.7552,2.0713
0,20240320,17.69,4.4554,0.93,17.9994,2.0998
0,20240321,18.03,5.0465,1.12,18.3454,2.1402
0,20240322,17.35,4.4754,0.96,17.6535,2.0594
0,20240325,16.88,3.4345,0.7,17.1753,2.0037
0,20240326,16.8,2.8686,0.59,17.0939,1.9942
0,20240327,16.53,2.9399,0.72,16.8192,1.9621
0,20240328,16.97,2.829,0.75,17.2669,2.0143
0,20240329,16.51,5.8387,1.76,15.249,1.9079
0,20240401,17.05,3.8647,1.08,15.7478,1.9703
0,20240402,16.75,2.3461,0.64,15.4707,1.9357
0,20240403,16.51,1.8694,0.52,15.249,1.9079
