,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,12.65,1.1269,1.56,292.614,4.1055
0,20240103,13.42,6.5455,8.29,310.4253,4.3554
0,20240104,13.65,7.9335,4.02,315.7455,4.43
0,20240105,13.29,4.9748,1.45,307.4182,4.3132
0,20240108,12.98,2.1373,0.5,300.2474,4.2126
0,20240109,12.89,3.2045,0.71,298.1656,4.1834
0,20240110,12.85,2.1546,0.43,297.2403,4.1704
0,20240111,13.04,2.1082,0.52,301.6353,4.2321
0,20240112,12.94,2.5497,0.87,299.3221,4.1996
0,20240115,12.76,1.7891,0.74,295.1585,4.1412
0,20240116,12.58,2.0177,0.85,290.9948,4.0828
0,20240117,12.39,2.2365,1.05,286.5998,4.0211
0,20240118,12.13,2.1784,1.02,280.5856,3.9367
0,20240119,11.81,1.1868,0.55,273.1835,3.8329
0,20240122,11.08,1.6929,0.9,256.2975,3.596
0,20240123,10.76,1.9536,1.05,248.8954,3.4921
0,20240124,11.13,1.6744,0.91,257.454,3.6122
0,20240125,11.84,1.5581,0.9,273.8774,3.8426
0,20240126,12.16,1.5585,0.97,281.2795,3.9465
0,20240129,11.54,1.4574,0.86,266.938,3.7453
0,20240130,11.11,1.1146,0.68,256.9914,3.6057
0,20240131,10.28,1.7504,1.19,237.7922,3.3363
0,20240201,9.93,2.0352,1.37,229.6962,3.2227
0,20240202,9.62,1.8728,1.18,222.5254,3.1221
0,20240205,8.66,2.3096,1.4,200.3191,2.8106
0,20240206,8.07,3.4149,1.88,186.6715,2.6191
0,20240207,7.26,3.8513,1.69,167.935,2.3562
0,20240208,7.64,5.9573,2.21,176.725,2.4795
0,20240219,7.88,3.2653,0.94,182.2765,2.5574
0,20240220,8.06,2.3253,0.62,186.4402,2.6158
0,20240221,8.24,2.3379,0.62,190.6039,2.6743
0,20240222,8.6,2.0826,0.59,198.9312,2.7911
0,20240223,9.1,2.569,0.8,210.497,2.9534
0,20240226,9.25,2.8241,1.12,213.9667,3.002
0,20240227,9.62,1.9178,0.79,222.5254,3.1221
0,20240228,8.66,4.4427,1.89,200.3191,2.8106
0,20240229,8.99,2.6424,0.95,207.9525,2.9177
0,20240301,8.93,2.0517,0.71,206.5647,2.8982
0,20240304,8.98,1.962,0.71,207.7212,2.9144
0,20240305,8.7,2.0058,0.77,201.2444,2.8235
0,20240306,8.76,1.3326,0.51,202.6323,2.843
0,20240307,8.8,1.3652,0.68,203.5576,2.856
0,20240308,8.72,1.3891,0.8,201.707,2.83
0,20240311,8.88,1.3415,0.83,205.4081,2.882
0,20240312,9.12,1.9145,1.29,210.9596,2.9599
0,20240313,9.04,1.4535,0.99,209.1091,2.9339
0,20240314,9.06,1.6497,1.11,209.5718,2.9404
0,20240315,9.23,2.1182,1.37,213.5041,2.9956
0,20240318,9.39,1.7041,1.01,217.2052,3.0475
0,20240319,9.4,1.4984,0.85,217.4365,3.0507
0,20240320,9.55,1.3921,0.83,220.9062,3.0994
0,20240321,9.63,1.4115,0.84,222.7567,3.1254
0,20240322,9.35,1.812,1.12,216.2799,3.0345
0,20240325,9.09,1.7014,1.09,210.2657,2.9501
0,20240326,9.05,1.5378,0.98,209.3404,2.9371
0,20240327,8.83,1.2257,0.78,204.2515,2.8657
0,20240328,9.05,1.4171,0.92,209.3404,2.9371
0,20240329,9.22,1.0951,0.71,213.2728,2.9923
0,20240401,9.42,1.2672,0.91,217.8991,3.0572
0,20240402,9.45,1.1347,0.87,218.5931,3.067
0,20240403,9.49,1.5073,1.23,219.5183,3.0799
