,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.17,1.347,2.22,10.352,0.7846
0,20240103,3.24,0.9596,1.21,10.5806,0.8019
0,20240104,3.27,0.9335,1.08,10.6786,0.8094
0,20240105,3.26,0.8715,0.91,10.6459,0.8069
0,20240108,3.23,0.5778,0.59,10.5479,0.7995
0,20240109,3.29,0.82,0.87,10.7439,0.8143
0,20240110,3.27,0.6058,0.73,10.6786,0.8094
0,20240111,3.25,0.5756,0.76,10.6132,0.8044
0,20240112,3.26,0.5148,0.75,10.6459,0.8069
0,20240115,3.29,0.5813,0.94,10.7439,0.8143
0,20240116,3.28,0.6262,1.01,10.7112,0.8118
0,20240117,3.26,0.7941,1.37,10.6459,0.8069
0,20240118,3.19,1.1226,1.82,10.4173,0.7896
0,20240119,3.16,0.6964,0.96,10.3193,0.7821
0,20240122,3.01,1.2512,1.64,9.8295,0.745
0,20240123,2.99,1.0103,1.12,9.7642,0.7401
0,20240124,3.07,1.18,1.21,10.0254,0.7599
0,20240125,3.19,1.0637,1.01,10.4173,0.7896
0,20240126,3.27,1.2865,1.24,10.6786,0.8094
0,20240129,3.26,1.1488,0.99,10.6459,0.8069
0,20240130,3.2,0.9475,0.83,10.45,0.792
0,20240131,3.12,1.1733,1.04,10.1887,0.7722
0,20240201,3.03,1.4941,1.33,9.8948,0.75
0,20240202,3.05,1.4476,1.2,9.9601,0.7549
0,20240205,2.97,1.8079,1.46,9.6989,0.7351
0,20240206,3.05,1.9321,1.41,9.9601,0.7549
0,20240207,3.02,1.5618,0.99,9.8622,0.7475
0,20240208,3.09,1.8047,1.09,10.0907,0.7648
0,20240219,3.19,1.4608,0.85,10.4173,0.7896
0,20240220,3.21,0.7783,0.45,10.4826,0.7945
0,20240221,3.22,0.8292,0.55,10.5153,0.797
0,20240222,3.23,0.5438,0.42,10.5479,0.7995
0,20240223,3.3,1.3938,1.29,10.7765,0.8168
0,20240226,3.23,1.4259,1.42,10.5479,0.7995
0,20240227,3.25,0.8186,0.82,10.6132,0.8044
0,20240228,3.22,1.0907,1.09,10.5153,0.797
0,20240229,3.24,0.9126,0.87,10.5806,0.8019
0,20240301,3.22,0.8404,0.74,10.5153,0.797
0,20240304,3.23,0.592,0.58,10.5479,0.7995
0,20240305,3.22,0.5974,0.7,10.5153,0.797
0,20240306,3.26,0.9583,1.19,10.6459,0.8069
0,20240307,3.29,1.1161,1.43,10.7439,0.8143
0,20240308,3.32,1.2665,1.54,10.8418,0.8217
0,20240311,3.33,1.0507,1.16,10.8745,0.8242
0,20240312,3.3,0.5929,0.59,10.7765,0.8168
0,20240313,3.35,0.912,0.91,10.9398,0.8292
0,20240314,3.37,0.6083,0.62,11.0051,0.8341
0,20240315,3.37,0.4799,0.54,11.0051,0.8341
0,20240318,3.36,0.7563,1.04,10.9725,0.8316
0,20240319,3.33,0.5776,0.86,10.8745,0.8242
0,20240320,3.36,0.646,0.97,10.9725,0.8316
0,20240321,3.33,0.489,0.8,10.8745,0.8242
0,20240322,3.3,0.6334,1.07,10.7765,0.8168
0,20240325,3.32,1.1254,1.81,10.8418,0.8217
0,20240326,3.34,0.7323,1.05,10.9072,0.8267
0,20240327,3.3,0.5929,0.82,10.7765,0.8168
0,20240328,3.3,0.6685,0.94,10.7765,0.8168
0,20240329,3.36,1.1006,1.47,10.9725,0.8316
0,20240401,3.34,0.8299,0.98,10.9072,0.8267
0,20240402,3.36,0.9195,1.17,10.9725,0.8316
0,20240403,3.38,1.0805,1.31,11.0378,0.8366
