,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,37.68,0.4747,1.25,20.6778,3.2686
0,20240103,38.01,0.5114,1.25,20.8589,3.2972
0,20240104,38.1,0.4626,0.98,20.9083,3.305
0,20240105,38.31,0.6135,1.21,21.0235,3.3232
0,20240108,38.64,0.7212,1.41,21.2046,3.3519
0,20240109,38.15,0.5764,1.04,20.9357,3.3094
0,20240110,38.88,0.7204,1.25,21.3363,3.3727
0,20240111,38.96,0.5501,0.89,21.3802,3.3796
0,20240112,39.0,0.5437,0.85,21.4022,3.3831
0,20240115,38.63,0.525,0.84,21.1991,3.351
0,20240116,39.33,0.6024,1.03,21.5833,3.4117
0,20240117,38.84,0.5312,0.9,21.3144,3.3692
0,20240118,39.5,0.7987,1.45,21.6765,3.4265
0,20240119,39.01,0.4645,0.77,21.4076,3.384
0,20240122,38.4,0.6237,1.07,21.0729,3.3311
0,20240123,37.52,0.6338,1.05,20.59,3.2547
0,20240124,37.42,0.6187,1.01,20.5351,3.246
0,20240125,37.48,0.7917,1.26,20.568,3.2512
0,20240126,38.3,0.7998,1.28,21.018,3.3224
0,20240129,38.73,0.6168,0.89,21.254,3.3597
0,20240130,38.4,0.5941,0.86,21.0729,3.3311
0,20240131,38.11,0.8413,1.23,20.9137,3.3059
0,20240201,38.96,0.7982,1.1,21.3802,3.3796
0,20240202,39.15,0.6865,0.94,21.4845,3.3961
0,20240205,40.67,1.1884,1.68,22.3186,3.528
0,20240206,40.66,0.8133,0.99,22.3131,3.5271
0,20240207,41.3,0.7449,0.86,22.6643,3.5826
0,20240208,41.17,0.7418,0.88,22.593,3.5713
0,20240219,40.98,0.6431,0.77,22.4887,3.5549
0,20240220,41.09,0.4936,0.6,22.5491,3.5644
0,20240221,41.72,0.6628,0.96,22.8948,3.619
0,20240222,41.68,0.3553,0.54,22.8729,3.6156
0,20240223,41.79,0.3896,0.67,22.9332,3.6251
0,20240226,41.74,0.5613,1.1,22.9058,3.6208
0,20240227,41.87,0.4411,0.9,22.9771,3.6321
0,20240228,42.03,0.6264,1.3,23.0649,3.6459
0,20240229,43.29,0.7514,1.58,23.7564,3.7552
0,20240301,43.38,0.4037,0.73,23.8058,3.763
0,20240304,43.97,0.4395,0.79,24.1296,3.8142
0,20240305,46.13,1.003,1.88,25.3149,4.0016
0,20240306,45.32,0.6883,1.07,24.8704,3.9313
0,20240307,44.7,0.6632,1.01,24.5302,3.8776
0,20240308,44.72,0.4517,0.71,24.5411,3.8793
0,20240311,45.26,0.5266,0.81,24.8375,3.9261
0,20240312,44.48,0.5295,0.79,24.4094,3.8585
0,20240313,43.9,0.6118,1.07,24.0911,3.8082
0,20240314,43.88,0.3134,0.56,24.0802,3.8064
0,20240315,43.65,0.4534,0.93,23.954,3.7865
0,20240318,43.18,1.1751,2.41,20.0184,3.5858
0,20240319,42.35,0.9994,1.62,19.6336,3.5169
0,20240320,42.58,0.5224,0.74,19.7402,3.536
0,20240321,41.72,0.9345,1.35,19.3415,3.4646
0,20240322,42.41,0.8071,0.99,19.6614,3.5219
0,20240325,42.29,0.9515,1.07,19.6058,3.5119
0,20240326,42.98,0.8314,0.99,19.9257,3.5692
0,20240327,42.8,0.7201,0.89,19.8422,3.5543
0,20240328,42.95,0.7885,0.93,19.9118,3.5667
0,20240329,43.26,0.3478,0.42,20.0555,3.5925
0,20240401,44.8,0.7022,0.96,20.7694,3.7204
0,20240402,44.04,0.837,1.23,20.4171,3.6572
0,20240403,44.14,0.5397,0.79,20.4635,3.6655
