,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.97,15.6966,0.81,41.9068,2.7027
0,20240103,18.67,18.8715,1.08,46.4681,2.9461
0,20240104,18.32,63.5715,3.9,45.597,2.8909
0,20240105,16.49,39.665,1.56,41.0422,2.6021
0,20240108,18.14,39.2638,1.29,45.149,2.8625
0,20240109,17.3,35.7656,1.04,43.424,2.7033
0,20240110,16.83,21.7333,0.56,42.2443,2.6299
0,20240111,17.53,26.9316,0.69,44.0013,2.7393
0,20240112,16.96,16.6852,0.52,42.5706,2.6502
0,20240115,17.17,13.3731,0.48,43.0977,2.683
0,20240116,16.9,10.9733,0.48,42.42,2.6408
0,20240117,15.99,14.4501,0.81,40.1359,2.4986
0,20240118,16.29,17.0786,1.04,40.8889,2.5455
0,20240119,15.83,9.5641,0.66,39.7342,2.4736
0,20240122,14.57,12.7017,0.97,36.5716,2.2767
0,20240123,14.12,9.3015,0.72,35.442,2.2064
0,20240124,13.88,9.2974,0.74,34.8396,2.1689
0,20240125,14.1,8.6086,0.74,35.3918,2.2033
0,20240126,13.84,8.6007,0.87,34.7392,2.1627
0,20240129,13.01,7.7898,0.8,32.6559,2.033
0,20240130,12.74,8.2134,0.94,31.9782,1.9908
0,20240131,11.9,9.7664,1.15,29.8697,1.8595
0,20240201,11.75,7.5027,0.87,29.4932,1.8361
0,20240202,11.14,7.6739,0.92,27.9621,1.7408
0,20240205,10.03,6.4986,0.79,25.1759,1.5673
0,20240206,9.6,17.1243,2.16,24.0966,1.5001
0,20240207,8.65,21.6466,2.23,21.712,1.3517
0,20240208,9.36,23.3134,1.93,23.4942,1.4626
0,20240219,9.91,17.7383,1.18,24.9957,1.54
0,20240220,10.33,12.3325,0.72,26.055,1.6053
0,20240221,10.62,13.0674,0.72,26.7865,1.6504
0,20240222,11.1,11.6941,0.67,27.9972,1.7249
0,20240223,11.82,12.9742,0.83,29.8132,1.8368
0,20240226,12.02,13.5904,1.0,30.3304,1.8678
0,20240227,12.48,9.931,0.78,31.4912,1.9392
0,20240228,11.23,16.4562,1.34,28.337,1.745
0,20240229,11.73,13.131,1.02,29.5987,1.8227
0,20240301,12.64,23.1802,1.75,31.8949,1.9641
0,20240304,12.9,23.7797,1.56,32.551,2.0045
0,20240305,13.3,30.0674,1.74,33.5603,2.0666
0,20240306,14.1,31.46,1.48,35.5789,2.191
0,20240307,13.12,22.9948,0.95,33.1061,2.0387
0,20240308,13.17,11.2022,0.43,33.2323,2.0464
0,20240311,12.91,13.7288,0.57,32.5762,2.006
0,20240312,13.02,13.205,0.6,32.8538,2.0231
0,20240313,12.83,10.4143,0.56,32.3743,1.9936
0,20240314,12.68,9.5427,0.67,31.9958,1.9703
0,20240315,12.84,7.8579,0.68,32.3996,1.9952
0,20240318,13.27,13.5952,1.24,33.4846,2.062
0,20240319,13.45,14.3875,1.32,33.9388,2.09
0,20240320,14.05,18.9952,1.7,35.4528,2.1832
0,20240321,13.6,16.5828,1.29,34.3173,2.1133
0,20240322,13.69,17.3286,1.21,34.5444,2.1272
0,20240325,13.04,12.6277,0.78,32.9042,2.0262
0,20240326,12.87,9.7317,0.61,32.4753,1.9998
0,20240327,12.62,11.6568,0.77,31.8444,1.961
0,20240328,12.94,8.9733,0.66,32.6519,2.0107
0,20240329,13.34,9.6164,0.8,33.6612,2.0729
0,20240401,13.68,11.8885,1.13,37.1305,2.0876
0,20240402,15.05,6.375,0.61,40.849,2.2966
0,20240403,16.56,2.9439,0.3,44.9475,2.527
