,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.56,0.3057,0.85,15.3259,1.1359
0,20240103,8.61,0.2388,0.68,15.4154,1.1425
0,20240104,8.47,0.32,0.97,15.1648,1.124
0,20240105,8.37,0.3395,1.07,14.9857,1.1107
0,20240108,8.13,0.5151,1.68,14.556,1.0789
0,20240109,8.06,0.3771,1.1,14.4307,1.0696
0,20240110,8.12,0.3116,0.87,14.5381,1.0775
0,20240111,8.33,0.6324,1.7,14.9141,1.1054
0,20240112,8.46,0.4123,0.95,15.1469,1.1226
0,20240115,8.32,0.3987,0.89,14.8962,1.1041
0,20240116,8.23,0.3118,0.73,14.7351,1.0921
0,20240117,8.02,0.285,0.69,14.3591,1.0643
0,20240118,7.9,0.6244,1.53,14.1442,1.0483
0,20240119,7.92,0.3881,0.95,14.18,1.051
0,20240122,7.47,0.5544,1.38,13.3744,0.9913
0,20240123,7.41,0.557,1.29,13.2669,0.9833
0,20240124,7.46,0.3801,0.79,13.3565,0.9899
0,20240125,7.74,0.3499,0.7,13.8578,1.0271
0,20240126,7.81,0.3345,0.75,13.9831,1.0364
0,20240129,7.69,0.3909,0.9,13.7683,1.0205
0,20240130,7.44,0.4782,1.19,13.3207,0.9873
0,20240131,7.19,0.7136,1.85,12.8731,0.9541
0,20240201,7.12,0.5323,1.17,12.7477,0.9448
0,20240202,6.87,0.6882,1.4,12.3001,0.9116
0,20240205,6.5,0.9716,1.73,11.6377,0.8625
0,20240206,6.59,0.9915,1.47,11.7988,0.8745
0,20240207,6.98,1.0752,1.38,12.4971,0.9262
0,20240208,7.21,0.8973,1.05,12.9089,0.9568
0,20240219,7.02,0.7724,0.84,12.5687,0.9316
0,20240220,7.01,0.4097,0.44,12.5508,0.9302
0,20240221,7.04,0.5447,0.66,12.6045,0.9342
0,20240222,7.05,0.381,0.51,12.6224,0.9355
0,20240223,7.07,0.5095,0.85,12.6582,0.9382
0,20240226,7.23,0.6947,1.33,12.9447,0.9594
0,20240227,7.35,0.5052,0.99,13.1595,0.9753
0,20240228,7.06,0.8454,1.6,12.6403,0.9369
0,20240229,7.15,0.5418,0.92,12.8014,0.9488
0,20240301,7.11,0.4821,0.78,12.7298,0.9435
0,20240304,7.04,0.4782,0.78,12.6045,0.9342
0,20240305,6.99,0.3707,0.65,12.515,0.9276
0,20240306,6.95,0.3473,0.64,12.4434,0.9223
0,20240307,6.96,0.4245,0.96,12.4613,0.9236
0,20240308,6.93,0.4191,1.0,12.4075,0.9196
0,20240311,7.01,0.6315,1.55,12.5508,0.9302
0,20240312,7.1,0.4412,1.01,12.7119,0.9422
0,20240313,6.99,0.5821,1.29,12.515,0.9276
0,20240314,6.95,0.4318,0.86,12.4434,0.9223
0,20240315,7.02,0.3702,0.74,12.5687,0.9316
0,20240318,7.11,0.6028,1.23,12.7298,0.9435
0,20240319,7.19,0.7213,1.49,12.8731,0.9541
0,20240320,7.25,0.7827,1.45,12.9805,0.9621
0,20240321,7.45,1.3263,2.28,13.3386,0.9886
0,20240322,7.27,0.8989,1.18,13.0163,0.9647
0,20240325,7.07,0.7141,0.82,12.6582,0.9382
0,20240326,7.14,0.5896,0.66,12.7835,0.9475
0,20240327,7.08,0.4558,0.53,12.6761,0.9395
0,20240328,7.08,0.5333,0.67,12.6761,0.9395
0,20240329,7.16,0.5651,0.89,12.8193,0.9501
0,20240401,7.27,0.6402,1.12,,1.0403
0,20240402,7.35,0.5852,1.05,,1.0517
0,20240403,7.43,0.925,1.66,,1.0631
