,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.38,1.4309,2.64,6.3118,2.4635
0,20240103,13.28,0.7973,1.13,6.2646,2.4451
0,20240104,13.31,0.6343,0.83,6.2787,2.4506
0,20240105,13.23,0.9453,1.18,6.241,2.4359
0,20240108,13.0,0.6963,0.79,6.1325,2.3935
0,20240109,13.23,0.7586,0.84,6.241,2.4359
0,20240110,13.15,0.6792,0.89,6.2033,2.4211
0,20240111,13.26,0.5998,0.81,6.2552,2.4414
0,20240112,13.14,0.6711,0.91,6.1985,2.4193
0,20240115,13.36,1.1496,1.69,6.3023,2.4598
0,20240116,13.35,0.8157,1.06,6.2976,2.458
0,20240117,13.23,1.6344,2.09,6.241,2.4359
0,20240118,13.1,1.393,1.43,6.1797,2.4119
0,20240119,12.68,1.3297,1.17,5.9816,2.3346
0,20240122,11.78,1.7278,1.37,5.557,2.1689
0,20240123,11.84,1.2263,0.89,5.5853,2.18
0,20240124,11.85,1.0059,0.69,5.59,2.1818
0,20240125,12.58,1.5674,1.17,5.9344,2.3162
0,20240126,12.55,1.1511,0.84,5.9202,2.3107
0,20240129,12.63,1.1947,0.89,5.958,2.3254
0,20240130,12.22,0.9864,0.8,5.7646,2.2499
0,20240131,12.18,0.7196,0.61,5.7457,2.2426
0,20240201,11.83,1.0709,0.95,5.5806,2.1781
0,20240202,11.43,1.1325,1.11,5.3919,2.1045
0,20240205,10.84,1.2097,1.19,5.1136,1.9958
0,20240206,11.38,1.0868,1.06,5.3683,2.0953
0,20240207,11.14,1.2879,1.23,5.2551,2.0511
0,20240208,12.25,1.9732,1.7,5.7787,2.2554
0,20240219,12.36,1.754,1.31,5.8306,2.2757
0,20240220,12.28,0.7475,0.51,5.7929,2.261
0,20240221,12.32,1.1964,0.87,5.8117,2.2683
0,20240222,12.4,0.77,0.55,5.8495,2.2831
0,20240223,12.53,0.9306,0.72,5.9108,2.307
0,20240226,12.79,1.7306,1.6,6.0334,2.3549
0,20240227,12.96,1.1291,1.05,6.1136,2.3862
0,20240228,12.41,2.024,1.76,5.8542,2.2849
0,20240229,12.82,1.118,0.85,6.0476,2.3604
0,20240301,12.79,1.0936,0.79,6.0334,2.3549
0,20240304,12.82,0.7855,0.55,6.0476,2.3604
0,20240305,12.74,1.2489,1.02,6.0099,2.3457
0,20240306,12.72,0.8001,0.64,6.0004,2.342
0,20240307,12.78,0.9999,0.99,6.0287,2.353
0,20240308,12.8,0.7352,0.75,6.0382,2.3567
0,20240311,12.86,0.809,0.89,6.0665,2.3678
0,20240312,13.11,1.6203,1.76,6.1844,2.4138
0,20240313,12.96,1.0598,1.07,6.1136,2.3862
0,20240314,12.65,1.5472,1.48,5.9674,2.3291
0,20240315,12.68,0.8155,0.71,5.9816,2.3346
0,20240318,12.83,1.0065,0.86,6.0523,2.3622
0,20240319,12.66,0.7507,0.62,5.9721,2.3309
0,20240320,12.74,0.7168,0.69,6.0099,2.3457
0,20240321,12.69,0.6975,0.72,5.9863,2.3365
0,20240322,12.42,0.9874,1.24,5.8589,2.2867
0,20240325,12.15,0.6136,0.74,5.7315,2.237
0,20240326,12.19,0.5206,0.69,5.7504,2.2444
0,20240327,12.05,0.476,0.67,5.6844,2.2186
0,20240328,12.14,0.8255,1.25,5.7268,2.2352
0,20240329,12.41,0.7825,1.14,5.8542,2.2849
0,20240401,12.54,0.7767,1.21,5.9155,2.3088
0,20240402,12.48,0.7956,1.18,5.8872,2.2978
0,20240403,12.36,0.7184,0.98,5.8306,2.2757
