,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,30.5,4.1352,0.58,90.0361,3.0555
0,20240103,30.38,3.9088,0.68,89.6819,3.0435
0,20240104,30.52,3.5198,0.69,90.0951,3.0575
0,20240105,29.71,4.079,0.88,87.704,2.9764
0,20240108,29.2,2.4912,0.6,86.1985,2.9253
0,20240109,28.6,4.168,1.15,84.4273,2.8652
0,20240110,27.58,4.1292,1.14,81.4163,2.763
0,20240111,28.55,4.1064,1.12,84.2797,2.8602
0,20240112,27.82,3.0866,0.81,82.1247,2.787
0,20240115,27.94,1.9548,0.54,82.479,2.799
0,20240116,27.43,2.8788,0.83,80.9735,2.748
0,20240117,26.68,2.0966,0.65,78.7595,2.6728
0,20240118,26.55,3.2349,1.15,78.3757,2.6598
0,20240119,26.0,2.1433,0.81,76.7521,2.6047
0,20240122,24.13,3.6503,1.48,71.2318,2.4174
0,20240123,24.96,4.33,1.55,73.682,2.5005
0,20240124,25.18,3.5707,1.16,74.3314,2.5225
0,20240125,25.88,3.9196,1.16,76.3978,2.5927
0,20240126,26.08,4.7801,1.36,76.9882,2.6127
0,20240129,24.91,3.4774,0.86,73.5344,2.4955
0,20240130,24.41,2.1907,0.55,72.0584,2.4454
0,20240131,22.59,3.8037,1.06,66.6858,2.2631
0,20240201,22.13,3.1668,0.87,65.3278,2.217
0,20240202,21.15,4.4636,1.28,62.4349,2.1188
0,20240205,19.04,3.4956,1.02,56.2061,1.9074
0,20240206,18.46,6.0014,1.75,54.494,1.8493
0,20240207,17.65,5.8061,1.39,52.1029,1.7682
0,20240208,19.39,6.6137,1.44,57.2393,1.9425
0,20240219,21.33,1.8665,0.35,62.9662,2.1369
0,20240220,23.46,2.3654,0.5,69.254,2.3502
0,20240221,23.32,13.7656,3.04,68.8407,2.3362
0,20240222,24.7,11.2769,1.85,72.9145,2.4745
0,20240223,26.23,12.3954,1.73,77.431,2.6277
0,20240226,25.63,9.7504,1.17,75.6598,2.5676
0,20240227,26.69,10.0404,1.01,78.789,2.6738
0,20240228,24.02,9.4855,0.83,70.9071,2.4063
0,20240229,24.92,6.171,0.58,73.5639,2.4965
0,20240301,25.88,7.3938,0.77,76.3978,2.5927
0,20240304,26.35,7.5066,0.88,77.7853,2.6398
0,20240305,27.8,13.9439,1.72,82.0657,2.785
0,20240306,30.58,17.4089,1.96,90.2723,3.0635
0,20240307,33.64,21.9109,2.09,99.3054,3.3701
0,20240308,32.49,30.5152,2.24,95.9106,3.2549
0,20240311,30.77,19.1659,1.05,90.8331,3.0826
0,20240312,29.76,14.8374,0.72,87.8516,2.9814
0,20240313,29.92,10.0802,0.49,88.3239,2.9974
0,20240314,28.8,11.1815,0.58,85.0177,2.8852
0,20240315,29.13,7.64,0.45,85.9919,2.9183
0,20240318,29.72,9.1011,0.72,87.7335,2.9774
0,20240319,29.97,10.4794,0.99,88.4715,3.0024
0,20240320,29.66,6.7805,0.7,87.5564,2.9714
0,20240321,31.66,16.0018,1.77,93.4604,3.1717
0,20240322,30.34,10.0362,1.0,89.5638,3.0395
0,20240325,28.19,7.9314,0.76,83.217,2.8241
0,20240326,27.32,6.6136,0.65,80.6487,2.7369
0,20240327,25.81,5.298,0.56,76.1912,2.5857
0,20240328,26.92,5.9556,0.65,79.4679,2.6969
0,20240329,27.14,3.5366,0.49,80.1174,2.7189
0,20240401,27.56,3.584,0.61,81.3572,2.761
0,20240402,26.94,3.563,0.71,79.527,2.6989
0,20240403,26.25,3.1837,0.73,77.4901,2.6297
