,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.8,0.7091,0.64,74.8482,1.608
0,20240103,5.85,0.7744,0.72,75.4934,1.6219
0,20240104,5.78,0.5319,0.51,74.5901,1.6025
0,20240105,5.7,0.5624,0.68,73.5577,1.5803
0,20240108,5.6,0.5294,0.77,72.2672,1.5525
0,20240109,5.57,0.4992,0.8,71.8801,1.5442
0,20240110,5.56,0.5353,0.92,71.751,1.5415
0,20240111,5.7,0.8393,1.58,73.5577,1.5803
0,20240112,5.69,0.6371,1.07,73.4287,1.5775
0,20240115,5.66,0.5172,0.85,73.0415,1.5692
0,20240116,5.62,0.5185,0.86,72.5253,1.5581
0,20240117,5.45,0.6936,1.14,70.3315,1.511
0,20240118,5.35,1.2259,1.91,69.041,1.4832
0,20240119,5.35,0.6274,0.87,69.041,1.4832
0,20240122,4.98,1.3162,1.84,64.2662,1.3807
0,20240123,5.02,0.8352,0.95,64.7824,1.3917
0,20240124,5.14,0.7958,0.85,66.331,1.425
0,20240125,5.39,1.1173,1.16,69.5572,1.4943
0,20240126,5.56,2.4594,2.62,71.751,1.5415
0,20240129,5.28,1.6323,1.25,68.1377,1.4638
0,20240130,5.25,0.9953,0.73,67.7505,1.4555
0,20240131,4.95,1.39,0.99,63.8791,1.3723
0,20240201,4.81,1.1043,0.73,62.0724,1.3335
0,20240202,4.68,1.4267,0.94,60.3948,1.2975
0,20240205,4.21,2.0333,1.55,54.3295,1.1672
0,20240206,4.39,1.9187,1.38,56.6523,1.2171
0,20240207,4.56,1.7346,1.1,58.8462,1.2642
0,20240208,5.02,2.6199,1.59,64.7824,1.3917
0,20240219,5.11,2.4939,1.28,65.9438,1.4167
0,20240220,5.05,1.1539,0.53,65.1696,1.4001
0,20240221,5.17,1.9016,0.96,66.7181,1.4333
0,20240222,5.2,0.8727,0.44,67.1053,1.4417
0,20240223,5.21,0.9321,0.52,67.2343,1.4444
0,20240226,5.23,1.0041,0.68,67.4924,1.45
0,20240227,5.34,1.3891,1.18,68.912,1.4805
0,20240228,5.13,1.6919,1.39,66.2019,1.4222
0,20240229,5.28,1.1774,1.0,68.1377,1.4638
0,20240301,5.26,0.9319,0.75,67.8796,1.4583
0,20240304,5.19,0.8886,0.72,66.9762,1.4389
0,20240305,5.2,1.0496,0.86,67.1053,1.4417
0,20240306,5.17,0.7248,0.63,66.7181,1.4333
0,20240307,5.17,1.0266,1.08,66.7181,1.4333
0,20240308,5.16,0.5807,0.63,66.5891,1.4306
0,20240311,5.22,0.7475,0.88,67.3634,1.4472
0,20240312,5.33,1.027,1.24,68.7829,1.4777
0,20240313,5.24,0.7504,0.91,67.6215,1.4527
0,20240314,5.19,0.7062,0.85,66.9762,1.4389
0,20240315,5.28,0.8035,1.05,68.1377,1.4638
0,20240318,5.35,0.9282,1.15,69.041,1.4832
0,20240319,5.42,1.3206,1.57,69.9443,1.5026
0,20240320,5.44,1.2012,1.33,70.2024,1.5082
0,20240321,5.62,2.596,2.62,72.5253,1.5581
0,20240322,5.48,1.6848,1.23,70.7186,1.5193
0,20240325,5.28,1.1235,0.73,68.1377,1.4638
0,20240326,5.32,1.019,0.64,68.6539,1.4749
0,20240327,5.17,1.0025,0.66,66.7181,1.4333
0,20240328,5.21,0.8377,0.56,67.2343,1.4444
0,20240329,5.25,0.9219,0.81,67.7505,1.4555
0,20240401,5.37,1.0351,1.06,69.2991,1.4888
0,20240402,5.36,0.6824,0.71,69.1701,1.486
0,20240403,5.4,1.1706,1.31,69.6863,1.4971
