,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.9,1.5743,0.74,,4.0589
0,20240103,10.75,2.0231,0.9,,4.003
0,20240104,10.75,1.3938,0.59,,4.003
0,20240105,10.48,1.7458,0.91,,3.9025
0,20240108,10.02,2.2319,1.27,,3.7312
0,20240109,9.72,2.9913,1.67,,3.6195
0,20240110,9.39,2.4007,1.16,,3.4966
0,20240111,9.79,2.9317,1.36,,3.6456
0,20240112,9.64,1.6881,0.69,,3.5897
0,20240115,9.57,1.082,0.44,,3.5636
0,20240116,9.49,1.4297,0.64,,3.5339
0,20240117,9.19,1.5174,0.8,,3.4221
0,20240118,9.23,2.6201,1.51,,3.437
0,20240119,9.0,1.3582,0.81,,3.3514
0,20240122,8.38,2.4633,1.54,,3.1205
0,20240123,8.6,2.2012,1.17,,3.2024
0,20240124,8.71,2.1712,1.07,,3.2434
0,20240125,9.1,2.9804,1.38,,3.3886
0,20240126,9.15,2.9874,1.34,,3.4072
0,20240129,8.98,2.2928,0.9,,3.3439
0,20240130,8.62,1.8068,0.72,,3.2099
0,20240131,8.13,2.4799,1.01,,3.0274
0,20240201,7.95,2.1419,0.85,,2.9604
0,20240202,7.56,3.0943,1.32,,2.8152
0,20240205,6.8,0.464,0.2,,2.5322
0,20240206,6.22,6.7714,3.39,,2.3162
0,20240207,5.87,5.6008,1.87,,2.1858
0,20240208,6.46,4.4694,1.24,,2.4056
0,20240219,7.11,5.0738,1.24,,2.6476
0,20240220,7.4,7.6035,1.7,,2.7556
0,20240221,7.33,5.5872,0.95,,2.7295
0,20240222,8.06,0.9994,0.18,,3.0014
0,20240223,8.87,0.2867,0.06,,3.303
0,20240226,9.76,12.2173,3.12,,3.6344
0,20240227,9.92,15.1146,2.83,,3.694
0,20240228,8.93,11.5266,1.68,,3.3253
0,20240229,9.2,7.7395,0.96,,3.4259
0,20240301,9.09,5.9782,0.64,,3.3849
0,20240304,9.48,7.9482,0.76,,3.5301
0,20240305,9.36,6.5157,0.67,,3.4854
0,20240306,9.4,5.4879,0.69,,3.5003
0,20240307,9.17,5.2028,0.77,,3.4147
0,20240308,10.09,5.8164,0.93,,3.7573
0,20240311,10.2,14.6805,2.37,,3.7982
0,20240312,10.5,10.2059,1.35,,3.9099
0,20240313,10.26,7.168,0.87,,3.8206
0,20240314,10.13,5.7861,0.67,,3.7722
0,20240315,10.28,4.374,0.5,,3.828
0,20240318,10.33,4.8056,0.57,,3.8466
0,20240319,10.15,4.9722,0.77,,3.7819
0,20240320,10.27,4.0951,0.76,,3.8266
0,20240321,10.16,3.8906,0.81,,3.7856
0,20240322,10.27,5.0911,1.15,,3.8266
0,20240325,10.33,8.5101,1.86,,3.849
0,20240326,9.6,7.2492,1.36,,3.577
0,20240327,8.93,4.9861,0.86,,3.3273
0,20240328,9.44,5.5639,0.94,,3.5173
0,20240329,9.45,2.6313,0.42,,3.5211
0,20240401,9.7,4.1063,0.71,,3.6142
0,20240402,9.39,3.0521,0.62,,3.4987
0,20240403,9.14,2.2841,0.56,,3.4056
