,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.94,0.6734,1.17,,3.0338
0,20240103,5.95,0.4927,0.79,,3.0389
0,20240104,5.96,0.5016,0.8,,3.044
0,20240105,5.87,0.5983,0.98,,2.9981
0,20240108,5.79,0.4534,0.82,,2.9572
0,20240109,5.4,2.0291,3.73,,2.758
0,20240110,5.45,0.8535,1.05,,2.7835
0,20240111,5.36,0.9196,1.04,,2.7376
0,20240112,5.38,0.6887,0.71,,2.7478
0,20240115,5.31,0.6331,0.64,,2.712
0,20240116,5.24,0.7869,0.77,,2.6763
0,20240117,5.03,1.0236,1.32,,2.569
0,20240118,5.04,1.2495,1.54,,2.5741
0,20240119,4.91,0.7737,0.88,,2.5077
0,20240122,4.72,0.947,1.06,,2.4107
0,20240123,4.71,0.9706,1.02,,2.4056
0,20240124,4.89,0.8421,0.85,,2.4975
0,20240125,5.0,0.759,0.79,,2.5537
0,20240126,4.98,0.7337,0.85,,2.5435
0,20240129,5.06,1.3777,1.62,,2.5844
0,20240130,5.06,1.1472,1.22,,2.5844
0,20240131,4.88,1.0017,1.03,,2.4924
0,20240201,4.98,1.007,1.0,,2.5435
0,20240202,4.83,1.0413,0.99,,2.4669
0,20240205,4.6,1.4764,1.32,,2.3494
0,20240206,5.06,1.9373,1.71,,2.5844
0,20240207,5.32,2.1418,1.66,,2.7171
0,20240208,5.41,2.0959,1.38,,2.7631
0,20240219,5.49,1.4405,0.83,,2.804
0,20240220,5.46,0.6691,0.37,,2.7887
0,20240221,5.45,0.8847,0.53,,2.7835
0,20240222,5.43,0.8255,0.57,,2.7733
0,20240223,5.41,0.7913,0.67,,2.7631
0,20240226,5.44,0.9362,1.02,,2.7784
0,20240227,5.48,0.9889,1.2,,2.7989
0,20240228,5.4,1.4398,1.63,,2.758
0,20240229,5.58,1.181,1.19,,2.8499
0,20240301,5.63,0.8901,0.83,,2.8755
0,20240304,5.55,1.8298,1.68,,2.8346
0,20240305,5.41,1.2254,0.97,,2.7631
0,20240306,5.4,0.7498,0.57,,2.758
0,20240307,5.29,0.7547,0.64,,2.7018
0,20240308,5.3,0.491,0.45,,2.7069
0,20240311,5.4,0.7074,0.7,,2.758
0,20240312,5.54,0.9258,1.18,,2.8295
0,20240313,5.5,0.6449,0.89,,2.8091
0,20240314,5.44,0.6152,0.87,,2.7784
0,20240315,5.42,0.6243,0.92,,2.7682
0,20240318,5.48,0.7893,1.12,,2.7989
0,20240319,5.42,0.6988,0.97,,2.7682
0,20240320,5.55,1.1978,1.78,,2.8346
0,20240321,5.36,1.311,1.67,,2.7376
0,20240322,5.22,1.1033,1.19,,2.6661
0,20240325,5.11,1.1135,1.09,,2.6099
0,20240326,5.08,0.9327,0.86,,2.5946
0,20240327,4.98,0.9643,0.85,,2.5435
0,20240328,5.01,0.7628,0.7,,2.5588
0,20240329,5.04,0.4713,0.48,,2.5741
0,20240401,5.07,1.0456,1.23,,2.5895
0,20240402,4.97,1.0406,1.25,,2.5384
0,20240403,5.0,0.7826,0.91,,2.5537
