,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,54.56,0.3469,1.21,12.9684,2.4562
0,20240103,54.45,0.3002,0.93,12.9423,2.4513
0,20240104,55.25,0.3875,1.16,13.1324,2.4873
0,20240105,55.6,0.436,1.23,13.2156,2.503
0,20240108,55.0,0.4036,1.09,13.073,2.476
0,20240109,55.17,0.3136,0.84,13.1134,2.4837
0,20240110,55.22,0.2586,0.7,13.1253,2.4859
0,20240111,55.0,0.3082,0.86,13.073,2.476
0,20240112,55.0,0.3534,1.03,13.0775,2.4769
0,20240115,55.88,0.2774,0.85,13.2867,2.5165
0,20240116,56.92,0.4893,1.62,13.534,2.5633
0,20240117,56.37,0.3904,1.16,13.4032,2.5386
0,20240118,56.4,0.5661,1.56,13.4104,2.5399
0,20240119,56.14,0.4343,1.05,13.3485,2.5282
0,20240122,55.34,0.522,1.21,13.1583,2.4922
0,20240123,56.38,0.4185,0.87,13.4056,2.539
0,20240124,57.19,0.3839,0.82,13.5982,2.5755
0,20240125,56.35,0.3621,0.78,13.3985,2.5377
0,20240126,57.51,0.475,1.12,13.6743,2.5899
0,20240129,58.69,0.544,1.26,13.9549,2.6431
0,20240130,58.22,0.397,0.91,13.8471,2.6226
0,20240131,58.25,0.3705,0.86,13.8543,2.624
0,20240201,58.81,0.44,1.02,13.9874,2.6492
0,20240202,58.25,0.4199,0.94,13.8543,2.624
0,20240205,59.45,0.6694,1.54,14.1397,2.6781
0,20240206,59.95,0.5503,1.2,14.2586,2.7006
0,20240207,61.11,0.67,1.37,14.5345,2.7528
0,20240208,60.29,0.5036,0.92,14.3394,2.7159
0,20240219,60.6,0.5228,0.92,14.2752,2.7037
0,20240220,61.7,0.434,0.74,14.5343,2.7528
0,20240221,61.71,0.4071,0.75,14.5367,2.7532
0,20240222,61.35,0.2821,0.55,14.4519,2.7372
0,20240223,59.62,0.6311,1.46,14.0443,2.66
0,20240226,60.3,0.4994,1.1,14.2045,2.6903
0,20240227,61.92,0.4103,0.91,14.5861,2.7626
0,20240228,61.82,0.3715,0.83,14.5626,2.7582
0,20240229,62.63,0.7165,1.63,14.7534,2.7943
0,20240301,64.47,0.481,0.91,15.1868,2.8764
0,20240304,64.6,0.5475,1.1,15.2174,2.8822
0,20240305,65.04,0.5203,1.03,15.3211,2.9018
0,20240306,64.51,0.3211,0.61,15.1962,2.8782
0,20240307,65.8,0.4486,0.87,15.5001,2.9357
0,20240308,66.1,0.3822,0.83,15.589,2.9526
0,20240311,65.42,0.41,0.92,15.4286,2.9222
0,20240312,64.13,0.7422,1.78,15.1244,2.8646
0,20240313,64.07,0.4787,1.04,15.1102,2.8619
0,20240314,64.5,0.4612,0.94,15.2116,2.8811
0,20240315,64.02,0.3725,0.75,15.0984,2.8596
0,20240318,62.36,0.6217,1.26,14.7069,2.7855
0,20240319,62.6,0.4358,0.81,14.7635,2.7962
0,20240320,61.88,0.5528,1.17,14.5937,2.7641
0,20240321,60.55,0.5732,1.17,14.2801,2.7046
0,20240322,62.62,0.6313,1.23,14.7682,2.7971
0,20240325,62.9,0.3935,0.7,14.8343,2.8096
0,20240326,62.72,0.3709,0.72,14.7899,2.8016
0,20240327,63.67,0.5097,1.01,15.0139,2.844
0,20240328,64.58,0.661,1.33,13.3468,2.7635
0,20240329,64.22,0.3726,0.73,13.2724,2.7481
0,20240401,66.22,0.4794,1.04,13.6858,2.8337
0,20240402,66.25,0.3314,0.69,13.692,2.835
0,20240403,66.73,0.3017,0.64,13.7912,2.8555
