,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.62,1.4794,1.19,,2.244
0,20240103,5.61,1.0513,0.84,,2.24
0,20240104,5.63,0.8698,0.69,,2.248
0,20240105,5.53,0.9252,0.75,,2.2081
0,20240108,5.45,0.8178,0.71,,2.1762
0,20240109,5.49,1.002,0.97,,2.1921
0,20240110,5.45,0.8018,0.86,,2.1762
0,20240111,5.51,0.7977,0.9,,2.2001
0,20240112,5.48,0.8766,1.01,,2.1881
0,20240115,5.46,1.5894,1.85,,2.1801
0,20240116,5.42,1.2796,1.26,,2.1642
0,20240117,5.32,1.0482,0.98,,2.1242
0,20240118,5.26,1.5635,1.4,,2.1003
0,20240119,5.19,1.0442,0.82,,2.0723
0,20240122,4.98,1.3047,1.0,,1.9885
0,20240123,4.96,1.5308,1.23,,1.9805
0,20240124,5.0,1.4516,1.12,,1.9965
0,20240125,5.02,1.1279,0.82,,2.0045
0,20240126,5.22,2.399,1.86,,2.0843
0,20240129,5.03,1.4162,0.91,,1.8087
0,20240130,4.9,1.1724,0.74,,1.762
0,20240131,4.67,1.5479,1.02,,1.6793
0,20240201,4.56,1.482,0.97,,1.6397
0,20240202,4.34,1.6839,1.05,,1.5606
0,20240205,4.08,2.2808,1.56,,1.4671
0,20240206,4.15,2.1459,1.31,,1.4923
0,20240207,3.95,2.7012,1.48,,1.4204
0,20240208,4.15,2.5818,1.25,,1.4923
0,20240219,4.26,1.5866,0.7,,1.5319
0,20240220,4.21,1.1598,0.51,,1.5139
0,20240221,4.26,1.5328,0.75,,1.5319
0,20240222,4.31,1.4168,0.74,,1.5498
0,20240223,4.37,1.1258,0.68,,1.5714
0,20240226,4.55,1.7451,1.28,,1.6361
0,20240227,4.58,1.1204,0.8,,1.6469
0,20240228,4.31,2.3527,1.69,,1.5498
0,20240229,4.41,1.4516,0.94,,1.5858
0,20240301,4.36,0.8973,0.58,,1.5678
0,20240304,4.29,1.4049,0.93,,1.5426
0,20240305,4.2,0.927,0.64,,1.5103
0,20240306,4.28,0.8398,0.6,,1.5391
0,20240307,4.26,0.8728,0.79,,1.5319
0,20240308,4.26,0.4535,0.46,,1.5319
0,20240311,4.69,2.0251,2.25,,1.6865
0,20240312,4.6,3.7763,3.69,,1.6541
0,20240313,4.53,1.7552,1.1,,1.6289
0,20240314,4.55,1.5489,0.87,,1.6361
0,20240315,4.57,0.9765,0.51,,1.6433
0,20240318,4.68,2.0872,1.04,,1.6829
0,20240319,4.62,1.2091,0.6,,1.6613
0,20240320,4.64,0.8652,0.57,,1.6685
0,20240321,4.63,1.0091,0.75,,1.6649
0,20240322,4.65,1.2568,1.02,,1.6721
0,20240325,4.64,1.6382,1.27,,1.6685
0,20240326,4.68,1.2325,1.03,,1.6829
0,20240327,4.71,2.2341,1.86,,1.6937
0,20240328,4.87,3.5408,2.4,,1.7512
0,20240329,4.9,3.297,1.66,,1.822
0,20240401,4.92,2.9429,1.23,,1.8294
0,20240402,4.83,2.2965,0.87,,1.796
0,20240403,4.78,1.1615,0.41,,1.7774
