,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,1.68,1.6565,0.47,,15.0587
0,20240103,1.69,1.5391,0.44,,15.1483
0,20240104,1.67,1.7221,0.53,,14.969
0,20240105,1.65,1.4389,0.63,,14.7898
0,20240108,1.73,5.1809,3.14,,15.5068
0,20240109,1.78,5.2187,2.26,,15.955
0,20240110,1.76,4.5099,1.49,,15.7757
0,20240111,1.85,7.0419,1.95,,16.5824
0,20240112,1.79,4.316,0.92,,16.0446
0,20240115,1.8,3.9417,0.75,,16.1343
0,20240116,1.77,3.5833,0.72,,15.8654
0,20240117,1.72,2.7067,0.58,,15.4172
0,20240118,1.73,2.5746,0.6,,15.5068
0,20240119,1.74,2.4294,0.71,,15.5965
0,20240122,1.67,2.818,0.92,,14.969
0,20240123,1.67,1.6525,0.59,,14.969
0,20240124,1.77,5.5834,2.29,,15.8654
0,20240125,1.87,8.0923,2.69,,16.7617
0,20240126,1.85,6.4098,1.56,,16.5824
0,20240129,1.84,6.5804,1.34,,16.4928
0,20240130,1.7,6.4488,1.14,,15.2379
0,20240131,1.87,5.6861,0.86,,16.7617
0,20240201,1.85,6.5927,0.99,,16.5824
0,20240202,1.77,6.4252,1.01,,15.8654
0,20240205,1.59,6.5412,1.03,,14.2519
0,20240206,1.58,4.0886,0.65,,14.1623
0,20240207,1.53,3.0459,0.52,,13.7141
0,20240208,1.6,2.7106,0.51,,14.3416
0,20240219,1.63,2.7831,0.61,,14.6105
0,20240220,1.63,2.1771,0.57,,14.6105
0,20240221,1.66,3.4162,1.15,,14.8794
0,20240222,1.66,2.4346,0.86,,14.8794
0,20240223,1.67,3.2799,1.21,,14.969
0,20240226,1.72,4.408,1.56,,15.4172
0,20240227,1.74,3.4534,1.1,,15.5965
0,20240228,1.66,5.2823,1.55,,14.8794
0,20240229,1.68,3.3929,0.9,,15.0587
0,20240301,1.67,2.2623,0.57,,14.969
0,20240304,1.68,3.1324,0.83,,15.0587
0,20240305,1.65,1.8411,0.53,,14.7898
0,20240306,1.66,1.7851,0.56,,14.8794
0,20240307,1.66,2.6882,1.08,,14.8794
0,20240308,1.65,1.8172,0.78,,14.7898
0,20240311,1.66,1.7426,0.77,,14.8794
0,20240312,1.72,4.7305,2.4,,15.4172
0,20240313,1.68,2.8621,1.12,,15.0587
0,20240314,1.69,2.4398,0.88,,15.1483
0,20240315,1.7,2.11,0.78,,15.2379
0,20240318,1.7,2.0222,0.73,,15.2379
0,20240319,1.69,1.833,0.65,,15.1483
0,20240320,1.69,1.5602,0.69,,15.1483
0,20240321,1.68,2.1066,1.06,,15.0587
0,20240322,1.64,2.286,1.19,,14.7001
0,20240325,1.64,1.4334,0.73,,14.7001
0,20240326,1.65,1.2655,0.69,,14.7898
0,20240327,1.63,1.5658,0.9,,14.6105
0,20240328,1.64,1.1845,0.68,,14.7001
0,20240329,1.64,0.937,0.61,,14.7001
0,20240401,1.66,1.5769,1.23,,14.8794
0,20240402,1.66,1.523,1.17,,14.8794
0,20240403,1.66,1.0403,0.77,,14.8794
