,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,54.89,22.2353,1.04,29.9245,3.3463
0,20240103,54.0,16.4494,0.68,29.4393,3.2921
0,20240104,53.5,9.3721,0.36,29.1667,3.2616
0,20240105,55.04,17.8198,0.74,30.0063,3.3555
0,20240108,53.16,9.264,0.48,28.9814,3.2408
0,20240109,52.55,8.4156,0.56,28.6488,3.2037
0,20240110,53.42,8.0644,0.66,29.1231,3.2567
0,20240111,53.7,9.2953,0.88,29.2757,3.2738
0,20240112,53.29,9.4321,0.89,29.0522,3.2488
0,20240115,52.86,5.2148,0.59,28.8178,3.2226
0,20240116,52.55,6.6338,0.82,28.6488,3.2037
0,20240117,53.09,11.0758,1.43,28.9432,3.2366
0,20240118,51.48,10.109,1.21,28.0655,3.1384
0,20240119,48.89,9.471,1.12,26.6535,2.9805
0,20240122,45.66,7.3054,0.86,24.8926,2.7836
0,20240123,44.27,5.7815,0.65,24.1348,2.6989
0,20240124,43.45,8.6836,0.99,23.6877,2.6489
0,20240125,44.95,6.1426,0.74,24.5055,2.7403
0,20240126,44.5,3.8645,0.52,24.2602,2.7129
0,20240129,44.37,7.7595,1.22,24.1893,2.705
0,20240130,41.6,5.263,0.82,22.6792,2.5361
0,20240131,39.72,4.601,0.73,21.6542,2.4215
0,20240201,39.4,4.173,0.76,21.4798,2.402
0,20240202,36.4,9.0998,1.77,19.8443,2.2191
0,20240205,32.76,6.4415,1.04,17.8598,1.9972
0,20240206,32.79,11.5597,1.95,17.8762,1.999
0,20240207,30.55,10.8612,1.51,16.655,1.8624
0,20240208,33.57,15.6162,1.85,18.3014,2.0466
0,20240219,36.4,14.6501,1.37,19.8443,2.2191
0,20240220,37.3,8.4827,0.72,20.3349,2.274
0,20240221,37.65,8.6997,0.71,20.5257,2.2953
0,20240222,37.82,5.57,0.48,20.6184,2.3057
0,20240223,38.35,7.8954,0.74,20.9074,2.338
0,20240226,38.85,7.6025,0.84,21.1799,2.3684
0,20240227,40.37,7.7678,1.02,22.0086,2.4611
0,20240228,37.86,15.9488,2.12,20.6402,2.3081
0,20240229,38.85,8.5167,0.95,21.1799,2.3684
0,20240301,39.0,6.2256,0.65,21.2617,2.3776
0,20240304,38.55,7.0545,0.77,21.0164,2.3502
0,20240305,37.3,7.7186,0.85,20.3349,2.274
0,20240306,39.23,9.2925,1.02,21.3871,2.3916
0,20240307,38.54,7.945,1.02,21.0109,2.3496
0,20240308,38.4,5.136,0.67,20.9346,2.341
0,20240311,38.78,4.6525,0.63,21.1418,2.3642
0,20240312,39.34,5.8628,0.84,21.4471,2.3983
0,20240313,39.11,5.1238,0.78,21.3217,2.3843
0,20240314,39.11,6.9194,1.2,21.3217,2.3843
0,20240315,39.14,6.4883,1.17,21.338,2.3861
0,20240318,39.8,8.9098,1.53,21.6979,2.4264
0,20240319,40.13,9.8119,1.47,21.8778,2.4465
0,20240320,40.05,8.1206,1.09,21.8341,2.4416
0,20240321,39.66,7.8843,0.98,21.6215,2.4178
0,20240322,38.26,6.8225,0.83,20.8583,2.3325
0,20240325,36.39,6.699,0.81,19.8388,2.2185
0,20240326,36.03,6.3477,0.81,19.6426,2.1965
0,20240327,34.7,5.2861,0.74,18.9175,2.1154
0,20240328,35.47,5.8523,0.89,19.3373,2.1624
0,20240329,36.28,5.8219,0.94,19.7788,2.2118
0,20240401,37.68,7.0996,1.18,20.5421,2.2971
0,20240402,38.15,8.417,1.38,20.7983,2.3258
0,20240403,37.32,6.3039,0.97,20.3458,2.2752
