,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.81,6.5729,0.61,17.387,2.0018
0,20240103,17.92,5.9651,0.6,17.4944,2.0141
0,20240104,17.77,5.132,0.62,17.348,1.9973
0,20240105,17.6,5.6302,0.81,17.182,1.9782
0,20240108,17.16,4.0772,0.69,16.7525,1.9287
0,20240109,17.53,4.3731,0.8,17.1137,1.9703
0,20240110,17.3,4.3623,0.87,16.8892,1.9445
0,20240111,17.56,4.3654,0.93,17.143,1.9737
0,20240112,17.38,3.7235,0.82,16.9673,1.9534
0,20240115,17.51,4.7767,1.14,17.0942,1.9681
0,20240116,17.22,4.1679,0.96,16.8111,1.9355
0,20240117,16.86,2.8628,0.67,16.4596,1.895
0,20240118,16.61,3.6066,0.91,16.2155,1.8669
0,20240119,16.45,2.1558,0.56,16.0593,1.8489
0,20240122,15.4,3.9008,1.11,15.0343,1.7309
0,20240123,15.22,3.3186,0.99,14.8586,1.7107
0,20240124,15.42,3.6367,1.15,15.0538,1.7332
0,20240125,16.09,3.9182,1.18,15.7079,1.8085
0,20240126,16.33,4.3531,1.29,15.9422,1.8354
0,20240129,15.55,4.4909,1.17,15.1807,1.7478
0,20240130,14.94,3.2192,0.82,14.5852,1.6792
0,20240131,14.96,8.4266,2.15,14.6047,1.6814
0,20240201,13.83,9.0362,1.85,13.5016,1.5544
0,20240202,13.0,6.2035,1.05,12.6913,1.4612
0,20240205,11.7,5.4694,0.87,11.4221,1.315
0,20240206,10.79,8.711,1.35,10.5338,1.2128
0,20240207,9.71,9.5275,1.26,9.4794,1.0914
0,20240208,10.4,15.8447,2.03,10.153,1.1689
0,20240219,10.68,10.7575,1.18,10.4264,1.2004
0,20240220,11.05,7.321,0.73,10.7876,1.242
0,20240221,11.26,8.0337,0.77,10.9926,1.2656
0,20240222,11.78,6.71,0.65,11.5002,1.324
0,20240223,12.26,8.2787,0.85,11.9688,1.378
0,20240226,12.64,8.092,0.98,12.3398,1.4207
0,20240227,13.06,6.2957,0.82,12.7498,1.4679
0,20240228,11.75,12.3897,1.66,11.471,1.3207
0,20240229,12.18,8.5983,1.03,11.8907,1.369
0,20240301,12.27,7.146,0.82,11.9786,1.3791
0,20240304,12.1,4.8268,0.57,11.8126,1.36
0,20240305,11.73,4.8909,0.62,11.4514,1.3184
0,20240306,12.36,10.2906,1.36,12.0665,1.3892
0,20240307,12.16,8.2752,1.16,11.8712,1.3667
0,20240308,12.06,4.8375,0.68,11.7736,1.3555
0,20240311,12.5,6.7984,1.03,12.2031,1.405
0,20240312,12.63,5.5593,0.79,12.3301,1.4196
0,20240313,12.79,5.5048,0.77,12.4863,1.4375
0,20240314,12.63,4.8612,0.78,12.3301,1.4196
0,20240315,12.84,4.9919,0.91,12.5351,1.4432
0,20240318,13.1,4.7108,0.85,12.7889,1.4724
0,20240319,13.17,4.9028,0.96,12.8572,1.4803
0,20240320,13.39,4.3108,0.86,13.072,1.505
0,20240321,13.34,5.5187,1.16,13.0232,1.4994
0,20240322,12.9,4.2727,0.87,12.5936,1.4499
0,20240325,12.72,6.6616,1.4,12.4179,1.4297
0,20240326,12.77,4.6665,0.91,12.4667,1.4353
0,20240327,12.27,4.0248,0.79,11.9786,1.3791
0,20240328,12.63,3.7233,0.74,12.3301,1.4196
0,20240329,12.87,3.6746,0.79,12.5644,1.4465
0,20240401,13.11,3.6416,0.8,12.7987,1.4735
0,20240402,13.9,20.868,5.29,13.5699,1.5623
0,20240403,14.96,28.4659,3.96,14.6047,1.6814
