,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.49,6.048,0.48,37.7354,2.2945
0,20240103,9.02,8.4006,0.82,35.8665,2.1808
0,20240104,8.93,3.8554,0.44,35.5086,2.1591
0,20240105,8.7,4.0571,0.57,34.5941,2.1035
0,20240108,8.73,2.915,0.5,34.7134,2.1107
0,20240109,8.66,3.3239,0.66,34.435,2.0938
0,20240110,8.54,2.5612,0.57,33.9579,2.0648
0,20240111,8.79,3.0161,0.9,34.952,2.1252
0,20240112,8.61,2.3642,0.74,34.2362,2.0817
0,20240115,8.65,2.2431,0.79,34.3953,2.0914
0,20240116,8.59,2.9214,1.08,34.1567,2.0769
0,20240117,8.37,2.292,0.87,33.2819,2.0237
0,20240118,8.29,2.8712,1.12,32.9638,2.0044
0,20240119,8.15,1.8855,0.74,32.4071,1.9705
0,20240122,7.71,2.9484,1.21,30.6575,1.8641
0,20240123,7.87,3.5733,1.38,31.2937,1.9028
0,20240124,7.9,2.8722,1.06,31.413,1.9101
0,20240125,8.13,3.2724,1.16,32.3276,1.9657
0,20240126,8.01,2.6239,0.9,31.8504,1.9367
0,20240129,7.76,2.3638,0.77,30.8563,1.8762
0,20240130,7.57,1.9669,0.67,30.1008,1.8303
0,20240131,7.14,2.73,1.04,28.391,1.7263
0,20240201,7.15,2.3088,0.89,28.4308,1.7287
0,20240202,6.76,3.1537,1.31,26.88,1.6344
0,20240205,6.08,4.1172,1.64,24.1761,1.47
0,20240206,6.27,4.6361,1.62,24.9316,1.516
0,20240207,6.23,4.9954,1.47,24.7726,1.5063
0,20240208,6.85,6.0443,1.57,27.2379,1.6562
0,20240219,7.0,5.2707,1.15,27.8343,1.6925
0,20240220,7.03,2.8259,0.56,27.9536,1.6997
0,20240221,7.15,5.6542,1.19,28.4308,1.7287
0,20240222,7.26,4.5898,0.93,28.8682,1.7553
0,20240223,7.52,4.7714,0.98,29.902,1.8182
0,20240226,7.68,5.2714,1.14,30.5382,1.8569
0,20240227,8.06,5.1683,1.12,32.0492,1.9487
0,20240228,7.4,6.4945,1.28,29.4249,1.7892
0,20240229,7.99,6.507,1.24,31.7709,1.9318
0,20240301,8.03,6.2883,1.11,31.9299,1.9415
0,20240304,7.96,4.2541,0.72,31.6516,1.9246
0,20240305,7.81,3.2956,0.57,31.0552,1.8883
0,20240306,7.9,2.688,0.5,31.413,1.9101
0,20240307,7.73,2.8011,0.61,30.737,1.869
0,20240308,7.81,1.9717,0.51,31.0552,1.8883
0,20240311,7.96,2.2106,0.74,31.6516,1.9246
0,20240312,8.1,2.9843,1.15,32.2083,1.9584
0,20240313,8.17,3.0384,1.2,32.4866,1.9753
0,20240314,8.18,2.9316,1.13,32.5264,1.9778
0,20240315,8.37,4.0182,1.53,33.2819,2.0237
0,20240318,8.71,6.8823,2.27,34.6339,2.1059
0,20240319,8.66,8.3889,2.11,34.435,2.0938
0,20240320,8.52,4.5484,0.9,33.8784,2.06
0,20240321,8.51,3.8288,0.72,33.8386,2.0575
0,20240322,8.4,3.1393,0.57,33.4012,2.0309
0,20240325,8.16,2.6173,0.49,32.4469,1.9729
0,20240326,8.32,2.693,0.6,33.0831,2.0116
0,20240327,7.85,2.6484,0.79,31.2142,1.898
0,20240328,8.06,2.4971,0.84,32.0492,1.9487
0,20240329,8.16,2.0587,0.76,32.4469,1.9729
0,20240401,8.34,2.0806,0.83,33.1626,2.0164
0,20240402,8.24,1.8095,0.76,32.765,1.9923
0,20240403,7.98,2.5633,1.16,31.7311,1.9294
