,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.01,0.372,0.89,37.6539,3.3168
0,20240103,9.96,0.3385,0.83,37.4659,3.3003
0,20240104,10.1,0.8033,1.98,37.9925,3.3467
0,20240105,9.84,0.6419,1.27,37.0145,3.2605
0,20240108,9.74,0.4498,0.84,36.6383,3.2274
0,20240109,9.84,0.5123,0.98,37.0145,3.2605
0,20240110,9.69,0.72,1.31,36.4502,3.2108
0,20240111,9.86,0.4996,0.8,37.0897,3.2671
0,20240112,9.61,0.4963,0.88,36.1493,3.1843
0,20240115,9.73,0.417,0.78,36.6007,3.2241
0,20240116,9.52,0.4601,0.87,35.8107,3.1545
0,20240117,9.52,1.5419,2.97,35.8107,3.1545
0,20240118,10.47,5.0192,7.35,39.3843,3.4693
0,20240119,10.12,5.9305,3.74,38.0677,3.3533
0,20240122,9.11,3.6952,1.38,34.2685,3.0186
0,20240123,8.96,2.7618,0.83,33.7042,2.9689
0,20240124,9.2,1.7325,0.46,34.607,3.0484
0,20240125,9.16,1.4794,0.39,34.4566,3.0352
0,20240126,8.86,1.0285,0.33,33.3281,2.9358
0,20240129,8.51,0.996,0.47,32.0115,2.8198
0,20240130,8.29,0.8519,0.53,31.1839,2.7469
0,20240131,7.81,1.0323,0.85,29.3784,2.5879
0,20240201,7.65,0.8859,0.82,28.7765,2.5348
0,20240202,7.26,1.1184,1.17,27.3095,2.4056
0,20240205,6.53,1.6452,1.68,24.5635,2.1637
0,20240206,6.52,1.6306,1.47,24.5258,2.1604
0,20240207,6.13,2.0854,1.65,23.0588,2.0312
0,20240208,6.74,2.0231,1.37,25.3534,2.2333
0,20240219,7.12,1.9148,1.13,26.7828,2.3592
0,20240220,7.46,1.3759,0.74,28.0618,2.4719
0,20240221,7.63,1.6694,0.92,28.7013,2.5282
0,20240222,7.88,1.3839,0.76,29.6417,2.6111
0,20240223,7.97,1.0853,0.65,29.9802,2.6409
0,20240226,8.0,0.9932,0.67,30.0931,2.6508
0,20240227,8.2,0.8004,0.61,30.8454,2.7171
0,20240228,7.64,1.3071,1.1,28.7389,2.5315
0,20240229,7.78,1.0109,0.91,29.2655,2.5779
0,20240301,7.86,0.8014,0.77,29.5664,2.6044
0,20240304,7.91,0.821,0.84,29.7545,2.621
0,20240305,8.05,1.3405,1.41,30.2811,2.6674
0,20240306,7.92,1.1215,1.06,29.7921,2.6243
0,20240307,8.0,1.1033,1.08,30.0931,2.6508
0,20240308,7.91,0.4923,0.47,29.7545,2.621
0,20240311,8.07,0.6876,0.7,30.3564,2.674
0,20240312,8.37,1.0189,1.07,31.4849,2.7734
0,20240313,8.38,0.885,1.0,31.5225,2.7767
0,20240314,8.52,1.1068,1.32,32.0491,2.8231
0,20240315,9.11,3.6787,4.39,29.0789,2.8486
0,20240318,9.7,2.7075,1.84,30.9621,3.0331
0,20240319,9.49,1.5493,0.82,30.2918,2.9674
0,20240320,9.75,1.2496,0.63,31.1217,3.0487
0,20240321,9.68,1.0326,0.5,30.8983,3.0269
0,20240322,9.71,1.0587,0.52,30.994,3.0362
0,20240325,9.61,0.898,0.59,30.6748,3.005
0,20240326,9.85,0.9254,0.8,31.4409,3.08
0,20240327,9.65,0.8589,0.83,30.8025,3.0175
0,20240328,9.56,0.905,0.95,30.5152,2.9893
0,20240329,9.76,0.7297,0.79,31.1536,3.0519
0,20240401,10.23,1.4067,1.63,32.6539,3.1988
0,20240402,10.31,1.3454,1.39,32.9092,3.2238
0,20240403,10.41,1.0371,0.99,33.2284,3.2551
