,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,19.32,1.6766,1.39,136.8494,4.0184
0,20240103,19.14,1.0423,0.83,135.5744,3.981
0,20240104,19.02,0.72,0.59,134.7244,3.956
0,20240105,18.52,1.1215,0.92,131.1828,3.852
0,20240108,17.91,1.1428,0.97,126.8619,3.7251
0,20240109,17.87,0.8903,0.78,126.5786,3.7168
0,20240110,17.57,0.9495,0.97,124.4536,3.6544
0,20240111,17.81,0.8338,0.86,126.1536,3.7043
0,20240112,17.9,1.008,1.02,126.7911,3.7231
0,20240115,17.16,1.9417,2.01,121.5495,3.5691
0,20240116,17.18,1.3158,1.17,121.6911,3.5733
0,20240117,16.81,0.8711,0.72,119.0703,3.4963
0,20240118,16.59,2.1788,1.82,117.512,3.4506
0,20240119,16.42,1.2389,0.85,116.3078,3.4152
0,20240122,15.47,1.6262,1.08,109.5787,3.2176
0,20240123,15.63,1.1619,0.8,110.712,3.2509
0,20240124,16.0,1.3027,0.92,113.3328,3.3279
0,20240125,16.9,2.0992,1.4,119.7078,3.5151
0,20240126,16.77,1.1499,0.77,118.787,3.488
0,20240129,16.45,1.1907,0.81,116.5203,3.4215
0,20240130,16.05,1.0461,0.76,113.687,3.3383
0,20240131,15.1,1.613,1.19,106.9579,3.1407
0,20240201,14.96,1.4322,1.01,105.9662,3.1116
0,20240202,14.23,1.8905,1.47,100.7954,2.9597
0,20240205,13.42,2.4413,1.7,95.0579,2.7913
0,20240206,14.54,2.1437,1.27,102.9912,3.0242
0,20240207,15.17,2.1393,1.12,107.4537,3.1552
0,20240208,15.92,2.4412,1.21,112.7662,3.3112
0,20240219,15.84,1.78,0.8,112.1995,3.2946
0,20240220,15.81,1.1612,0.53,111.987,3.2884
0,20240221,15.86,1.4269,0.74,112.3412,3.2988
0,20240222,16.04,1.1578,0.65,113.6162,3.3362
0,20240223,16.27,1.5455,0.97,115.2453,3.384
0,20240226,16.45,1.7453,1.23,116.5203,3.4215
0,20240227,16.85,1.3319,0.95,119.3536,3.5047
0,20240228,16.01,2.2452,1.56,113.4037,3.33
0,20240229,16.56,1.6413,1.02,117.2995,3.4444
0,20240301,16.84,1.2919,0.76,119.2828,3.5026
0,20240304,16.75,1.1944,0.72,118.6453,3.4839
0,20240305,16.91,2.1262,1.38,119.7786,3.5171
0,20240306,16.9,1.2482,0.73,119.7078,3.5151
0,20240307,16.69,1.1942,0.8,118.2203,3.4714
0,20240308,16.79,0.9187,0.65,118.9286,3.4922
0,20240311,17.1,1.3953,1.04,121.1245,3.5567
0,20240312,17.43,1.6919,1.23,123.462,3.6253
0,20240313,17.68,2.2473,1.74,125.2328,3.6773
0,20240314,17.32,1.585,1.06,122.6828,3.6024
0,20240315,17.51,1.0479,0.67,124.0286,3.6419
0,20240318,17.78,1.8711,1.17,125.9411,3.6981
0,20240319,17.68,1.5077,0.89,125.2328,3.6773
0,20240320,17.76,1.0358,0.63,125.7994,3.6939
0,20240321,17.98,1.6877,1.2,127.3578,3.7397
0,20240322,17.65,1.324,0.93,125.0203,3.6711
0,20240325,17.15,1.3429,0.9,121.4786,3.5671
0,20240326,17.13,1.166,0.85,121.337,3.5629
0,20240327,16.44,1.1558,0.88,116.4495,3.4194
0,20240328,17.29,1.7156,1.28,122.4703,3.5962
0,20240329,17.51,1.3235,0.99,124.0286,3.6419
0,20240401,17.1,2.9352,2.19,117.2265,3.5384
0,20240402,16.83,1.8904,1.14,115.3756,3.4826
0,20240403,16.52,1.4909,0.83,113.2504,3.4184
