,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.05,4.7296,5.29,85.803,2.8696
0,20240103,14.71,7.2429,4.32,83.8646,2.8048
0,20240104,14.98,6.1645,2.07,85.4039,2.8563
0,20240105,14.14,4.1923,1.03,80.6149,2.6961
0,20240108,13.59,2.1847,0.46,77.4792,2.5912
0,20240109,13.65,1.9673,0.4,77.8213,2.6027
0,20240110,13.2,1.7624,0.41,75.2558,2.5169
0,20240111,13.45,1.2672,0.39,76.6811,2.5646
0,20240112,13.48,1.2932,0.57,76.8521,2.5703
0,20240115,13.01,1.8485,1.09,74.1725,2.4807
0,20240116,12.78,1.669,1.03,72.8613,2.4368
0,20240117,12.23,1.1794,0.75,69.7256,2.3319
0,20240118,12.09,1.6002,1.1,68.9274,2.3052
0,20240119,12.03,0.8558,0.56,68.5854,2.2938
0,20240122,11.04,1.6119,1.13,62.9412,2.105
0,20240123,11.21,1.1265,0.81,63.9104,2.1374
0,20240124,11.55,1.3001,1.02,65.8488,2.2023
0,20240125,12.36,3.0949,2.38,70.4668,2.3567
0,20240126,12.64,3.0862,1.93,72.0631,2.4101
0,20240129,12.18,1.6597,0.81,69.4405,2.3224
0,20240130,11.76,1.4743,0.72,67.046,2.2423
0,20240131,11.1,1.685,0.79,63.2833,2.1165
0,20240201,10.91,1.5591,0.71,62.2,2.0802
0,20240202,10.47,1.5837,0.84,59.6915,1.9963
0,20240205,9.42,2.2245,1.4,53.7052,1.7961
0,20240206,9.69,2.0891,1.23,55.2446,1.8476
0,20240207,9.99,1.652,0.9,56.9549,1.9048
0,20240208,10.68,1.6979,0.93,60.8888,2.0364
0,20240219,10.74,1.6688,0.9,61.2308,2.0478
0,20240220,10.78,1.1532,0.62,61.4589,2.0555
0,20240221,10.84,1.6515,1.0,61.8009,2.0669
0,20240222,11.18,1.3775,0.88,63.7393,2.1317
0,20240223,11.45,1.6038,1.06,65.2787,2.1832
0,20240226,11.49,1.5394,1.03,65.5067,2.1908
0,20240227,11.77,1.4017,0.96,67.1031,2.2442
0,20240228,10.99,2.2261,1.47,62.6561,2.0955
0,20240229,11.68,2.2112,1.36,66.5899,2.2271
0,20240301,12.05,2.6826,1.49,68.6994,2.2976
0,20240304,11.88,1.7131,0.85,67.7302,2.2652
0,20240305,11.77,1.9111,0.93,67.1031,2.2442
0,20240306,11.94,1.4381,0.67,68.0723,2.2766
0,20240307,11.66,1.4616,0.73,66.4759,2.2232
0,20240308,11.67,0.9471,0.51,66.5329,2.2252
0,20240311,11.83,1.1656,0.78,67.4451,2.2557
0,20240312,12.12,1.713,1.24,69.0985,2.311
0,20240313,12.23,1.7289,1.29,69.7256,2.3319
0,20240314,12.08,1.2541,0.89,68.8704,2.3033
0,20240315,12.29,0.9689,0.71,70.0677,2.3434
0,20240318,12.52,1.4048,1.03,71.3789,2.3872
0,20240319,12.48,1.2819,0.91,71.1509,2.3796
0,20240320,12.62,1.1628,0.88,71.9491,2.4063
0,20240321,12.9,1.9195,1.58,73.5454,2.4597
0,20240322,13.05,2.0433,1.52,74.4006,2.4883
0,20240325,12.37,1.9216,1.23,70.5238,2.3586
0,20240326,12.21,1.3229,0.79,69.5696,2.3287
0,20240327,11.8,1.0642,0.64,67.2336,2.2505
0,20240328,12.19,1.3201,0.8,69.4557,2.3249
0,20240329,12.7,1.6872,1.1,72.3615,2.4222
0,20240401,12.7,1.0776,0.74,72.3615,2.4222
0,20240402,12.85,1.042,0.8,73.2162,2.4508
0,20240403,12.64,0.828,0.67,72.0197,2.4107
