,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.71,0.9179,1.2,,1.7878
0,20240103,6.67,0.5732,0.68,,1.7771
0,20240104,6.67,0.4606,0.54,,1.7771
0,20240105,6.45,0.8034,0.95,,1.7185
0,20240108,6.2,0.6463,0.89,,1.6519
0,20240109,6.29,0.6986,1.03,,1.6759
0,20240110,6.28,0.6767,1.06,,1.6732
0,20240111,6.38,0.5715,0.87,,1.6999
0,20240112,6.38,0.6611,0.97,,1.6999
0,20240115,6.32,0.7334,1.13,,1.6839
0,20240116,6.36,0.7207,1.08,,1.6945
0,20240117,6.14,0.5141,0.76,,1.6359
0,20240118,5.98,1.4144,2.21,,1.5933
0,20240119,5.85,0.755,0.93,,1.5587
0,20240122,5.27,1.8159,2.19,,1.4041
0,20240123,5.59,1.9836,1.9,,1.4894
0,20240124,5.71,1.4785,1.14,,1.5214
0,20240125,6.01,1.2671,0.85,,1.6013
0,20240126,5.98,0.811,0.56,,1.5933
0,20240129,5.82,0.8626,0.59,,1.5507
0,20240130,5.64,0.8618,0.67,,1.5027
0,20240131,5.16,1.6384,1.55,,1.3748
0,20240201,5.12,2.2111,2.03,,1.3642
0,20240202,4.77,2.4079,1.89,,1.2709
0,20240205,4.29,2.1243,1.33,,1.143
0,20240206,4.24,2.737,1.48,,1.1297
0,20240207,4.63,3.2873,1.48,,1.2336
0,20240208,4.78,3.0165,1.18,,1.2736
0,20240219,4.85,1.7225,0.63,,1.2922
0,20240220,4.9,1.2949,0.5,,1.3055
0,20240221,5.01,1.5191,0.63,,1.3348
0,20240222,5.15,1.1705,0.54,,1.3721
0,20240223,5.33,1.3523,0.78,,1.4201
0,20240226,5.36,1.4813,1.05,,1.4281
0,20240227,5.65,1.4263,1.05,,1.5054
0,20240228,5.28,2.1753,1.57,,1.4068
0,20240229,5.47,1.3249,0.87,,1.4574
0,20240301,5.5,1.2315,0.79,,1.4654
0,20240304,5.44,1.0557,0.69,,1.4494
0,20240305,5.34,1.0036,0.7,,1.4228
0,20240306,5.43,0.9273,0.68,,1.4467
0,20240307,5.3,0.8782,0.79,,1.4121
0,20240308,5.37,0.7593,0.74,,1.4308
0,20240311,5.5,1.1484,1.24,,1.4654
0,20240312,5.61,1.2041,1.28,,1.4947
0,20240313,5.61,0.9334,0.95,,1.4947
0,20240314,5.53,0.9032,0.92,,1.4734
0,20240315,5.65,1.0426,1.05,,1.5054
0,20240318,5.79,1.5187,1.45,,1.5427
0,20240319,5.75,1.0475,0.93,,1.532
0,20240320,5.76,0.7627,0.7,,1.5347
0,20240321,5.79,1.1879,1.13,,1.5427
0,20240322,5.68,0.8968,0.81,,1.5134
0,20240325,5.46,1.0877,1.0,,1.4547
0,20240326,5.47,0.9178,0.92,,1.4574
0,20240327,5.2,0.9869,1.02,,1.3855
0,20240328,5.41,1.0089,0.99,,1.4414
0,20240329,5.39,0.9108,0.93,,1.4361
0,20240401,5.41,1.0836,1.1,,1.5695
0,20240402,5.32,1.337,1.36,,1.5434
0,20240403,5.21,0.9879,0.93,,1.5115
