,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,20.67,2.8323,1.25,24.7072,3.3113
0,20240103,20.57,1.4916,0.6,24.5877,3.2953
0,20240104,20.17,1.2307,0.48,24.1095,3.2312
0,20240105,19.74,1.3257,0.55,23.5955,3.1624
0,20240108,18.52,2.1185,1.12,22.1373,2.9669
0,20240109,18.01,2.0557,1.14,21.5277,2.8852
0,20240110,19.81,4.8546,2.95,23.6792,3.1736
0,20240111,19.81,4.0335,1.74,23.6792,3.1736
0,20240112,20.5,4.5272,1.57,24.504,3.2841
0,20240115,20.28,2.7903,0.79,24.241,3.2489
0,20240116,20.41,3.2638,0.89,24.3964,3.2697
0,20240117,19.81,1.855,0.48,23.6792,3.1736
0,20240118,19.37,2.4677,0.75,23.1533,3.1031
0,20240119,18.93,1.3425,0.45,22.6273,3.0326
0,20240122,17.36,2.4974,1.07,20.7507,2.7811
0,20240123,17.43,2.0086,0.88,20.8344,2.7923
0,20240124,17.79,2.2629,1.11,21.2647,2.85
0,20240125,17.99,2.5172,1.19,21.5037,2.882
0,20240126,17.58,1.7178,0.81,21.0137,2.8163
0,20240129,17.03,1.5785,0.72,20.3562,2.7282
0,20240130,16.12,1.5082,0.75,19.2685,2.5824
0,20240131,15.66,2.1274,1.11,18.7187,2.5087
0,20240201,15.32,1.5831,0.84,18.3123,2.4543
0,20240202,15.3,2.7307,1.6,18.2883,2.4511
0,20240205,13.77,2.4783,1.3,16.4595,2.206
0,20240206,14.38,2.4665,1.18,17.1887,2.3037
0,20240207,14.71,2.0855,0.92,17.5831,2.3566
0,20240208,15.26,1.8858,0.83,18.2405,2.4447
0,20240219,15.1,2.0644,0.89,18.0493,2.419
0,20240220,15.08,1.1687,0.53,18.0254,2.4158
0,20240221,15.55,2.3773,1.23,18.5872,2.4911
0,20240222,15.72,1.5431,0.81,18.7904,2.5184
0,20240223,16.02,1.5585,0.86,19.149,2.5664
0,20240226,16.09,1.9061,1.09,19.2326,2.5776
0,20240227,16.4,1.6489,0.96,19.6032,2.6273
0,20240228,15.42,3.1398,1.74,18.4318,2.4703
0,20240229,15.83,1.7957,0.92,18.9219,2.536
0,20240301,16.15,2.0132,1.0,19.3044,2.5872
0,20240304,16.06,1.8734,0.89,19.1968,2.5728
0,20240305,15.67,1.5029,0.72,18.7306,2.5103
0,20240306,15.52,1.5008,0.73,18.5513,2.4863
0,20240307,15.29,1.3115,0.75,18.2764,2.4495
0,20240308,15.17,1.3091,0.8,18.133,2.4302
0,20240311,15.87,1.6992,1.13,18.9697,2.5424
0,20240312,16.27,1.8791,1.28,19.4478,2.6065
0,20240313,16.12,1.241,0.81,19.2685,2.5824
0,20240314,15.91,1.0997,0.74,19.0175,2.5488
0,20240315,16.2,1.2515,0.87,19.3641,2.5953
0,20240318,16.25,1.2863,0.9,19.4239,2.6033
0,20240319,16.2,1.189,0.88,19.3641,2.5953
0,20240320,16.26,0.9134,0.75,19.4358,2.6049
0,20240321,16.32,1.2277,1.07,19.5076,2.6145
0,20240322,15.68,1.5499,1.32,18.7426,2.5119
0,20240325,15.06,1.2715,1.03,18.0015,2.4126
0,20240326,15.22,1.15,0.93,18.1927,2.4383
0,20240327,16.74,5.4065,4.42,20.0096,2.6818
0,20240328,17.0,6.5756,3.1,20.3204,2.7234
0,20240329,16.62,3.0536,0.96,19.8662,2.6625
0,20240401,16.97,3.4508,0.99,20.2845,2.7186
0,20240402,16.98,4.8164,1.23,20.2965,2.7202
0,20240403,17.26,4.0205,0.86,20.6312,2.7651
