,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.83,3.0985,1.01,158.3893,2.189
0,20240103,5.72,2.8672,0.94,155.4008,2.1477
0,20240104,5.74,2.6641,0.87,155.9442,2.1552
0,20240105,5.65,2.7011,0.89,153.4991,2.1214
0,20240108,5.54,2.673,0.88,150.5106,2.0801
0,20240109,5.57,2.6407,0.94,151.3256,2.0914
0,20240110,5.58,2.4608,0.91,151.5973,2.0951
0,20240111,5.64,3.1427,1.2,153.2274,2.1177
0,20240112,5.6,2.0217,0.74,152.1407,2.1027
0,20240115,5.57,2.3113,0.89,151.3256,2.0914
0,20240116,5.57,2.6342,1.05,151.3256,2.0914
0,20240117,5.44,2.5303,1.01,147.7938,2.0426
0,20240118,5.33,3.9691,1.57,144.8053,2.0013
0,20240119,5.29,2.7321,1.01,143.7186,1.9863
0,20240122,5.01,3.9602,1.4,136.1116,1.8811
0,20240123,4.99,3.8768,1.22,135.5682,1.8736
0,20240124,5.09,3.6489,1.07,138.285,1.9112
0,20240125,5.34,4.3253,1.19,145.077,2.005
0,20240126,5.36,3.4339,0.93,145.6203,2.0125
0,20240129,5.17,2.5049,0.65,140.4584,1.9412
0,20240130,5.01,2.3031,0.65,136.1116,1.8811
0,20240131,4.77,3.1438,0.97,129.5912,1.791
0,20240201,4.67,3.2745,1.04,126.8744,1.7535
0,20240202,4.42,4.0191,1.37,120.0825,1.6596
0,20240205,3.98,5.5589,1.82,108.1285,1.4944
0,20240206,3.97,8.0697,2.2,107.8569,1.4906
0,20240207,4.37,5.1388,1.07,118.7241,1.6408
0,20240208,4.5,18.642,3.58,122.2559,1.6896
0,20240219,4.41,13.1694,1.59,119.8108,1.6558
0,20240220,4.4,7.0808,0.7,119.5391,1.6521
0,20240221,4.58,11.6791,1.12,124.4293,1.7197
0,20240222,4.65,8.3604,0.75,126.3311,1.746
0,20240223,4.8,7.2571,0.62,130.4063,1.8023
0,20240226,4.9,7.0605,0.74,133.1231,1.8398
0,20240227,5.17,7.6643,0.92,140.4584,1.9412
0,20240228,4.66,10.4042,1.24,126.6028,1.7497
0,20240229,4.91,6.6943,0.82,133.3948,1.8436
0,20240301,4.95,5.0383,0.64,134.4815,1.8586
0,20240304,4.86,4.4018,0.6,132.0364,1.8248
0,20240305,4.86,5.1391,0.75,132.0364,1.8248
0,20240306,4.85,3.4847,0.55,131.7647,1.821
0,20240307,4.83,3.958,0.8,131.2213,1.8135
0,20240308,4.82,2.7408,0.62,130.9496,1.8098
0,20240311,4.87,2.9136,0.74,132.308,1.8286
0,20240312,5.36,5.9035,1.62,145.6203,2.0125
0,20240313,5.9,20.3748,5.36,160.2911,2.2153
0,20240314,5.97,41.103,5.73,162.1928,2.2416
0,20240315,5.7,24.5195,1.68,154.8575,2.1402
0,20240318,5.83,23.1454,1.22,158.3893,2.189
0,20240319,5.7,15.3536,0.67,154.8575,2.1402
0,20240320,5.69,10.9916,0.44,154.5858,2.1364
0,20240321,5.69,10.1059,0.44,154.5858,2.1364
0,20240322,5.52,9.0341,0.54,149.9672,2.0726
0,20240325,5.38,7.3546,0.54,146.1637,2.02
0,20240326,5.45,6.3975,0.61,148.0655,2.0463
0,20240327,5.15,6.6356,0.76,139.9151,1.9337
0,20240328,5.3,6.1199,0.77,143.9903,1.99
0,20240329,5.38,7.1189,1.0,146.1637,2.02
0,20240401,5.53,6.9316,1.03,86.3972,2.0591
0,20240402,5.39,5.31,0.8,84.2099,2.0069
0,20240403,5.23,4.5403,0.71,81.7102,1.9474
